Ontem, ﻿ontem
pela, pela
manhã, manhã
,, ,
os, os
atletas, atleta
que, que
não, não
atuaram, atuaram
contra, contra
o, o
Vitória, vitória
,, ,
participaram, participaram
de, de
um, um
coletivo, coletivo
com, com
a, a
equipe, equip
principal, princip
., .
Os, os
que, que
jogaram, jogaram
,, ,
fariam, fariam
treino, treino
de, de
recuperação, recuperação
à, à
tarde, tard
no, no
Projeto, projeto
Acqua, acqua
., .

, 

Murici, murici
reclamou, reclam
da, da
postura, postura
do, do
time, time
do, do
Vitória, vitória
., .
", "
Eles, ele
bateram, bateram
muito, muito
., .
O, o
que, que
fizeram, fizeram
com, com
o, o
Pereira, pereira
foi, foi
um, um
absurdo, absurdo
", "
,, ,
disse, diss
., .
Pereira, pereira
levou, levou
um, um
pisão, pisão
na, na
cabeça, cabeça
,, ,
mesmo, mesmo
estando, estando
caído, caído
no, no
chão, chão
., .
Murici, murici
espera, espera
que, que
o, o
Inter, inter
não, não
tenha, tenha
a, a
mesma, mesma
atitude, atitud
., .

, 

Celso, celso
Roth, roth
,, ,
técnico, técnico
da, da
equipe, equip
de, de
Porto, porto
Alegre, alegr
,, ,
afirmou, afirm
que, que
armará, armará
um, um
esquema, esquema
", "
cauteloso, cauteloso
", "
para, para
segurar, segurar
o, o
fulminante, fulminant
ataque, ataqu
do, do
São, são
Paulo, paulo
que, que
,, ,
nas, na
quartas-de-final, quartas-de-fin
,, ,
já, já
imprimiu, imprimiu
um, um
5, 5
a, a
2, 2
nos, no
gaúchos, gaúcho
., .

, 

Murici, murici
prevê, prevê
uma, uma
forte, fort
marcação, marcação
., .
", "
Estudei, estudei
os, os
jogos, jogo
de, de
nossos, nosso
adversários, adversário
durante, durant
todo, todo
o, o
torneio, torneio
., .
Todos, todo
eles, ele
,, ,
sem, sem
exceção, exceção
,, ,
mudaram, mudaram
seus, seu
esquemas, esquema
de, de
jogo, jogo
quando, quando
tinham, tinham
que, que
nos, no
encarar, encarar
., .
O, o
Inter, inter
é, é
a, a
equipe, equip
mais, mai
marcadora, marcadora
que, que
enfrentamos, enfrentamo
e, e
esse, ess
fundamento, fundamento
deve, deve
ser, ser
aprimorado, aprimorado
ainda, ainda
mais, mai
amanhã, amanhã
(, (
hoje, hoje
), )
", "
,, ,
afirmou, afirm
o, o
treinador, treinador
., .

, 

SÃO, são
PAULO, paulo

, 

Rogério, rogério
;, ;
Pavão, pavão
,, ,
Nem, nem
,, ,
Sérgio, sérgio
Baresi, baresi
e, e
Marcelo, marcelo
;, ;
Mona, mona
,, ,
Pereira, pereira
e, e
Jamelli, jamelli
;, ;
Caio, caio
(, (
Catê, catê
), )
,, ,
Guilherme, guilherm
e, e
Toninho, toninho
., .
Técnico, técnico
-, -
Murici, murici
., .

, 

INTERNACIONAL, internacion

, 

Luciano, luciano
;, ;
Armindo, armindo
,, ,
Jair, jair
,, ,
Alex, alex
e, e
Celso, celso
;, ;
Luís, luí
Fernando, fernando
,, ,
Anderson, anderson
e, e
Lico, lico
;, ;
Dirceu, dirceu
,, ,
Itamar, itamar
e, e
Jorge, jorg
., .
Técnico, técnico
-, -
Celso, celso
Roth, roth
., .

, 

Local, local
:, :
Pacaembu, pacaembu

, 

Horário, horário
:, :
18h, 18h

, 

NA, na
TV, tv
:, :
Gazeta, gazeta
/, /
CNT, cnt
e, e
Bandeirantes, bandeirant
,, ,
ao, ao
vivo, vivo
., .

, 

