Praticamente, ﻿praticament
sem, sem
surpresas, surpresa
,, ,
se, se
definiram, definiram
no, no
sábado, sábado
e, e
no, no
domingo, domingo
os, os
quatro, quatro
times, time
sobreviventes, sobrevivent
dos, do
", "
playoffs, playoff
", "
da, da
temporada, temporada
de, de
1993/94, 1993/94
no, no
futebol, futebol
americano, americano
., .
Pela, pela
Conferência, conferência
Nacional, nacion
,, ,
o, o
San, san
Francisco, francisco
49ers, 49er
trucidou, trucid
o, o
New, new
York, york
Giants, giant
,, ,
44, 44
x, x
3, 3
,, ,
e, e
o, o
Dallas, dalla
Cowboys, cowboy
derrotou, derrot
o, o
Green, green
Bay, bay
Packers, packer
,, ,
27, 27
x, x
17, 17
., .
Pela, pela
Conferência, conferência
Americana, americana
,, ,
o, o
Buffalo, buffalo
Bills, bill
bateu, bateu
o, o
Los, lo
Angeles, angel
Raiders, raider
,, ,
29, 29
x, x
23, 23
,, ,
e, e
o, o
Kansas, kansa
City, citi
Chiefs, chief
superou, super
o, o
Houston, houston
Oilers, oiler
28, 28
x, x
20, 20
., .
No, no
próximo, próximo
domingo, domingo
,, ,
os, os
vencedores, vencedor
se, se
defrontarão, defrontarão
pelos, pelo
títulos, título
de, de
suas, sua
chaves, chave
., .
No, no
dia, dia
30, 30
,, ,
os, os
remanescentes, remanescent
se, se
debaterão, debaterão
pelo, pelo
Super, super
Bowl, bowl
., .

, 

Apenas, apena
os, os
Chiefs, chief
ultrapassaram, ultrapassaram
os, os
fatores, fator
campo, campo
e, e
torcida, torcida
., .
Cumpriram, cumpriram
a, a
tarefa, tarefa
graças, graça
ao, ao
talento, talento
de, de
seu, seu
", "
quarterback, quarterback
", "
,, ,
Joe, joe
Montana, montana
,, ,
e, e
a, a
uma, uma
sucessão, sucessão
de, de
falhas, falha
do, do
elenco, elenco
adversário, adversário
., .
Quase, quas
na, na
metade, metad
do, do
quarto, quarto
derradeiro, derradeiro
da, da
peleja, peleja
,, ,
os, os
Oilers, oiler
mantinham, mantinham
a, a
sua, sua
vantagem, vantagem
no, no
placar, placar
,, ,
13, 13
x, x
7, 7
–, –
mas, ma
acabaram, acabaram
dizimados, dizimado
pelos, pelo
excesso, excesso
de, de
distrações, distraçõ
e, e
de, de
infrações, infraçõ
., .
Os, os
defensores, defensor
dos, do
Chiefs, chief
derrubaram, derrubaram
sete, sete
vezes, veze
o, o
", "
quarterback, quarterback
", "
dos, do
Oilers, oiler
,, ,
o, o
veterano, veterano
Warren, warren
Moon, moon
., .

, 

Na, na
neve, neve
de, de
Buffalo, buffalo
,, ,
os, os
Raiders, raider
da, da
calorosa, calorosa
Califórnia, califórnia
também, também
comandaram, comandaram
o, o
placar, placar
na, na
maior, maior
parte, part
do, do
combate, combat
., .
A, a
menos, meno
de, de
três, trê
minutos, minuto
do, do
final, final
,, ,
sobrepujavam, sobrepujavam
os, os
donos, dono
da, da
casa, casa
,, ,
23, 23
x, x
22, 22
,, ,
mas, ma
se, se
automutilaram, automutilaram
num, num
recorde, record
de, de
tolices, tolic
em, em
cadeia, cadeia
,, ,
faltas, falta
e, e
violações, violaçõ
que, que
permitiram, permitiram
a, a
recuperação, recuperação
dos, do
Bills, bill
,, ,
estimulados, estimulado
pela, pela
torcida, torcida
mais, mai
fiel, fiel
do, do
futebol, futebol
americano, americano
., .

, 

Na, na
Conferência, conferência
Nacional, nacion
,, ,
os, os
49ers, 49er
tiveram, tiveram
uma, uma
jornada, jornada
excepcional, excepcion
do, do
", "
running, run
back, back
", "
Ricky, ricki
Watters, watter
,, ,
cinco, cinco
", "
touch, touch
downs, down
", "
., .

, 

Eternamente, eternament
com, com
a, a
mesma, mesma
expressão, expressão
na, na
face, face
,, ,
nos, no
lances, lanc
de, de
glória, glória
ou, ou
naqueles, naquel
de, de
hesitação, hesitação
,, ,
Troy, troy
Aikman, aikman
,, ,
o, o
", "
quarterback, quarterback
", "
dos, do
Cowboys, cowboy
,, ,
ministrou, ministr
uma, uma
aula, aula
incrível, incrível
de, de
distribuição, distribuição
de, de
bolas, bola
., .

, 

Agora, agora
,, ,
os, os
Chiefs, chief
necessitam, necessitam
resistir, resistir
ao, ao
gelo, gelo
de, de
Buffalo, buffalo
,, ,
mais, mai
do, do
que, que
à, à
tradição, tradição
dos, do
Bills, bill
,, ,
tricampeões, tricampeõ
da, da
Americana, americana
., .
Em, em
Dallas, dalla
,, ,
os, os
Cowboys, cowboy
pegam, pegam
os, os
49ers, 49er
., .

, 

