A, ﻿a
revolta, revolta
dos, do
jogadores, jogador
russos, russo
contra, contra
Pavel, pavel
Sadyrin, sadyrin
,, ,
técnico, técnico
da, da
seleção, seleção
nacional, nacion
,, ,
aumenta, aumenta
a, a
cada, cada
dia, dia
., .
Ontem, ontem
,, ,
Igor, igor
Shalimov, shalimov
,, ,
capitão, capitão
da, da
equipe, equip
,, ,
e, e
Sergei, sergei
Kiriakov, kiriakov
mandaram, mandaram
cartas, carta
para, para
o, o
secretário, secretário
de, de
assuntos, assunto
esportivos, esportivo
do, do
presidente, president
Boris, bori
Ieltsin, ieltsin
,, ,
afirmando, afirmando
que, que
não, não
estão, estão
dispostos, disposto
a, a
jogar, jogar
na, na
seleção, seleção
sob, sob
o, o
comando, comando
do, do
treinador, treinador
., .

, 

Os, os
jogadores, jogador
acusam, acusam
Sadyrin, sadyrin
de, de
falta, falta
de, de
qualificação, qualificação
técnica, técnica
e, e
pedem, pedem
o, o
retorno, retorno
de, de
Anatoli, anatoli
Byschovez, byschovez
,, ,
ex-treinador, ex-treinador
da, da
CEI, cei
(, (
Comunidade, comunidad
dos, do
Estados, estado
Independentes, independent
), )
., .

, 

Na, na
quarta-feira, quarta-feira
,, ,
22, 22
jogadores, jogador
de, de
uma, uma
lista, lista
de, de
40, 40
se, se
recusaram, recusaram
a, a
atender, atend
à, à
convocação, convocação
para, para
amistosos, amistoso
que, que
a, a
Rússia, rússia
fará, fará
no, no
México, méxico
e, e
nos, no
EUA, eua
., .
Deles, dele
,, ,
14, 14
já, já
haviam, haviam
escrito, escrito
uma, uma
carta, carta
há, há
dois, doi
meses, mese
,, ,
afirmando, afirmando
que, que
não, não
atenderiam, atenderiam
a, a
qualquer, qualquer
chamado, chamado
de, de
Sadyrin, sadyrin
., .
Outros, outro
oito, oito
são, são
jogadores, jogador
do, do
Spartak, spartak
de, de
Moscou, moscou
,, ,
que, que
terá, terá
partida, partida
importante, important
contra, contra
o, o
Barcelona, barcelona
em, em
2, 2
de, de
março, março
,, ,
à, à
época, época
dos, do
amistosos, amistoso
., .

, 

Ainda, ainda
há, há
jogadores, jogador
como, como
Dmitri, dmitri
Popov, popov
,, ,
do, do
Racing, race
de, de
Santander, santand
da, da
Espanha, espanha
., .
Afirmam, afirmam
não, não
ter, ter
nada, nada
contra, contra
o, o
técnico, técnico
,, ,
mas, ma
pedem, pedem
mais, mai
dinheiro, dinheiro
para, para
se, se
apresentar, apresentar
., .

, 

