Com, ﻿com
uma, uma
atuação, atuação
equilibrada, equilibrada
de, de
seus, seu
principais, principai
jogadores, jogador
,, ,
especialmente, especialment
na, na
defesa, defesa
,, ,
o, o
New, new
York, york
Knicks, knick
derrotou, derrot
o, o
Seattle, seattl
Supersonics, superson
por, por
106, 106
a, a
92, 92
,, ,
sábado, sábado
à, à
noite, noit
,, ,
na, na
quadra, quadra
do, do
adversário, adversário
,, ,
na, na
rodada, rodada
da, da
NBA, nba
., .
O, o
pivô, pivô
Pat, pat
Ewing, ewe
,, ,
com, com
21, 21
pontos, ponto
e, e
18, 18
rebotes, rebot
,, ,
comandou, comand
a, a
vitória, vitória
do, do
time, time
que, que
teve, teve
mais, mai
sete, sete
jogadores, jogador
com, com
", "
double, doubl
figure, figur
", "
(, (
mais, mai
de, de
10, 10
pontos, ponto
e, e
10, 10
rebotes, rebot
ou, ou
assistências, assistência
num, num
mesmo, mesmo
jogo, jogo
), )
., .

, 

Os, os
destaques, destaqu
do, do
Seattle, seattl
foram, foram
Gary, gari
Payton, payton
,, ,
com, com
19, 19
pontos, ponto
,, ,
e, e
Sam, sam
Perkins, perkin
,, ,
com, com
17, 17
., .
Esta, esta
foi, foi
a, a
terceira, terceira
vitória, vitória
consecutiva, consecutiva
dos, do
Knicks, knick
,, ,
sendo, sendo
a, a
nona, nona
nos, no
11, 11
últimos, último
jogos, jogo
., .
Os, os
Supersonics, superson
,, ,
em, em
contrapartida, contrapartida
,, ,
perderam, perderam
a, a
segunda, segunda
consecutiva, consecutiva
em, em
casa, casa
,, ,
mas, ma
apenas, apena
a, a
terceira, terceira
em, em
sua, sua
quadra, quadra
,, ,
desde, desd
o, o
início, início
da, da
temporada, temporada
., .
As, as
campanhas, campanha
:, :
New, new
York, york
-, -
29, 29
vitórias, vitória
e, e
11, 11
derrotas, derrota
e, e
Seattle, seattl
-, -
31v, 31v
e, e
9d, 9d
., .

, 

Outros, outro
jogos, jogo
:, :
Philadelphia, philadelphia
94, 94
x, x
89, 89
Milwaukee, milwauke
,, ,
Washington, washington
99, 99
x, x
103, 103
Orlando, orlando
,, ,
Cleveland, cleveland
98, 98
x, x
113, 113
Miami, miami
,, ,
Dallas, dalla
108, 108
x, x
101, 101
Sacramento, sacramento
,, ,
Houston, houston
108, 108
x, x
119, 119
Indiana, indiana
,, ,
San, san
Antonio, antonio
100, 100
x, x
87, 87
Atlanta, atlanta
,, ,
Denver, denver
128, 128
x, x
110, 110
Detroit, detroit
,, ,
Clippers, clipper
103, 103
x, x
93, 93
Minnesota, minnesota
,, ,
Golden, golden
State, state
106, 106
x, x
120, 120
New, new
Jersey, jersey
., .

, 

