Além, ﻿além
do, do
confronto, confronto
entre, entr
Telesp, telesp
e, e
Frangosul, frangosul
,, ,
que, que
jogam, jogam
hoje, hoje
às, às
20h30, 20h30
,, ,
a, a
Liga, liga
Nacional, nacion
Masculina, masculina
de, de
Vôlei, vôlei
tem, tem
mais, mai
três, trê
jogos, jogo
,, ,
todos, todo
válidos, válido
pela, pela
oitava, oitava
rodada, rodada
do, do
returno, returno
., .
Às, às
18h30, 18h30
,, ,
o, o
Chapecó, chapecó
/, /
Carpizza, carpizza
enfrenta, enfrenta
,, ,
em, em
seu, seu
ginásio, ginásio
,, ,
o, o
líder, líder
Banespa, banespa
., .
O, o
time, time
do, do
técnico, técnico
Josenildo, josenildo
de, de
Carvalho, carvalho
deve, deve
começar, começar
com, com
a, a
seguinte, seguint
escalação, escalação
:, :
Janelson, janelson
,, ,
Jonas, jona
,, ,
Allan, allan
,, ,
Max, max
,, ,
Toaldo, toaldo
e, e
Rodrigo, rodrigo
., .

, 

O, o
atacante, atacant
Douglas, dougla
,, ,
que, que
nos, no
últimos, último
dias, dia
vem, vem
treinando, treinando
com, com
o, o
pé, pé
enfaixado, enfaixado
devido, devido
a, a
uma, uma
torção, torção
sofrida, sofrida
no, no
tornozelo, tornozelo
direito, direito
,, ,
pode, pode
ser, ser
uma, uma
opção, opção
tática, tática
para, para
Josenildo, josenildo
e, e
entrar, entrar
na, na
partida, partida
., .
", "
A, a
contusão, contusão
não, não
foi, foi
séria, séria
", "
,, ,
afirma, afirma
o, o
jogador, jogador
,, ,
esperançoso, esperançoso
de, de
ter, ter
uma, uma
chance, chanc
de, de
jogar, jogar
ao, ao
menos, meno
alguns, algun
minutos, minuto
., .

, 

Um, um
pouco, pouco
antes, ant
,, ,
às, às
16h, 16h
,, ,
o, o
Fiat, fiat
/, /
Minas, mina
recebe, receb
,, ,
em, em
Belo, belo
Horizonte, horizont
(, (
MG, mg
), )
,, ,
o, o
time, time
da, da
Rhodia, rhodia
/, /
Pirelli, pirelli
,, ,
que, que
venceu, venceu
de, de
virada, virada
a, a
Telesp, telesp
por, por
3, 3
sets, set
a, a
2, 2
na, na
quarta-feira, quarta-feira
passada, passada
., .
O, o
resultado, resultado
foi, foi
encarado, encarado
com, com
alívio, alívio
,, ,
porque, porqu
representou, represent
uma, uma
boa, boa
recuperação, recuperação
da, da
derrota, derrota
sofrida, sofrida
frente, frent
ao, ao
Banespa, banespa
,, ,
no, no
domingo, domingo
passado, passado
., .
A, a
rodada, rodada
deste, dest
final, final
de, de
semana, semana
termina, termina
com, com
Unimed, unim
/, /
Teuto, teuto
e, e
Palmeiras, palmeira
/, /
Parmalat, parmalat
,, ,
que, que
se, se
enfrentam, enfrentam
às, às
16h, 16h
., .

, 

Pelo, pelo
feminino, feminino
,, ,
quatro, quatro
jogos, jogo
movimentam, movimentam
a, a
oitava, oitava
rodada, rodada
do, do
returno, returno
da, da
Liga, liga
Nacional, nacion
., .
Em, em
São, são
Paulo, paulo
,, ,
o, o
Pinheiros, pinheiro
pega, pega
às, às
16h, 16h
a, a
Rioforte, riofort
., .
Uma, uma
hora, hora
depois, depoi
,, ,
o, o
Sogipa, sogipa
/, /
Blue, blue
Life, life
inicia, inicia
a, a
partida, partida
contra, contra
o, o
Completa, completa
/, /
Sport, sport
,, ,
em, em
Porto, porto
Alegre, alegr
(, (
RS, rs
), )
., .
Já, já
em, em
Santos, santo
(, (
72, 72
km, km
a, a
sudeste, sudest
de, de
São, são
Paulo, paulo
), )
,, ,
o, o
Ponto, ponto
Frio, frio
busca, busca
sua, sua
reablitação, reablitação
diante, diant
da, da
Nossa, nossa
Caixa, caixa
/, /
Recra, recra
., .
A, a
líder, líder
L'Ácqua, l'ácqua
di, di
Fiori, fiori
/, /
Minas, mina
tenta, tenta
manter, manter
sua, sua
posição, posição
em, em
Ponta, ponta
Grossa, grossa
(, (
PR, pr
), )
,, ,
onde, ond
enfrenta, enfrenta
,, ,
às, às
19h, 19h
,, ,
o, o
Clube, clube
Lagoa, lagoa
/, /
Federal, feder
Seguros, seguro
., .
(, (
SK, sk
), )

, 

NA, na
TV, tv
:, :
Cultura, cultura
,, ,
15h, 15h
:, :
BCN, bcn
x, x
Colgate;Manchete, colgate;manchet
,, ,
14h, 14h
:, :
Pinheiros, pinheiro
x, x
Rioforte;Globosat, rioforte;globosat
,, ,
19h, 19h
:, :
não, não
definido, definido
., .

, 

