Como, ﻿como
acontece, acontec
sempre, sempr
no, no
kart, kart
,, ,
a, a
temporada, temporada
de, de
93, 93
revelou, revel
alguns, algun
nomes, nome
que, que
podem, podem
–, –
em, em
um, um
futuro, futuro
próximo, próximo
–, –
manter, manter
a, a
tradição, tradição
brasileira, brasileira
de, de
bons, bon
pilotos, piloto
no, no
automobilismo, automobilismo
internacional, internacion
., .
O, o
paulista, paulista
Gastão, gastão
Fráguas, frágua
Filho, filho
foi, foi
a, a
grande, grand
revelação, revelação
do, do
ano, ano
,, ,
conquistando, conquistando
dois, doi
títulos, título
:, :
o, o
paulista, paulista
na, na
categoria, categoria
Novatos, novato
e, e
o, o
Masters, master
,, ,
da, da
Copa, copa
Pakalolo, pakalolo
., .
Já, já
o, o
destaque, destaqu
do, do
ano, ano
passado, passado
,, ,
Ricardo, ricardo
Maurício, maurício
,, ,
inicia, inicia
nesta, nesta
temporada, temporada
a, a
sua, sua
carreira, carreira
internacional, internacion
,, ,
disputando, disputando
provas, prova
na, na
Itália, itália
e, e
Portugal, portug
., .

, 

Mas, ma
o, o
estilo, estilo
despretensioso, despretensioso
do, do
kart, kart
de, de
décadas, década
passadas, passada
vai, vai
sendo, sendo
superado, superado
a, a
cada, cada
ano, ano
pelo, pelo
profissionalismo, profissionalismo
e, e
pelo, pelo
apoio, apoio
das, da
empresas, empresa
,, ,
que, que
ao, ao
mesmo, mesmo
tempo, tempo
que, que
acirram, acirram
as, as
disputas, disputa
dos, do
campeonatos, campeonato
,, ,
ajudam, ajudam
no, no
aperfeiçoamento, aperfeiçoamento
dos, do
pilotos, piloto
., .
Desde, desd
92, 92
,, ,
vem, vem
sendo, sendo
organizada, organizada
a, a
Copa, copa
Pakalolo, pakalolo
de, de
Fórmula, fórmula
Kart, kart
,, ,
que, que
engloba, engloba
seis, sei
categorias, categoria
–, –
e, e
incentiva, incentiva
a, a
iniciação, iniciação
de, de
muitos, muito
pilotos, piloto
., .

, 

O, o
maior, maior
exemplo, exemplo
de, de
paixão, paixão
por, por
este, est
esporte, esport
pôde, pôde
ser, ser
notado, notado
no, no
final, final
do, do
ano, ano
passado, passado
., .
Em, em
uma, uma
corrida, corrida
beneficente, beneficent
,, ,
realizada, realizada
em, em
Bercy, berci
(, (
FRA, fra
), )
,, ,
reuniram-se, reuniram-s
os, os
dois, doi
maiores, maior
pilotos, piloto
da, da
atualidade, atualidad
:, :
Ayrton, ayrton
Senna, senna
e, e
Alain, alain
Prost, prost
., .
A, a
prova, prova
,, ,
organizada, organizada
pelo, pelo
ex-piloto, ex-piloto
francês, francê
Philippe, philipp
Steiff, steiff
–, –
que, que
ficou, ficou
tetraplégico, tetraplégico
após, apó
acidente, acident
em, em
Jacarepaguá, jacarepaguá
(, (
RJ, rj
), )
–, –
acabou, acab
por, por
ter, ter
a, a
vitória, vitória
do, do
francês, francê
,, ,
tetracampeão, tetracampeão
da, da
F-1, f-1
., .
", "
A, a
sensação, sensação
é, é
sempre, sempr
muito, muito
boa, boa
de, de
correr, correr
em, em
um, um
kart, kart
., .
É, é
algo, algo
que, que
nunca, nunca
acaba, acaba
", "
,, ,
afirmou, afirm
Prost, prost
., .

, 

Senna, senna
,, ,
que, que
ficou, ficou
em, em
terceiro, terceiro
lugar, lugar
na, na
prova, prova
,, ,
demonstrava, demonstrava
toda, toda
a, a
alegria, alegria
por, por
poder, poder
voltar, voltar
às, às
suas, sua
origens, origen
., .
", "
O, o
kart, kart
é, é
o, o
início, início
de, de
tudo, tudo
., .
É, é
a, a
escola, escola
do, do
automobilismo, automobilismo
., .
Não, não
se, se
pode, pode
pilotar, pilotar
sem, sem
ter, ter
passado, passado
pelo, pelo
kart, kart
", "
,, ,
ensinou, ensin
o, o
brasileiro, brasileiro
,, ,
que, que
construiu, construiu
um, um
kartódromo, kartódromo
particular, particular
,, ,
em, em
seu, seu
sítio, sítio
,, ,
na, na
cidade, cidad
de, de
Tatuí, tatuí
(, (
SP, sp
), )
., .
", "
Agora, agora
já, já
tenho, tenho
lugar, lugar
certo, certo
para, para
matar, matar
minhas, minha
saudades, saudad
", "
,, ,
brincou, brincou
o, o
piloto, piloto
., .

, 

Para, para
94, 94
,, ,
a, a
expectativa, expectativa
é, é
de, de
que, que
ocorra, ocorra
um, um
equilíbrio, equilíbrio
ainda, ainda
maior, maior
entre, entr
as, as
categorias, categoria
e, e
que, que
aumente, aument
o, o
número, número
de, de
participantes, participant
no, no
kart, kart
paulista, paulista
–, –
o, o
principal, princip
do, do
país, paí
., .
A, a
cada, cada
dia, dia
de, de
provas, prova
no, no
kartódromo, kartódromo
de, de
Interlagos, interlago
,, ,
mais, mai
de, de
125, 125
pilotos, piloto
–, –
a, a
partir, partir
de, de
10, 10
anos, ano
de, de
idade, idad
–, –
se, se
reúnem, reúnem
para, para
disputar, disputar
corridas, corrida
,, ,
em, em
seis, sei
categorias, categoria
:, :
Júnior-menor, júnior-menor
,, ,
Júnior, júnior
,, ,
Graduados, graduado
", "
B, b
", "
,, ,
Graduados, graduado
", "
A, a
", "
,, ,
Novatos, novato
e, e
Cadetes, cadet
., .

, 

