"Não, ﻿"não
tem, tem
nada, nada
a, a
ver, ver
., .
Se, se
quisermos, quisermo
um, um
grupo, grupo
unido, unido
,, ,
um, um
jogador, jogador
não, não
pode, pode
criticar, criticar
outro, outro
,, ,
muito, muito
menos, meno
o, o
Muller, muller
,, ,
que, que
é, é
excelente, excelent
pessoa, pessoa
., .
", "

, 

Luís, luí
Henrique, henriqu
defendeu, defendeu
o, o
fim, fim
do, do
esquema, esquema
tático, tático
com, com
dois, doi
volantes, volant
(, (
meias, meia
com, com
função, função
principal, princip
defensiva, defensiva
,, ,
Mauro, mauro
Silva, silva
e, e
Dunga, dunga
), )
., .
", "
Com, com
os, os
jogadores, jogador
em, em
boa, boa
forma, forma
física, física
,, ,
não, não
há, há
por, por
que, que
jogar, jogar
com, com
dois, doi
., .
Basta, basta
um, um
", "
., .

, 

Ele, ele
reabre, reabr
a, a
maior, maior
polêmica, polêmica
tática, tática
sobre, sobr
a, a
escalação, escalação
preferida, preferida
do, do
técnico, técnico
Carlos, carlo
Alberto, alberto
Parreira, parreira
para, para
a, a
Copa, copa
do, do
Mundo, mundo
dos, do
Estados, estado
Unidos, unido
,, ,
em, em
junho, junho
,, ,
com, com
dois, doi
volantes, volant
., .

, 

O, o
jogador, jogador
chegou, chegou
ontem, ontem
ao, ao
Rio, rio
de, de
Janeiro, janeiro
,, ,
onde, ond
foi, foi
recebido, recebido
com, com
festa, festa
no, no
aeroporto, aeroporto
por, por
cerca, cerca
de, de
40, 40
torcedores, torcedor
do, do
Fluminense, fluminens
,, ,
seu, seu
novo, novo
clube, clube
., .

, 

Estava, estava
na, na
reserva, reserva
do, do
Monaco, monaco
,, ,
da, da
França, frança
., .
Segundo, segundo
ele, ele
,, ,
há, há
revezamento, revezamento
entre, entr
os, os
seis, sei
estrangeiros, estrangeiro
do, do
time, time
., .
Só, só
três, trê
podem, podem
participar, participar
de, de
cada, cada
partida, partida
., .
Jogava, jogava
duas, dua
vezes, veze
por, por
mês, mê
., .

, 

", "
Com, com
a, a
eliminação, eliminação
da, da
França, frança
da, da
Copa, copa
,, ,
o, o
futebol, futebol
francês, francê
está, está
muto, muto
desmotivado, desmotivado
", "
., .
Além, além
dele, dele
,, ,
o, o
Fluminense, fluminens
contratou, contrat
outro, outro
jogador, jogador
da, da
seleção, seleção
(, (
o, o
lateral-esquerdo, lateral-esquerdo
Branco, branco
), )
e, e
quer, quer
mais, mai
um, um
(, (
o, o
atacante, atacant
Valdeir, valdeir
,, ,
atualmente, atualment
no, no
São, são
Paulo, paulo
), )
., .

, 

", "
Voltei, voltei
para, para
ficar, ficar
mais, mai
perto, perto
de, de
Parreira, parreira
,, ,
a, a
cinco, cinco
meses, mese
da, da
Copa, copa
", "
,, ,
afirmou, afirm
., .
", "
Aposto, aposto
que, que
serei, serei
titular, titular
", "
., .

, 

Na, na
sua, sua
contabilidade, contabilidad
,, ,
foi, foi
convocado, convocado
para, para
a, a
seleção, seleção
29, 29
vezes, veze
–, –
titular, titular
em, em
19, 19
jogos, jogo
., .
Até, até
o, o
começo, começo
das, da
eliminatórias, eliminatória
,, ,
era, era
titular, titular
., .
Meia, meia
ofensivo, ofensivo
,, ,
foi, foi
barrado, barrado
para, para
a, a
entrada, entrada
de, de
um, um
defensivo, defensivo
,, ,
Dunga, dunga
., .

, 

Aos, ao
26, 26
anos, ano
,, ,
há, há
dois, doi
estava, estava
na, na
França, frança
., .
Confirmou, confirm
que, que
o, o
meia, meia
Raí, raí
,, ,
da, da
seleção, seleção
e, e
do, do
Paris, pari
Saint-Germain, saint-germain
,, ,
está, está
mal, mal
., .
", "
Continua, continua
fora, fora
de, de
forma, forma
., .
A, a
imprensa, imprensa
cai, cai
em, em
cima, cima
,, ,
ele, ele
não, não
se, se
encontra, encontra
., .
Suas, sua
filhas, filha
não, não
se, se
adaptaram, adaptaram
., .
Ele, ele
começa, começa
a, a
ficar, ficar
preocupado, preocupado
., .
Não, não
rende, rend
o, o
suficiente, suficient
,, ,
mas, ma
vai, vai
se, se
recuperar, recuperar
., .
", "

, 

Luís, luí
Henrique, henriqu
disse, diss
que, que
já, já
perdeu, perdeu
o, o
excesso, excesso
de, de
6, 6
kg, kg
com, com
que, que
se, se
apresentou, apresent
na, na
seleção, seleção
para, para
as, as
eliminatórias, eliminatória
., .

, 

Nascido, nascido
em, em
Pirapora, pirapora
(, (
MG, mg
), )
,, ,
criado, criado
na, na
Bahia, bahia
,, ,
comia, comia
feijão, feijão
,, ,
farinha, farinha
e, e
outras, outra
comidas, comida
brasileiras, brasileira
que, que
comprava, comprava
num, num
mercado, mercado
em, em
Paris, pari
., .
", "
Fui, fui
afastado, afastado
justamente, justament
da, da
seleção, seleção
,, ,
mas, ma
agora, agora
estou, estou
bem, bem
novamente, novament
., .
", "

, 

Luís, luí
Henrique, henriqu
é, é
o, o
primeiro, primeiro
jogador, jogador
da, da
seleção, seleção
fora, fora
de, de
São, são
Paulo, paulo
a, a
sair, sair
em, em
defesa, defesa
de, de
Muller, muller
,, ,
contra, contra
Romário, romário
., .
O, o
atacante, atacant
do, do
Barcelona, barcelona
disse, diss
que, que
o, o
companheiro, companheiro
de, de
seleção, seleção
", "
jogou, jogou
mal, mal
as, as
duas, dua
Copas, copa
que, que
disputou, disput
,, ,
em, em
1986, 1986
e, e
1990, 1990
,, ,
e, e
que, que
Edmundo, edmundo
,, ,
atualmente, atualment
jogando, jogando
no, no
Palmeiras, palmeira
,, ,
é, é
o, o
melhor, melhor
jogador, jogador
em, em
atividade, atividad
no, no
Brasil, brasil
., .
", "

, 

O, o
coordenador-técnico, coordenador-técnico
,, ,
Mário, mário
Lobo, lobo
Zagalo, zagalo
,, ,
atacou, atac
Romário, romário
., .
", "
Ele, ele
tem, tem
que, que
se, se
preocupar, preocupar
em, em
jogar, jogar
,, ,
não, não
em, em
escalar, escalar
o, o
time, time
", "
., .

, 

O, o
jogador, jogador
Zico, zico
,, ,
que, que
disputou, disput
as, as
Copas, copa
de, de
78, 78
,, ,
82, 82
e, e
86, 86
,, ,
também, também
criticou, critic
Romário, romário
., .
Ao, ao
retornar, retornar
ao, ao
Rio, rio
,, ,
em, em
férias, féria
,, ,
na, na
semana, semana
passada, passada
,, ,
Zico, zico
declarou, declar
que, que
as, as
desavenças, desavença
entre, entr
jogadores, jogador
podem, podem
prejudicar, prejudicar
a, a
seleção, seleção
na, na
Copa, copa
., .

, 

