Baianos, ﻿baiano
e, e
gaúchos, gaúcho
são, são
a, a
sensação, sensação
desta, desta
Copa, copa
São, são
Paulo, paulo
de, de
Juniores, junior
., .
Todos, todo
os, os
seis, sei
times, time
desses, dess
dois, doi
Estados, estado
inscritos, inscrito
na, na
competição, competição
passaram, passaram
pela, pela
primeira, primeira
fase, fase
,, ,
quatro, quatro
deles, dele
(, (
Bahia, bahia
,, ,
Vitória, vitória
,, ,
Grêmio, grêmio
e, e
Juventude, juventud
/, /
RS, rs
), )
em, em
primeiro, primeiro
lugar, lugar
nos, no
seus, seu
grupos, grupo
., .
Nessa, nessa
fase, fase
,, ,
as, as
seis, sei
equipes, equip
juntas, junta
acumularam, acumularam
12, 12
vitórias, vitória
,, ,
quatro, quatro
empates, empat
e, e
duas, dua
derrotas, derrota
., .
Nos, no
grupos, grupo
3, 3
e, e
4, 4
das, da
oitavas-de-final, oitavas-de-fin
,, ,
baianos, baiano
e, e
gaúchos, gaúcho
são, são
favoritos, favorito
para, para
ficar, ficar
com, com
as, as
quatro, quatro
vagas, vaga
em, em
disputa, disputa
., .

, 

", "
Isso, isso
é, é
consequência, consequência
de, de
um, um
trabalho, trabalho
de, de
base, base
", "
,, ,
diz, diz
o, o
diretor, diretor
de, de
futebol, futebol
amador, amador
do, do
Internacional, internacion
,, ,
Delmar, delmar
Heller, heller
,, ,
horas, hora
antes, ant
da, da
partida, partida
contra, contra
o, o
São, são
Paulo, paulo
,, ,
ontem, ontem
à, à
tarde, tard
no, no
Pacaembu, pacaembu
., .
Segundo, segundo
ele, ele
,, ,
mais, mai
de, de
mil, mil
garotos, garoto
passam, passam
todos, todo
os, os
anos, ano
na, na
escolinha, escolinha
do, do
Internacional, internacion
., .
A, a
grande, grand
maioria, maioria
paga, paga
para, para
jogar, jogar
(, (
cerca, cerca
de, de
CR$, cr$
1.800,00, 1.800,00
por, por
mês, mê
), )
., .
", "
Quem, quem
mostra, mostra
talento, talento
ganha, ganha
uma, uma
bolsa, bolsa
., .
", "
Quanto, quanto
à, à
safra, safra
atual, atual
,, ,
ele, ele
classifica, classifica
como, como
boa, boa
., .
", "
Não, não
é, é
ótima, ótima
porque, porqu
não, não
tem, tem
nenhum, nenhum
jogador, jogador
pronto, pronto
., .
", "

, 

O, o
Grêmio, grêmio
,, ,
após, apó
passar, passar
por, por
um, um
período, período
de, de
reestruturação, reestruturação
no, no
ano, ano
passado, passado
–, –
trocou, trocou
duas, dua
vezes, veze
de, de
treinador, treinador
e, e
teve, teve
até, até
que, que
buscar, buscar
jogadores, jogador
que, que
tinha, tinha
afastado, afastado
,, ,
reencontrou, reencontr
o, o
equilíbrio, equilíbrio
., .
Na, na
última, última
Taça, taça
Belo, belo
Horizonte, horizont
,, ,
classificou-se, classificou-s
para, para
o, o
quadrangular, quadrangular
final, final
–, –
o, o
torneio, torneio
não, não
acabou, acab
porque, porqu
Grêmio, grêmio
e, e
Caxias, caxia
(, (
RS, rs
), )
saíram, saíram
alegando, alegando
arbitragens, arbitragen
tendenciosas, tendenciosa
., .
Já, já
foi, foi
buscar, buscar
jogadores, jogador
até, até
na, na
Argentina, argentina
,, ,
caso, caso
do, do
meia, meia
Puma, puma
., .
No, no
infantil, infantil
,, ,
ganhou, ganhou
o, o
torneio, torneio
metropolitano, metropolitano
com, com
mais, mai
de, de
cem, cem
gols, gol
de, de
saldo, saldo
,, ,
segundo, segundo
Sérgio, sérgio
Vásquez, vásquez
de, de
Souza, souza
,, ,
diretor, diretor
de, de
futebol, futebol
amador, amador
., .
Ele, ele
promete, promet
um, um
time, time
ainda, ainda
melho, melho
na, na
segunda, segunda
fase, fase
,, ,
porque, porqu
três, trê
juniores, junior
que, que
estavam, estavam
excursionando, excursionando
com, com
a, a
equipe, equip
profissional, profission
devem, devem
entrar, entrar
na, na
Copa, copa
., .

, 

José, josé
Luís, luí
Plein, plein
,, ,
treinador, treinador
do, do
Juventude, juventud
,, ,
é, é
o, o
mais, mai
comedido, comedido
dos, do
gaúchos, gaúcho
,, ,
apesar, apesar
de, de
ser, ser
o, o
comandante, comandant
da, da
equipe, equip
que, que
faz, faz
melhor, melhor
campanha, campanha
–, –
venceu, venceu
os, os
três, trê
primeiros, primeiro
jogos, jogo
., .
", "
Existem, existem
muito, muito
poucas, pouca
equipes, equip
no, no
Brasil, brasil
que, que
fazem, fazem
um, um
trabalho, trabalho
bem, bem
profundo, profundo
nos, no
juniores, junior
., .
", "
Ele, ele
admite, admit
que, que
seus, seu
jogadores, jogador
não, não
recebem, recebem
alimentação, alimentação
especial, especi
., .
", "
Vários, vário
deles, dele
já, já
trabalharam, trabalharam
na, na
roça, roça
,, ,
como, como
o, o
zagueiro, zagueiro
Baggio, baggio
,, ,
que, que
virou, virou
jogador, jogador
somente, soment
no, no
ano, ano
passado, passado
", "
., .

, 

O, o
Caxias, caxia
joga, joga
a, a
Copa, copa
São, são
Paulo, paulo
com, com
um, um
treinador, treinador
arrumado, arrumado
às, às
pressas, pressa
., .
Zequinha, zequinha
,, ,
técnico, técnico
dos, do
profissionais, profissionai
do, do
Atlético, atlético
Paranaense, paranaens
,, ,
chegou, chegou
a, a
São, são
Paulo, paulo
no, no
dia, dia
do, do
primeiro, primeiro
jogo, jogo
., .
O, o
técnico, técnico
Ademir, ademir
dos, do
Reis, rei
brigou, brigou
com, com
a, a
diretoria, diretoria
e, e
se, se
demitiu, demitiu
na, na
hora, hora
do, do
embarque, embarqu
., .
", "
Só, só
agora, agora
estamos, estamo
combinando, combinando
as, as
jogadas, jogada
e, e
não, não
podemos, podemo
treinar, treinar
porque, porqu
jogamos, jogamo
dia, dia
sim, sim
,, ,
dia, dia
não, não
., .
", "
Apesar, apesar
da, da
improvisação, improvisação
,, ,
faz, faz
questão, questão
de, de
diz, diz
que, que
a, a
estrutura, estrutura
de, de
juniores, junior
do, do
Caxias, caxia
é, é
", "
muito, muito
boa, boa
em, em
termos, termo
de, de
Brasil, brasil
., .
", "
Essa, essa
estrutura, estrutura
foi, foi
implantada, implantada
há, há
dois, doi
anos, ano
., .
Essa, essa
equipe, equip
foi, foi
campeã, campeã
de, de
juvenis, juveni
em, em
1991, 1991
e, e
de, de
juniores, junior
–, –
título, título
que, que
está, está
sendo, sendo
contestado, contestado
na, na
Justiça, justiça
Desportiva, desportiva
., .

, 

