Partidas, ﻿partida
rápidas, rápida
marcaram, marcaram
as, as
quartas-de-final, quartas-de-fin
masculinas, masculina
do, do
Aberto, aberto
de, de
Tênis, têni
da, da
Austrália, austrália
., .
Só, só
Pete, pete
Sampras, sampra
e, e
Magnus, magnu
Gustafsson, gustafsson
ficaram, ficaram
mais, mai
de, de
duas, dua
horas, hora
sob, sob
o, o
sol, sol
forte, fort
., .
Principal, princip
favorito, favorito
ao, ao
título, título
,, ,
Sampras, sampra
venceu, venceu
o, o
sueco, sueco
por, por
7/6, 7/6
(, (
7/4, 7/4
), )
,, ,
2/6, 2/6
,, ,
6/3, 6/3
e, e
7/6, 7/6
(, (
7/4, 7/4
), )
., .

, 

Amanhã, amanhã
Sampras, sampra
faz, faz
uma, uma
das, da
semifinais, semifinai
contra, contra
Jim, jim
Courier, courier
,, ,
naquela, naquela
que, que
pode, pode
ser, ser
a, a
final, final
antecipada, antecipada
do, do
torneio, torneio
., .
Bicampeão, bicampeão
em, em
Melbourne, melbourn
,, ,
Courier, courier
eliminou, elimin
o, o
croata, croata
Goran, goran
Ivanisevic, ivanisev
por, por
7/6, 7/6
(, (
9/7, 9/7
), )
,, ,
6/4, 6/4
e, e
6/2, 6/2
., .
", "
Gosto, gosto
do, do
sol, sol
,, ,
sempre, sempr
vivi, vivi
em, em
lugares, lugar
quentes, quent
", "
,, ,
disse, diss
Courier, courier
., .
Stefan, stefan
Edberg, edberg
(, (
Suécia, suécia
), )
e, e
Todd, todd
Martin, martin
(, (
EUA, eua
), )
fazem, fazem
a, a
outra, outra
semifinal, semifin
., .
Edberg, edberg
venceu, venceu
Thomas, thoma
Muster, muster
por, por
6/2, 6/2
,, ,
6/3, 6/3
e, e
6/4, 6/4
., .
Martin, martin
derrotou, derrot
MaliVai, malivai
Washington, washington
por, por
6/2, 6/2
,, ,
7/6, 7/6
(, (
7/4, 7/4
), )
e, e
7/6, 7/6
(, (
7/5, 7/5
), )
., .

, 

Hoje, hoje
acontecem, acontecem
as, as
semifinais, semifinai
femininas, feminina
,, ,
com, com
os, os
jogos, jogo
Arantxa, arantxa
Sanchez, sanchez
x, x
Gabriela, gabriela
Sabatini, sabatini
e, e
Steffi, steffi
Graf, graf
x, x
Kimiko, kimiko
Date, date
., .

, 

