No, ﻿no
primeiro, primeiro
domingo, domingo
de, de
futebol, futebol
paulista, paulista
,, ,
não, não
temos, temo
em, em
campo, campo
o, o
campeão, campeão
Palmeiras, palmeira
., .
Espertamente, espertament
,, ,
seus, seu
dirigentes, dirigent
conseguiram, conseguiram
espichar, espichar
um, um
pouco, pouco
mais, mai
o, o
tempo, tempo
de, de
preparação, preparação
da, da
equipe, equip
,, ,
ampliando, ampliando
,, ,
também, também
,, ,
a, a
margem, margem
de, de
possibilidade, possibilidad
de, de
renovação, renovação
dos, do
contratos, contrato
de, de
algumas, alguma
de, de
suas, sua
principais, principai
estrelas, estrela
., .
O, o
argumento, argumento
é, é
de, de
que, que
,, ,
enquanto, enquanto
os, os
outros, outro
já, já
gozavam, gozavam
os, os
primeiros, primeiro
dias, dia
de, de
férias, féria
,, ,
o, o
Palmeiras, palmeira
disputava, disputava
o, o
título, título
brasileiro, brasileiro
,, ,
em, em
nome, nome
do, do
futebol, futebol
paulista, paulista
., .
Nada, nada
mais, mai
justo, justo
., .

, 

Pode, pode
até, até
ser, ser
que, que
o, o
Palmeiras, palmeira
não, não
consiga, consiga
iniciar, iniciar
sua, sua
caminhada, caminhada
em, em
direção, direção
ao, ao
bi, bi
com, com
sua, sua
constelação, constelação
completa, completa
., .
Nem, nem
se, se
espere, esper
que, que
já, já
comece, comec
em, em
ponto, ponto
de, de
bala, bala
,, ,
o, o
que, que
,, ,
aliás, aliá
,, ,
seria, seria
arriscado, arriscado
,, ,
além, além
de, de
quase, quas
impossível, impossível
., .
Mas, ma
bastará, bastará
colocar, colocar
em, em
campo, campo
metade, metad
daquele, daquel
time, time
,, ,
mais, mai
Rincón, rincón
,, ,
que, que
já, já
é, é
favorito, favorito
na, na
estréia, estréia
., .

, 

Aliás, aliá
,, ,
por, por
falar, falar
em, em
Rincón, rincón
,, ,
o, o
técnico, técnico
Luxemburgo, luxemburgo
já, já
avisou, avis
que, que
o, o
colombiano, colombiano
será, será
seu, seu
reserva, reserva
de, de
luxo, luxo
., .
Se, se
assim, assim
for, for
,, ,
será, será
uma, uma
arma, arma
letal, letal
apontada, apontada
para, para
a, a
cabeça, cabeça
de, de
todos, todo
os, os
adversários, adversário
., .
Já, já
pensaram, pensaram
naquele, naquel
negrão, negrão
disparando, disparando
sobre, sobr
inimigos, inimigo
já, já
cansados, cansado
no, no
segundo, segundo
tempo, tempo
?, ?

, 

Contudo, contudo
,, ,
eu, eu
arriscaria, arriscaria
uma, uma
jogada, jogada
:, :
a, a
passagem, passagem
de, de
Mazinho, mazinho
para, para
a, a
lateral-direita, lateral-direita
,, ,
com, com
a, a
natural, natur
entrada, entrada
de, de
Rincón, rincón
pelo, pelo
meio, meio
., .
Claro, claro
que, que
o, o
Palmeiras, palmeira
perderia, perderia
em, em
reflexão, reflexão
e, e
segurança, segurança
no, no
meio-campo, meio-campo
,, ,
mas, ma
ganharia, ganharia
em, em
agressividade, agressividad
e, e
rapidez, rapidez
., .

, 

Num, num
momento, momento
qualquer, qualquer
deste, dest
campeonato, campeonato
,, ,
isso, isso
irá, irá
acontecer, acontec
., .
Aí, aí
vai, vai
ser, ser
uma, uma
festa, festa
verde, verd
,, ,
aos, ao
compassos, compasso
da, da
mais, mai
viva, viva
tarantella, tarantella
., .

, 

*, *

, 

O, o
outro, outro
supercampeão, supercampeão
,, ,
porém, porém
,, ,
entra, entra
em, em
campo, campo
neste, nest
domingo, domingo
,, ,
para, para
enfrentar, enfrentar
o, o
Santo, santo
André, andré
,, ,
na, na
casa, casa
do, do
inimigo, inimigo
., .
Embora, embora
desfigurado, desfigurado
,, ,
pela, pela
ausência, ausência
de, de
Telê, telê
no, no
banco, banco
,, ,
e, e
ainda, ainda
sem, sem
as, as
contratações, contrataçõ
desejadas, desejada
,, ,
sempre, sempr
é, é
o, o
São, são
Paulo, paulo
,, ,
com, com
um, um
meio-campo, meio-campo
equilibrado, equilibrado
e, e
uma, uma
parelha, parelha
de, de
beques, bequ
lá, lá
atrás, atrá
de, de
assustar, assustar
qualquer, qualquer
um, um
–, –
Júnior, júnior
Baiano, baiano
e, e
Gilmar, gilmar
., .
Até, até
mesmo, mesmo
(, (
ou, ou
principalmente, principalment
), )
seus, seu
próprios, próprio
torcedores, torcedor
., .

, 

*, *

, 

Ah, ah
,, ,
que, que
boa, boa
chance, chanc
terá, terá
o, o
Corinthians, corinthian
de, de
descontar, descontar
esta, esta
tarde, tard
a, a
desfeita, desfeita
que, que
a, a
Lusa, lusa
lhe, lhe
fez, fez
,, ,
ao, ao
negar-lhe, negar-lh
Dener, dener
..., ...

, 

Mas, ma
algo, algo
me, me
diz, diz
que, que
esse, ess
novo, novo
Corinthians, corinthian
vai, vai
penar, penar
um, um
pouco, pouco
antes, ant
de, de
se, se
entrosar, entrosar
., .
Claro, claro
,, ,
pois, poi
se, se
meio, meio
time, time
acaba, acaba
de, de
arribar, arribar
no, no
Parque, parqu
e, e
até, até
o, o
técnico, técnico
é, é
um, um
estreante, estreant
,, ,
como, como
esperar, esperar
que, que
a, a
equipe, equip
já, já
comece, comec
engrenada, engrenada
?, ?
Ainda, ainda
mais, mai
que, que
Casagrande, casagrand
é, é
dúvida, dúvida
para, para
o, o
clássico, clássico
de, de
hoje, hoje
., .
E, e
ele, ele
,, ,
com, com
sua, sua
experiência, experiência
,, ,
sim, sim
,, ,
poderia, poderia
organizar, organizar
seus, seu
companheiros, companheiro
na, na
hora, hora
do, do
vamos, vamo
ver, ver
., .

, 

A, a
propósito, propósito
,, ,
Afrânio, afrânio
Riul, riul
me, me
disse, diss
outro, outro
dia, dia
que, que
pensava, pensava
em, em
aproveitar, aproveitar
Casão, casão
lá, lá
na, na
frente, frent
,, ,
em, em
dupla, dupla
com, com
Viola, viola
., .
Um, um
dueto, dueto
de, de
arrancar, arrancar
do, do
peito, peito
inflado, inflado
o, o
coração, coração
corintiano, corintiano
,, ,
sem, sem
dúvida, dúvida
,, ,
pois, poi
trata-se, trata-s
dos, do
dois, doi
maiores, maior
carinhos, carinho
da, da
Fiel, fiel
., .

, 

Não, não
tive, tive
chance, chanc
de, de
dar, dar
minha, minha
opinião, opinião
a, a
Riul, riul
., .
Faço-o, faço-o
agora, agora
., .
O, o
amigo, amigo
tem, tem
visto, visto
como, como
anda, anda
jogando, jogando
o, o
holandês, holandê
