Num, ﻿num
domingo, domingo
sem, sem
clássicos, clássico
e, e
sem, sem
confrontos, confronto
entre, entr
os, os
ponteiros, ponteiro
na, na
tabela, tabela
,, ,
o, o
Napoli, napoli
e, e
a, a
Roma, roma
realizam, realizam
o, o
principal, princip
cotejo, cotejo
da, da
21.ª, 21.ª
", "
giornata, giornata
", "
do, do
Italiano, italiano
., .
O, o
jogo, jogo
acontece, acontec
no, no
estádio, estádio
de, de
San, san
Paolo, paolo
., .
A, a
Rede, rede
Bandeirantes, bandeirant
exibe, exib
a, a
partida, partida
,, ,
ao, ao
vivo, vivo
,, ,
a, a
partir, partir
de, de
11h30, 11h30
., .

, 

Com, com
22, 22
pontos, ponto
em, em
40, 40
disponíveis, disponívei
,, ,
o, o
Napoli, napoli
ocupa, ocupa
a, a
sétima, sétima
colocação, colocação
,, ,
às, às
margens, margen
da, da
briga, briga
por, por
uma, uma
vaga, vaga
na, na
próxima, próxima
Copa, copa
da, da
Uefa, uefa
., .
O, o
time, time
dirigido, dirigido
por, por
Marcello, marcello
Lippi, lippi
começou, começ
pessimamente, pessimament
o, o
torneio, torneio
,, ,
mas, ma
se, se
recuperou, recuper
,, ,
graças, graça
à, à
política, política
do, do
mister, mister
,, ,
que, que
prefere, prefer
valorizar, valorizar
os, os
jovens, joven
de, de
futuro, futuro
., .
Com, com
distensão, distensão
na, na
coxa, coxa
direita, direita
,, ,
o, o
ala, ala
Di, di
Canio, canio
,, ,
um, um
dos, do
raros, raro
experientes, experient
da, da
equipe, equip
,, ,
desfalca, desfalca
o, o
elenco, elenco
., .

, 

A, a
Roma, roma
ostenta, ostenta
19, 19
pontos, ponto
e, e
atravessa, atravessa
um, um
momento, momento
desastroso, desastroso
., .
O, o
seu, seu
treinador, treinador
,, ,
o, o
folclórico, folclórico
,, ,
Carletto, carletto
Mazzone, mazzon
,, ,
", "
show-man, show-man
", "
da, da
linha, linha
lateral, later
dos, do
gramados, gramado
,, ,
já, já
tentou, tentou
todos, todo
os, os
esquemas, esquema
possíveis, possívei
e, e
,, ,
ainda, ainda
assim, assim
,, ,
não, não
funciona, funciona
o, o
ataque, ataqu
do, do
quadro, quadro
rubro-amarelo, rubro-amarelo
da, da
capital, capit
., .
Nas, na
suas, sua
20, 20
pugnas, pugna
,, ,
a, a
Roma, roma
só, só
produziu, produziu
17, 17
tentos, tento
,, ,
embora, embora
conte, cont
com, com
atletas, atleta
do, do
nível, nível
do, do
alemão, alemão
Thomas, thoma
Haesller, haesller
e, e
do, do
argentino, argentino
Abel, abel
Balbo, balbo
., .
Dentre, dentr
os, os
18, 18
participantes, participant
do, do
campeonato, campeonato
,, ,
apenas, apena
cinco, cinco
marcaram, marcaram
menos, meno
., .

, 

Na, na
cota, cota
dos, do
30, 30
pontos, ponto
,, ,
o, o
líder, líder
Milan, milan
tem, tem
um, um
jogo, jogo
complicado, complicado
,, ,
em, em
viagem, viagem
à, à
vizinha, vizinha
Bérgamo, bérgamo
,, ,
sede, sede
da, da
Atalanta, atalanta
,, ,
15, 15
pontos, ponto
e, e
o, o
risco, risco
do, do
rebaixamento, rebaixamento
à, à
segunda, segunda
divisão, divisão
., .
Não, não
joga, joga
,, ,
suspenso, suspenso
,, ,
o, o
brasileiro, brasileiro
Alemão, alemão
,, ,
volante, volant
da, da
Atalanta, atalanta
., .
Em, em
seus, seu
domínios, domínio
,, ,
a, a
vice-líder, vice-líd
Juventus, juventu
,, ,
26, 26
pontos, ponto
,, ,
tem, tem
uma, uma
chance, chanc
razoável, razoável
de, de
diminuir, diminuir
a, a
distância, distância
que, que
a, a
separa, separa
do, do
Milan, milan
., .
Com, com
o, o
seu, seu
elenco, elenco
praticamente, praticament
completo, completo
,, ,
o, o
mister, mister
Giovanni, giovanni
Trapattoni, trapattoni
recebe, receb
a, a
visita, visita
do, do
bom, bom
Foggia, foggia
,, ,
20, 20
pontos, ponto
., .
Ironia, ironia
:, :
orienta, orienta
o, o
Foggia, foggia
o, o
tcheco, tcheco
Zdenek, zdenek
Zeman, zeman
,, ,
que, que
poderá, poderá
assumir, assumir
a, a
", "
panchina, panchina
", "
da, da
Juve, juve
em, em
94/95, 94/95
., .
Outra, outra
vice-líder, vice-líd
,, ,
a, a
Sampdoria, sampdoria
,, ,
entrenta, entrenta
o, o
último, último
qualificado, qualificado
,, ,
o, o
pobre, pobr
Lecce, lecc
,, ,
seis, sei
pontos, ponto
,, ,
em, em
Bari, bari
., .
Incidentes, incident
provocados, provocado
pela, pela
torcida, torcida
desesperada, desesperada
do, do
Lecce, lecc
obrigaram, obrigaram
a, a
federação, federação
italiana, italiana
a, a
interditar, interditar
o, o
seu, seu
estádio, estádio
., .

, 

Demais, demai
partidas, partida
:, :
Genoa, genoa
(, (
16, 16
pontos, ponto
), )
x, x
Parma, parma
(, (
25, 25
), )
;, ;
Internazionale, internazional
(, (
24, 24
), )
x, x
Cagliari, cagliari
(, (
19, 19
), )
;, ;
Lazio, lazio
(, (
23, 23
), )
x, x
Cremonese, cremones
(, (
18, 18
), )
;, ;
Piacenza, piacenza
(, (
17, 17
), )
x, x
Reggioana, reggioana
(, (
16, 16
), )
;, ;
Udinese, udines
(, (
16, 16
), )
x, x
Torino, torino
., .

, 

NA, na
TV, tv

, 

Napoli, napoli
x, x
Roma, roma
,, ,
Bandeirantes, bandeirant
,, ,
ao, ao
vivo, vivo
,, ,
11h30, 11h30

, 

