Foram, ﻿foram
cinco, cinco
dias, dia
de, de
testes, test
,, ,
quatro, quatro
deles, dele
das, da
9h, 9h
às, às
17h30, 17h30
com, com
uma, uma
mera, mera
horinha, horinha
de, de
intervalo, intervalo
para, para
o, o
almoço, almoço
., .
A, a
primeira, primeira
semana, semana
de, de
Ayrton, ayrton
Senna, senna
na, na
Williams, william
não, não
poderia, poderia
ter, ter
sido, sido
mais, mai
trabalhosa, trabalhosa
., .
O, o
saldo, saldo
:, :
fez, fez
o, o
melhor, melhor
tempo, tempo
entre, entr
os, os
oito, oito
pilotos, piloto
de, de
cinco, cinco
equipes, equip
que, que
treinaram, treinaram
,, ,
1min12s49, 1min12s49
,, ,
na, na
sexta-feira, sexta-feira
–, –
apenas, apena
um, um
segundo, segundo
pior, pior
do, do
que, que
a, a
pole, pole
do, do
ano, ano
passado, passado
no, no
Estoril, estoril
., .
Isso, isso
com, com
o, o
carro, carro
do, do
ano, ano
passado, passado
,, ,
desfalcado, desfalcado
da, da
eletrônica, eletrônica
abolida, abolida
pela, pela
FIA, fia
., .
Nada, nada
disso, disso
,, ,
porém, porém
,, ,
fez, fez
aflorar, aflorar
o, o
otimismo, otimismo
do, do
piloto, piloto
., .
Ele, ele
acha, acha
que, que
não, não
é, é
o, o
favorito, favorito
para, para
ganhar, ganhar
o, o
Mundial, mundial
de, de
F-1, f-1
deste, dest
ano, ano
,, ,
que, que
começa, começa
dia, dia
27, 27
de, de
março, março
em, em
Interlagos, interlago
., .

, 

No, no
total, total
,, ,
de, de
quinta-feira, quinta-feira
até, até
ontem, ontem
,, ,
Senna, senna
completou, complet
175, 175
voltas, volta
no, no
circuito, circuito
português, portuguê
,, ,
dois, doi
GPs, gp
e, e
meio, meio
., .
Teve, teve
poucos, pouco
problemas, problema
mecânicos, mecânico
,, ,
testou, testou
o, o
novo, novo
motor, motor
Renault, renault
RS6, rs6
,, ,
um, um
sistema, sistema
de, de
direção, direção
hidráulica, hidráulica
e, e
mandou, mandou
cortar, cortar
um, um
pedaço, pedaço
do, do
chassi, chassi
para, para
não, não
esbarrar, esbarrar
a, a
mão, mão
no, no
cockpit, cockpit
., .
", "
O, o
pessoal, pessoal
da, da
equipe, equip
até, até
brincou, brincou
comigo, comigo
,, ,
dizendo, dizendo
que, que
nunca, nunca
a, a
Williams, william
tinha, tinha
feito, feito
isso, isso
para, para
ninguém, ninguém
., .
Esse, ess
interesse, interess
em, em
fazer, fazer
o, o
que, que
for, for
necessário, necessário
pelo, pelo
nosso, nosso
objetivo, objetivo
me, me
deixou, deixou
muito, muito
contente, content
", "
,, ,
disse, diss
Ayrton, ayrton
., .

, 

Os, os
bons, bon
resultados, resultado
,, ,
porém, porém
,, ,
mereceram, mereceram
uma, uma
comemoração, comemoração
apenas, apena
contida, contida
do, do
brasileiro, brasileiro
., .
", "
A, a
idéia, idéia
de, de
que, que
eu, eu
sou, sou
o, o
favorito, favorito
é, é
até, até
compreensível, compreensível
,, ,
mas, ma
nunca, nunca
concordei, concordei
com, com
ela, ela
e, e
não, não
mudei, mudei
de, de
opinião, opinião
depois, depoi
dos, do
testes, test
., .
Acho, acho
que, que
o, o
campeonato, campeonato
vai, vai
ser, ser
mais, mai
competitivo, competitivo
do, do
que, que
todo, todo
mundo, mundo
espera, espera
e, e
também, também
político, político
,, ,
de, de
certa, certa
forma, forma
., .
Só, só
espero, espero
que, que
isso, isso
não, não
tire, tire
o, o
gosto, gosto
esportivo, esportivo
da, da
competição, competição
,, ,
de, de
tão, tão
pouco, pouco
fair, fair
play, play
", "
,, ,
falou, falou
