"Ninguém, ﻿"ninguém
falava, falava
de, de
nós, nó
,, ,
fomos, fomo
desprezados, desprezado
., .
E, e
agora, agora
,, ,
mostramos, mostramo
que, que
somos, somo
os, os
melhores, melhor
!, !
", "
,, ,
berrava, berrava
o, o
goleiro, goleiro
Pitarelli, pitarelli
,, ,
após, apó
defender, defend
as, as
três, trê
cobranças, cobrança
do, do
São, são
Paulo, paulo
., .

, 

A, a
conquista, conquista
do, do
Guarani, guarani
foi, foi
marcada, marcada
pela, pela
dor, dor
., .
Além, além
de, de
Luís, luí
Carlos, carlo
,, ,
que, que
abriu, abriu
a, a
cabeça, cabeça
numa, numa
disputa, disputa
com, com
o, o
zagueiro, zagueiro
Nem, nem
,, ,
o, o
centroavante, centroavant
Luizão, luizão
se, se
arrastou, arrast
em, em
campo, campo
enquanto, enquanto
pôde, pôde
no, no
segundo, segundo
tempo, tempo
para, para
não, não
deixar, deixar
seu, seu
time, time
mais, mai
desfalcado, desfalcado
–, –
Mauricinho, mauricinho
havia, havia
sido, sido
expulso, expulso
aos, ao
41min, 41min
do, do
primeiro, primeiro
tempo, tempo
., .
No, no
segundo, segundo
tempo, tempo
da, da
prorrogação, prorrogação
,, ,
o, o
zagueiro, zagueiro
Carlinhos, carlinho
do, do
Guarani, guarani
sentiu, sentiu
uma, uma
contusão, contusão
,, ,
mas, ma
voltou, voltou
a, a
campo, campo
porque, porqu
não, não
podia, podia
ser, ser
substituído, substituído
., .

, 

Apesar, apesar
do, do
esforço, esforço
do, do
Guarani, guarani
,, ,
o, o
São, são
Paulo, paulo
foi, foi
quase, quas
sempre, sempr
superior, superior
., .
No, no
primeiro, primeiro
tempo, tempo
,, ,
mesmo, mesmo
bem, bem
marcado, marcado
pelo, pelo
adversário, adversário
,, ,
os, os
são-paulinos, são-paulino
criaram, criaram
várias, vária
chances, chanc
,, ,
com, com
Pavão, pavão
,, ,
Toninho, toninho
e, e
Jamelli, jamelli
., .
O, o
Guarani, guarani
atuava, atuava
no, no
contra-ataque, contra-ataqu
,, ,
mas, ma
seus, seu
jogadores, jogador
prendiam, prendiam
muito, muito
a, a
bola, bola
., .
Na, na
defesa, defesa
do, do
São, são
Paulo, paulo
,, ,
o, o
destaque, destaqu
foi, foi
Nem, nem
., .

, 

No, no
segundo, segundo
tempo, tempo
,, ,
o, o
São, são
Paulo, paulo
logo, logo
saiu, saiu
na, na
frente, frent
,, ,
através, atravé
de, de
um, um
pênalti, pênalti
apontado, apontado
incorretamente, incorretament
pelo, pelo
juiz, juiz
–, –
a, a
falta, falta
foi, foi
fora, fora
da, da
área, área
., .
Jamelli, jamelli
cobrou, cobrou
e, e
abriu, abriu
o, o
marcador, marcador
., .
Pupo, pupo
Gimenez, gimenez
trocou, trocou
um, um
zagueiro, zagueiro
pelo, pelo
atacante, atacant
Rubens, ruben
,, ,
ex-São, ex-são
Paulo, paulo
,, ,
e, e
mandou, mandou
seu, seu
time, time
à, à
frente, frent
., .
A, a
tarefa, tarefa
ficou, ficou
mais, mai
fácil, fácil
depois, depoi
que, que
Catê, catê
deu, deu
uma, uma
cotovelada, cotovelada
em, em
Marquinhos, marquinho
e, e
foi, foi
expulso, expulso
,, ,
aos, ao
15min, 15min
., .

, 

Apesar, apesar
do, do
ânimo, ânimo
campineiro, campineiro
,, ,
o, o
São, são
Paulo, paulo
ainda, ainda
era, era
melhor, melhor
., .
Só, só
Toninho, toninho
perdeu, perdeu
dois, doi
gols, gol
feitos, feito
,, ,
aos, ao
17min, 17min
e, e
18min, 18min
., .
Aos, ao
40min, 40min
,, ,
Rubens, ruben
empatou, empat
,, ,
cobrando, cobrando
uma, uma
falta, falta
da, da
