Só, ﻿só
uma, uma
vitória, vitória
sobre, sobr
o, o
Londrina, londrina
,, ,
hoje, hoje
às, às
17h, 17h
no, no
Parque, parqu
Antarctica, antarctica
,, ,
classifica, classifica
o, o
Palmeiras, palmeira
para, para
as, as
quartas-de-final, quartas-de-fin
da, da
Copa, copa
São, são
Paulo, paulo
de, de
Juniores, junior
., .

, 

No, no
último, último
jogo, jogo
disputado, disputado
entre, entr
as, as
duas, dua
equipes, equip
,, ,
na, na
Copa, copa
Cidade, cidad
de, de
Londrina, londrina
,, ,
no, no
fim, fim
do, do
ano, ano
passado, passado
,, ,
o, o
Londrina, londrina
saiu, saiu
vencedor, vencedor
., .
A, a
partida, partida
promete, promet
um, um
duelo, duelo
de, de
artilheiros, artilheiro
., .
A, a
atração, atração
do, do
time, time
paranaense, paranaens
é, é
o, o
atacante, atacant
Agnaldo, agnaldo
,, ,
artilheiro, artilheiro
da, da
Copa, copa
SP, sp
,, ,
com, com
oito, oito
gols, gol
(, (
leia, leia
texto, texto
abaixo, abaixo
), )
., .
O, o
artilheiro, artilheiro
do, do
Palmeiras, palmeira
é, é
o, o
centroavante, centroavant
Magrão, magrão
,, ,
com, com
seis, sei
gols, gol
., .

, 

Não, não
só, só
a, a
classificação, classificação
do, do
Palmeiras, palmeira
está, está
em, em
jogo, jogo
., .
A, a
equipe, equip
nunca, nunca
conseguiu, conseguiu
vencer, vencer
a, a
Copa, copa
São, são
Paulo, paulo
em, em
suas, sua
25, 25
edições, ediçõ
e, e
este, est
ano, ano
é, é
o, o
grande, grand
teste, test
para, para
o, o
esquema, esquema
do, do
time, time
com, com
a, a
multinacional, multinacion
italiana, italiana
Parmalat, parmalat
., .
Uma, uma
derrota, derrota
hoje, hoje
colocará, colocará
em, em
dúvida, dúvida
o, o
projeto, projeto
Palmeiras, palmeira
/, /
Parmalat, parmalat
de, de
ter, ter
em, em
suas, sua
categorias, categoria
inferiores, inferior
do, do
futebol, futebol
um, um
celeiro, celeiro
de, de
produção, produção
de, de
grandes, grand
jogadores, jogador
para, para
suprir, suprir
o, o
time, time
profissional, profission
no, no
futuro, futuro
., .

, 

O, o
técnico, técnico
Ademir, ademir
Chiarotti, chiarotti
,, ,
que, que
estava, estava
dirigindo, dirigindo
os, os
juniores, junior
há, há
três, trê
meses, mese
,, ,
foi, foi
demitido, demitido
pela, pela
direção, direção
palmeirense, palmeirens
antes, ant
do, do
primeiro, primeiro
jogo, jogo
na, na
Copa, copa
., .
A, a
falta, falta
de, de
entrosamento, entrosamento
com, com
a, a
filosofia, filosofia
Palmeiras, palmeira
