Dos, ﻿do
três, trê
jogadores, jogador
,, ,
que, que
estão, estão
com, com
contratos, contrato
vencidos, vencido
,, ,
o, o
único, único
que, que
participou, particip
esta, esta
semana, semana
das, da
avaliações, avaliaçõ
físicas, física
e, e
dos, do
poucos, pouco
treinamentos, treinamento
foi, foi
Cerezo, cerezo
., .
Cafu, cafu
,, ,
em, em
lua-de-mel, lua-de-mel
em, em
Comandatuba, comandatuba
,, ,
e, e
Muller, muller
,, ,
obtiveram, obtiveram
licença, licença
da, da
diretoria, diretoria
para, para
se, se
reapresentarem, reapresentarem
mais, mai
tarde, tard
., .

, 

Cerezo, cerezo
tinha, tinha
viagem, viagem
marcada, marcada
para, para
o, o
Rio, rio
,, ,
onde, ond
se, se
reunirá, reunirá
com, com
os, os
dirigentes, dirigent
do, do
Flamengo, flamengo
,, ,
que, que
tem, tem
interesse, interess
em, em
sua, sua
contratação, contratação
., .
O, o
clube, clube
da, da
Gávea, gávea
prometeu, prometeu
até, até
apresentar, apresentar
o, o
meio-campista, meio-campista
como, como
novo, novo
reforço, reforço
da, da
equipe, equip
,, ,
na, na
festa, festa
de, de
reinauguração, reinauguração
de, de
seu, seu
estádio, estádio
,, ,
marcada, marcada
para, para
hoje, hoje
., .
O, o
técnico, técnico
Júnior, júnior
está, está
empenhado, empenhado
:, :
ligou, ligou
para, para
o, o
jogador, jogador
esta, esta
semana, semana
,, ,
explicando, explicando
os, os
planos, plano
do, do
clube, clube
para, para
94, 94
., .

, 

Outros, outro
dois, doi
jogadores, jogador
que, que
precisam, precisam
tratar, tratar
da, da
renovação, renovação
são, são
o, o
goleiro, goleiro
Zetti, zetti
e, e
o, o
lateral, later
Vítor, vítor
., .
Ambos, ambo
foram, foram
convencidos, convencido
pela, pela
diretoria, diretoria
a, a
atuar, atuar
hoje, hoje
., .
O, o
atacante, atacant
Valdeir, valdeir
,, ,
no, no
entanto, entanto
,, ,
esperava, esperava
acertar, acertar
sua, sua
condição, condição
no, no
clube, clube
antes, ant
de, de
se, se
colocar, colocar
à, à
disposição, disposição
de, de
Murici, murici
., .
", "
Tenho, tenho
contrato, contrato
até, até
junho, junho
,, ,
mas, ma
quero, quero
saber, saber
se, se
vou, vou
ser, ser
aproveitado, aproveitado
pela, pela
equipe, equip
., .
Se, se
não, não
for, for
o, o
caso, caso
,, ,
prefiro, prefiro
sair, sair
", "
,, ,
afirmou, afirm
o, o
jogador, jogador
,, ,
durante, durant
os, os
treinos, treino
., .
Como, como
única, única
saída, saída
,, ,
a, a
comissão, comissão
técnica, técnica
poderá, poderá
escalar, escalar
um, um
dos, do
atletas, atleta
da, da
equipe, equip
de, de
juniores, junior
,, ,
como, como
Caio, caio
ou, ou
Guilherme, guilherm
,, ,
caso, caso
Valdeir, valdeir
mantenha, mantenha
sua, sua
decisão, decisão
., .
O, o
problema, problema
está, está
em, em
sacrificar, sacrificar
jogadores, jogador
que, que
atuaram, atuaram
ontem, ontem
pela, pela
semifinal, semifin
da, da
Copa, copa
SP, sp
de, de
Juniores, junior
contra, contra
o, o
Inter, inter
de, de
Porto, porto
Alegre, alegr
., .

, 

Mesmo, mesmo
sem, sem
estar, estar
em, em
plena, plena
forma, forma
,, ,
o, o
recém-contratado, recém-contratado
Júnior, júnior
Baiano, baiano
será, será
outro, outro
sacrificado, sacrificado
., .
Com, com
o, o
acerto, acerto
da, da
transferência, transferência
de, de
Ronaldo, ronaldo
para, para
o, o
futebol, futebol
japonês, japonê
–, –
ele, ele
pode, pode
viajar, viajar
já, já
nas, na
próximas, próxima
semanas, semana
–, –
,, ,
Murici, murici
não, não
teve, teve
como, como
poupar, poupar
o, o
zagueiro, zagueiro
., .
", "
O, o
que, que
eu, eu
posso, posso
fazer, fazer
?, ?
", "
,, ,
perguntava, perguntava
Murici, murici
,, ,
na, na
sexta-feira, sexta-feira
., .

, 

Como, como
compensação, compensação
,, ,
o, o
técnico, técnico
iria, iria
orientar, orientar
os, os
jogadores, jogador
de, de
meio-campo, meio-campo
a, a
resguardar, resguardar
o, o
setor, setor
do, do
novo, novo
zagueiro, zagueiro
., .
", "
A, a
característica, característica
do, do
São, são
Paulo, paulo
é, é
um, um
forte, fort
ataque, ataqu
,, ,
mas, ma
com, com
a, a
defesa, defesa
desguarnecida, desguarnecida
,, ,
teremos, teremo
que, que
recuar, recuar
os, os
homens, homen
do, do
meio, meio
para, para
evitar, evitar
surpresas, surpresa
", "
,, ,
afirmou, afirm
Murici, murici
., .
O, o
treinador, treinador
,, ,
porém, porém
,, ,
negou, negou
que, que
a, a
equipe, equip
jogará, jogará
para, para
se, se
defender, defend
., .

, 

O, o
volante, volant
Axel, axel
,, ,
contratado, contratado
junto, junto
ao, ao
Santos, santo
após, apó
complicada, complicada
negociação, negociação
,, ,
tinha, tinha
apresentação, apresentação
marcada, marcada
para, para
ontem, ontem
,, ,
no, no
clube, clube
., .
Já, já
Dinho, dinho
,, ,
que, que
,, ,
contrariado, contrariado
,, ,
foi, foi
para, para
a, a
equipe, equip
santista, santista
,, ,
viajou, viajou
para, para
o, o
litoral, litor
junto, junto
de, de
seu, seu
advogado, advogado
Antônio, antônio
Carlos, carlo
Catta-Preta, catta-preta
,, ,
para, para
tentar, tentar
acertar, acertar
as, as
bases, base
de, de
seu, seu
contrato, contrato
., .
A, a
diretoria, diretoria
são-paulina, são-paulina
promete, promet
para, para
a, a
próxima, próxima
