"A, ﻿"a
Bahia, bahia
tem, tem
muito, muito
jogador, jogador
bom, bom
", "
,, ,
diz, diz
o, o
técnico, técnico
Chiquinho, chiquinho
,, ,
do, do
Bahia, bahia
., .
Por, por
isso, isso
,, ,
segundo, segundo
ele, ele
,, ,
o, o
clube, clube
jamais, jamai
pagou, pagou
por, por
um, um
jogador, jogador
infantil, infantil
,, ,
juvenil, juvenil
ou, ou
júnior, júnior
., .
", "
A, a
maioria, maioria
dos, do
que, que
chegam, chegam
vêm, vêm
indicados, indicado
por, por
olheiros, olheiro
,, ,
que, que
quase, quas
sempre, sempr
são, são
torcedores, torcedor
do, do
Bahia, bahia
ou, ou
amigos, amigo
do, do
clube, clube
", "
,, ,
acrescenta, acrescenta
., .

, 

Chiquinho, chiquinho
afirma, afirma
que, que
a, a
maioria, maioria
dos, do
juniores, junior
do, do
Bahia, bahia
está, está
no, no
clube, clube
desde, desd
os, os
12, 12
,, ,
13, 13
anos, ano
., .
", "
Este, est
ano, ano
só, só
incorporamos, incorporamo
um, um
júnior, júnior
,, ,
de, de
mais, mai
de, de
300, 300
que, que
testamos, testamo
., .
", "
Esse, ess
júnior, júnior
é, é
o, o
zagueiro, zagueiro
Cristiano, cristiano
,, ,
hoje, hoje
na, na
reserva, reserva
., .
Nos, no
últimos, último
nove, nove
anos, ano
,, ,
o, o
Bahia, bahia
foi, foi
campeão, campeão
estadual, estadu
da, da
categoria, categoria
., .

, 

O, o
Vitória, vitória
,, ,
que, que
revelou, revel
Dida, dida
,, ,
Paulo, paulo
Isidoro, isidoro
e, e
Alex, alex
Alves, alv
no, no
último, último
Campeonato, campeonato
Brasileiro, brasileiro
,, ,
tem, tem
uma, uma
filosofia, filosofia
diferente, diferent
,, ,
segundo, segundo
o, o
técnico, técnico
Péricles, péricl
Chamusca, chamusca
,, ,
28, 28
,, ,
que, que
dirige, dirig
a, a
equipe, equip
há, há
dois, doi
anos, ano
–, –
em, em
1991, 1991
,, ,
mudou, mudou
com, com
vários, vário
jogadores, jogador
do, do
Bahia, bahia
para, para
o, o
Vitória, vitória
., .
Como, como
o, o
Bahia, bahia
,, ,
o, o
Vitória, vitória
dá, dá
alojamento, alojamento
,, ,
assistência, assistência
médica, médica
e, e
até, até
paga, paga
colégio, colégio
para, para
os, os
juvenis, juveni
e, e
juniores, junior
., .
", "
Nós, nó
só, só
formamos, formamo
jogadores, jogador
para, para
os, os
profissionais, profissionai
., .
Não, não
nos, no
interessa, interessa
ser, ser
campeões, campeõ
., .
", "
Na, na
última, última
Copa, copa
São, são
Paulo, paulo
,, ,
o, o
Vitória, vitória
ficou, ficou
em, em
terceiro, terceiro
., .

, 

Bahia, bahia
e, e
Vitória, vitória
têm, têm
duas, dua
características, característica
em, em
comum, comum
,, ,
além, além
do, do
sucesso, sucesso
:, :
vários, vário
jogadores, jogador
juniores, junior
já, já
jogam, jogam
nos, no
profissionais, profissionai
e, e
seus, seu
jogadores, jogador
são, são
mais, mai
altos, alto
do, do
que, que
a, a
média, média
., .
(, (
MD, md
), )

, 

