Flamengo, ﻿flamengo
,, ,
Fluminense, fluminens
e, e
Botafogo, botafogo
estão, estão
fora, fora
do, do
Campeonato, campeonato
Estadual, estadu
de, de
Futebol, futebol
do, do
Rio, rio
de, de
1994, 1994
., .
A, a
decisão, decisão
–, –
antes, ant
uma, uma
ameaça, ameaça
–, –
foi, foi
anunciada, anunciada
ontem, ontem
em, em
reunião, reunião
da, da
recém-fundada, recém-fundada
Liga, liga
Carioca, carioca
,, ,
entidade, entidad
que, que
reúne, reún
os, os
três, trê
clubes, clube
., .
A, a
competição, competição
será, será
como, como
um, um
Campeonato, campeonato
Paulista, paulista
sem, sem
Corinthians, corinthian
,, ,
Palmeiras, palmeira
e, e
Santos, santo
., .

, 

A, a
Liga, liga
vai, vai
organizar, organizar
um, um
campeonato, campeonato
paralelo, paralelo
até, até
maio, maio
ou, ou
junho, junho
,, ,
quando, quando
começa, começa
a, a
Copa, copa
do, do
Mundo, mundo
., .
Convidará, convidará
três, trê
clubes, clube
pequenos, pequeno
–, –
Bonsucesso, bonsucesso
,, ,
Portuguesa, portuguesa
e, e
Canto, canto
do, do
Rio, rio
–, –
para, para
participar, participar
., .
Se, se
eles, ele
aceitarem, aceitarem
,, ,
o, o
torneio, torneio
terá, terá
dez, dez
rodadas, rodada
., .

, 

Hoje, hoje
o, o
presidente, president
da, da
Federação, federação
de, de
Futebol, futebol
do, do
Rio, rio
,, ,
Eduardo, eduardo
Viana, viana
,, ,
se, se
reúne, reún
com, com
os, os
demais, demai
clubes, clube
do, do
Campeonato, campeonato
Estadual, estadu
–, –
a, a
maioria, maioria
do, do
interior, interior
–, –
para, para
definir, definir
a, a
tabela, tabela
., .
Podem, podem
ser, ser
discutidas, discutida
punições, puniçõ
para, para
os, os
clubes, clube
", "
rebeldes, rebeld
", "
que, que
decidiram, decidiram
não, não
participar, participar
do, do
campeonato, campeonato
., .

, 

Viana, viana
negou-se, negou-s
ontem, ontem
a, a
atender, atend
a, a
Folha, folha
para, para
falar, falar
sobre, sobr
a, a
ruptura, ruptura
da, da
Liga, liga
e, e
o, o
inquérito, inquérito
do, do
Tribunal, tribun
de, de
Justiça, justiça
Desportiva, desportiva
sobre, sobr
irregularidades, irregularidad
nas, na
arbitragens, arbitragen
., .
Prometeu, prometeu
dar, dar
entrevista, entrevista
hoje, hoje
depois, depoi
da, da
reunião, reunião
com, com
os, os
clubes, clube
do, do
Estadual, estadu
., .

, 

", "
O, o
campeonato, campeonato
da, da
Liga, liga
ainda, ainda
não, não
vai, vai
ser, ser
o, o
ideal, ideal
,, ,
mas, ma
é, é
um, um
passo, passo
para, para
melhorar, melhorar
o, o
futebol, futebol
do, do
Rio, rio
", "
,, ,
afirmou, afirm
o, o
novo, novo
presidente, president
do, do
Botafogo, botafogo
,, ,
Carlos, carlo
Augusto, augusto
Montenegro, montenegro
., .

, 

O, o
único, único
clube, clube
de, de
grande, grand
torcida, torcida
a, a
permanecer, permanec
na, na
federação, federação
é, é
o, o
Vasco, vasco
da, da
Gama, gama
., .
Seu, seu
principal, princip
dirigente, dirigent
de, de
futebol, futebol
,, ,
Eurico, eurico
Miranda, miranda
,, ,
é, é
aliado, aliado
de, de
Eduardo, eduardo
Viana, viana
,, ,
presidente, president
da, da
federação, federação
., .
(, (
MM, mm
), )

, 

