Poucos, ﻿pouco
dias, dia
após, apó
ter, ter
assinado, assinado
um, um
contrato, contrato
de, de
US$, us$
55, 55
milhões, milhõ
com, com
o, o
Detroit, detroit
Pistons, piston
,, ,
o, o
armador, armador
Isiah, isiah
Thomas, thoma
,, ,
32, 32
,, ,
foi, foi
contemplado, contemplado
com, com
outra, outra
boa, boa
notícia, notícia
:, :
sua, sua
convocação, convocação
para, para
integrar, integrar
o, o
", "
Dream, dream
Team, team
2, 2
", "
(, (
Time, time
dos, do
Sonhos, sonho
2, 2
), )
,, ,
que, que
representará, representará
os, os
EUA, eua
no, no
Campeonato, campeonato
Mundial, mundial
de, de
Toronto, toronto
,, ,
Canadá, canadá
,, ,
em, em
agosto, agosto
próximo, próximo
., .
O, o
Brasil, brasil
participará, participará
do, do
Mundial, mundial
e, e
jogará, jogará
contra, contra
os, os
EUA, eua
., .

, 

Isiah, isiah
foi, foi
convocado, convocado
para, para
substituir, substituir
o, o
armador, armador
do, do
Golden, golden
State, state
Warriors, warrior
,, ,
Tim, tim
Hardaway, hardaway
,, ,
que, que
se, se
contundiu, contundiu
., .
Dois, doi
nomes, nome
estavam, estavam
sendo, sendo
cogitados, cogitado
para, para
ocupar, ocupar
a, a
vaga, vaga
:, :
Kevin, kevin
Johnson, johnson
,, ,
do, do
Phoenix, phoenix
Suns, sun
,, ,
e, e
Mitch, mitch
Richmond, richmond
,, ,
do, do
Sacramento, sacramento
Kings, king
., .

, 

Influiu, influiu
na, na
convocação, convocação
o, o
fato, fato
de, de
que, que
o, o
", "
Dream, dream
Team, team
2, 2
", "
já, já
tem, tem
o, o
armador, armador
Joe, joe
Dumars, dumar
,, ,
companheiro, companheiro
de, de
Isiah, isiah
nos, no
Pistons, piston
,, ,
o, o
que, que
facilita, facilita
o, o
entrosamento, entrosamento
da, da
seleção, seleção
., .
Além, além
disso, disso
,, ,
a, a
", "
USA, usa
Basketball, basketbal
", "
supera, supera
a, a
polêmica, polêmica
da, da
não-convocação, não-convocação
de, de
Isiah, isiah
para, para
o, o
time, time
campeão, campeão
olímpico, olímpico
em, em
Barcelona, barcelona
,, ,
quando, quando
o, o
jogador, jogador
teve, teve
seu, seu
nome, nome
vetado, vetado
por, por
influência, influência
de, de
Michael, michael
Jordan, jordan
,, ,
ex-armador, ex-armador
dos, do
Bulls, bull
., .

, 

Racismo, racismo

, 

Doc, doc
Rivers, river
,, ,
armador, armador
do, do
New, new
York, york
Knicks, knick
,, ,
que, que
está, está
se, se
recupeando, recupeando
de, de
contusão, contusão
no, no
joelho, joelho
,, ,
denuncia, denuncia
em, em
livro, livro
sobre, sobr
sua, sua
carreira, carreira
profissional, profission
a, a
existência, existência
de, de
racismo, racismo
dentro, dentro
da, da
NBA, nba
., .
", "
Só, só
temos, temo
que, que
olhar, olhar
as, as
pessoas, pessoa
que, que
ocupam, ocupam
os, os
altos, alto
cargos, cargo
na, na
direção, direção
das, da
equipes, equip
e, e
daremos, daremo
conta, conta
dessa, dessa
realidade, realidad
", "
,, ,
afirmou, afirm
Rivers, river
em, em
um, um
capítulo, capítulo
de, de
12, 12
páginas, página
dedicado, dedicado
ao, ao
assunto, assunto
., .

, 

