Meus, ﻿meu
amigos, amigo
,, ,
meus, meu
inimigos, inimigo
,, ,
de, de
que, que
fonte, font
o, o
time, time
do, do
São, são
Paulo, paulo
colhe, colh
as, as
suas, sua
promessas, promessa
de, de
plenitude, plenitud
na, na
ponta-esquerda, ponta-esquerda
?, ?

, 

O, o
ataque, ataqu
(, (
que, que
inclui, inclui
o, o
sax-simbol, sax-simbol
Jamelli, jamelli
e, e
o, o
esperto, esperto
Guilherme, guilherm
), )
se, se
completou, complet
,, ,
no, no
último, último
domingo, domingo
,, ,
com, com
os, os
", "
raids, raid
", "
pela, pela
esquerda, esquerda
do, do
piloto, piloto
da, da
caça-bombardeiro, caça-bombardeiro
Toninho, toninho
atirando, atirando
para, para
a, a
área, área
do, do
Flamengo, flamengo
., .

, 

Mas, ma
,, ,
da, da
mesma, mesma
maneira, maneira
como, como
,, ,
tradicionalmente, tradicionalment
,, ,
é, é
fácil, fácil
para, para
o, o
Morumbi, morumbi
revelar, revelar
promessas, promessa
de, de
fazedores, fazedor
de, de
felicidade, felicidad
do, do
flanco, flanco
esquerdo, esquerdo
,, ,
é, é
igualmente, igualment
misterioso, misterioso
o, o
destino, destino
destes, dest
seres, sere
endiabrados, endiabrado
., .

, 

Lembro-me, lembro-m
disto, disto
pensando, pensando
em, em
um, um
ponta, ponta
do, do
mérito, mérito
e, e
da, da
acrobacia, acrobacia
de, de
um, um
Elivélton, elivélton
,, ,
por, por
exemplo, exemplo
., .
Ou, ou
nas, na
ilusões, ilusõ
perdidas, perdida
de, de
uma, uma
grande, grand
esperança, esperança
,, ,
o, o
Sidnei, sidnei
(, (
que, que
,, ,
aliás, aliá
,, ,
é, é
irmão, irmão
deste, dest
perigosíssimo, perigosíssimo
Toninho, toninho
), )
., .

, 

Não, não
sei, sei
bem, bem
a, a
razão, razão
,, ,
mas, ma
é, é
também, também
intrigante, intrigant
que, que
a, a
lenda, lenda
atribua, atribua
ao, ao
Saci, saci
apenas, apena
a, a
perna, perna
esquerda, esquerda
., .
Como, como
a, a
mitologia, mitologia
é, é
quase, quas
sempre, sempr
politicamente, politicament
incorreta, incorreta
,, ,
a, a
idéia, idéia
do, do
preto, preto
canhoto, canhoto
estaria, estaria
ligada, ligada
à, à
marotice, marotic
e, e
a, a
algum, algum
infortúnio, infortúnio
., .

, 

É, é
certo, certo
que, que
a, a
literatura, literatura
e, e
o, o
desenho, desenho
infantís, infantí
", "
simpatizaram, simpatizaram
", "
a, a
figura, figura
do, do
Saci, saci
., .
E, e
os, os
grandes, grand
Canhoteiros, canhoteiro
se, se
encarregaram, encarregaram
de, de
enterrar, enterrar
esta, esta
imagem, imagem
para, para
o, o
futebol, futebol
., .

, 

Mas, ma
por, por
que, que
será, será
que, que
o, o
Morumbi, morumbi
,, ,
casa, casa
pródiga, pródiga
na, na
tecnologia, tecnologia
de, de
ponta-esquerda, ponta-esquerda
,, ,
só, só
vem, vem
dando, dando
certo, certo
por, por
aquele, aquel
setor, setor
com, com
o, o
Muller, muller
,, ,
uma, uma
espécie, espéci
de, de
feliz, feliz
desterrado, desterrado
da, da
ponta-direita, ponta-direita
?, ?

, 

Beleza, beleza

, 

Por, por
falar, falar
em, em
São, são
Paulo, paulo
,, ,
que, que
beleza, beleza
ein, ein
,, ,
moçadinha, moçadinha
?, ?
Rolo, rolo
compressor, compressor
,, ,
máquina, máquina
mortífera, mortífera
,, ,
serial, serial
killer, killer
., .
O, o
melhor, melhor
do, do
melhor, melhor
da, da
teen, teen
bolada, bolada
., .
Wow, wow
!, !

, 

Caso, caso
Raí, raí

, 

O, o
", "
Cartão, cartão
Verde, verd
", "
do, do
último, último
domingo, domingo
tocou, tocou
na, na
delicadíssima, delicadíssima
questão, questão
Raí, raí
., .
Em, em
termos, termo
psicanalíticos, psicanalítico
,, ,
acho, acho
que, que
o, o
Raí, raí
é, é
mais, mai
um, um
caso, caso
de, de
psicose, psicos
do, do
que, que
de, de
carência, carência
motora, motora
., .

, 

Sem, sem
ser, ser
um, um
gênio, gênio
como, como
o, o
seu, seu
irmão, irmão
Sócrates, sócrate
,, ,
no, no
entanto, entanto
,, ,
tem, tem
um, um
ótimo, ótimo
domínio, domínio
de, de
bola, bola
,, ,
uma, uma
forte, fort
arrancada, arrancada
,, ,
é, é
um, um
eficiente, eficient
organizador, organizador
de, de
jogadas, jogada
e, e
um, um
frio, frio
finalizador, finalizador
., .
Só, só
que, que
tem, tem
alguma, alguma
psicose, psicos
que, que
lhe, lhe
dá, dá
um, um
pouco, pouco
este, est
ar, ar
lânguido, lânguido
., .

, 

A, a
importância, importância
do, do
Raí, raí
hoje, hoje
é, é
mais, mai
simbólica, simbólica
do, do
que, que
concreta, concreta
., .

, 

Mais, mai
do, do
que, que
nenhum, nenhum
outro, outro
jogador, jogador
,, ,
ele, ele
evoca, evoca
o, o
renascimento, renascimento
do, do
futebol, futebol
brasileiro, brasileiro
dos, do
nossos, nosso
dias, dia
,, ,
com, com
a, a
sucessão, sucessão
de, de
vitórias, vitória
que, que
conquistou, conquist
junto, junto
com, com
o, o
São, são
Paulo, paulo
nos, no
últimos, último
anos, ano
., .

, 

Raí, raí
talvez, talvez
não, não
seja, seja
mesmo, mesmo
o, o
melhor, melhor
jogador, jogador
brasileiro, brasileiro
da, da
atualidade, atualidad
., .
Mas, ma
o, o
mundo, mundo
inteiro, inteiro
reconheceu, reconheceu
nele, nele
o, o
ressurgimento, ressurgimento
da, da
força, força
incomensurável, incomensurável
do, do
futebol, futebol
desta, desta
terra, terra
., .

, 

Para, para
ele, ele
,, ,
se, se
estenderam, estenderam
todos, todo
os, os
tapetes, tapet
verdes, verd
., .
Este, est
poder, poder
simbólico, simbólico
pode, pode
valer, valer
uma, uma
Copa, copa
do, do
Mundo, mundo
., .

, 

Raí, raí
não, não
é, é
intocável, intocável
., .
Mas, ma
o, o
planeta, planeta
futebol, futebol
inteirinho, inteirinho
sabe, sabe
que, que
quem, quem
é, é
Raí, raí
não, não
perderá, perderá
a, a
majestade, majestad
., .

, 

Cult, cult

, 

O, o
cult, cult
jornal, jornal
nova-iorquino, nova-iorquino
", "
Village-Voice, village-voic
", "
colocou, coloc
o, o
desaparecido, desaparecido
time, time
de, de
futebol, futebol
da, da
Zâmbia, zâmbia
como, como
o, o
segundo, segundo
melhor, melhor
time, time
de, de
qualquer, qualquer
esporte, esport
coletivo, coletivo
de, de
1993, 1993
(, (
o, o
primeiro, primeiro
foi, foi
o, o
Chicago, chicago
Bulls, bull
,, ,
da, da
NBA, nba
), )
., .
Depois, depoi
escolheu, escolheu
o, o
Deportivo, deportivo
La, la
Coruña, coruña
em, em
23º, 23º
,, ,
a, a
seleção, seleção
do, do
México, méxico
em, em
30º, 30º
,, ,
o, o
Milan, milan
em, em
31º, 31º
e, e
o, o
São, são
Paulo, paulo
., .
Em, em
58º., 58º.

, 

Matinas, matina
Suzuki, suzuki
Jr., jr.
escreve, escrev
nesta, nesta
coluna, coluna
às, às
terças, terça
,, ,
quintas, quinta
e, e
sábados, sábado
., .

, 

