Embalado, ﻿embalado
pela, pela
vitória, vitória
de, de
sexta-feira, sexta-feira
à, à
noite, noit
sobre, sobr
o, o
Bahia, bahia
(, (
1, 1
x, x
0, 0
), )
,, ,
o, o
Corinthians, corinthian
tenta, tenta
hoje, hoje
derrotar, derrotar
a, a
Portuguesa, portuguesa
., .
O, o
time, time
busca, busca
repetir, repetir
o, o
caminho, caminho
vitorioso, vitorioso
do, do
São, são
Paulo, paulo
na, na
Copa, copa
SP, sp
do, do
ano, ano
passado, passado
., .

, 

Em, em
93, 93
,, ,
o, o
São, são
Paulo, paulo
iniciou, inici
mal, mal
a, a
competição, competição
–, –
só, só
passou, passou
para, para
a, a
segunda, segunda
fase, fase
por, por
sorteio, sorteio
–, –
e, e
,, ,
mesmo, mesmo
sem, sem
jogar, jogar
um, um
futebol, futebol
vistoso, vistoso
,, ,
chegou, chegou
à, à
final, final
., .
Aí, aí
,, ,
com, com
um, um
jogo, jogo
envolvente, envolvent
,, ,
venceu, venceu
o, o
Corinthians, corinthian
,, ,
que, que
era, era
o, o
favorito, favorito
., .
O, o
jogo, jogo
terminou, termin
4, 4
a, a
3, 3
,, ,
com, com
três, trê
gols, gol
de, de
Jamelli, jamelli
,, ,
que, que
até, até
então, então
não, não
havia, havia
marcado, marcado
na, na
competição, competição
., .

, 

A, a
situação, situação
deste, dest
ano, ano
é, é
inversa, inversa
., .
O, o
Corinthians, corinthian
não, não
mostrou, mostrou
na, na
primeira, primeira
fase, fase
o, o
mesmo, mesmo
entrosamento, entrosamento
do, do
ano, ano
passado, passado
., .
Na, na
primeira, primeira
fase, fase
,, ,
o, o
time, time
classificou-se, classificou-s
em, em
segundo, segundo
lugar, lugar
e, e
graças, graça
à, à
derrota, derrota
do, do
Cruzeiro, cruzeiro
para, para
o, o
Atlético, atlético
/, /
GO, go
na, na
última, última
rodada, rodada
., .
O, o
São, são
Paulo, paulo
é, é
apontado, apontado
unanimemente, unanimement
como, como
o, o
time, time
mais, mai
forte, fort
desta, desta
Copa, copa
., .

, 

Outra, outra
semelhança, semelhança
entre, entr
o, o
São, são
Paulo, paulo
de, de
1993, 1993
e, e
o, o
Corinthians, corinthian
de, de
1994, 1994
é, é
o, o
técnico, técnico
Márcio, márcio
Araújo, araújo
., .
Alegando, alegando
que, que
não, não
tinha, tinha
mais, mai
desafios, desafio
no, no
time, time
do, do
Morumbi, morumbi
,, ,
Araújo, araújo
foi, foi
para, para
o, o
Parque, parqu
São, são
Jorge, jorg
,, ,
que, que
havia, havia
demitido, demitido
Ivan, ivan
Silva, silva
–, –
hoje, hoje
técnico, técnico
da, da
Portuguesa, portuguesa
., .

, 

Márcio, márcio
Araújo, araújo
tentou, tentou
aplicar, aplicar
a, a
filosofia, filosofia
do, do
São, são
Paulo, paulo
., .
Na, na
primeira, primeira
fase, fase
,, ,
a, a
equipe, equip
–, –
uma, uma
das, da
mais, mai
baixas, baixa
e, e
leves, leve
da, da
competição, competição
–, –
tentou, tentou
jogar, jogar
em, em
velocidade, velocidad
e, e
ofensivamente, ofensivament
., .
Tropeçou, tropeç
contra, contra
o, o
Juventude, juventud
,, ,
um, um
time, time
de, de
jogadores, jogador
fortes, fort
e, e
que, que
joga, joga
à, à
Mário, mário
Sérgio, sérgio
., .
", "
Eles, ele
fizeram, fizeram
umas, uma
40, 40
faltas, falta
na, na
gente, gent
", "
,, ,
reclamou, reclam
Márcio, márcio
Araújo, araújo
,, ,
lembrando, lembrando
as, as
reclamações, reclamaçõ
dos, do
técnicos, técnico
que, que
enfrentavam, enfrentavam
o, o
Corinthians, corinthian
no, no
Brasileiro, brasileiro
de, de
1993, 1993
., .

, 

Na, na
seguda, seguda
fase, fase
,, ,
Márcio, márcio
Araújo, araújo
pôs, pô
Gino, gino
no, no
lugar, lugar
do, do
inexperiente, inexperient
Pedro, pedro
., .
O, o
time, time
abandonou, abandon
a, a
linha, linha
", "
light, light
", "
e, e
se, se
transformou, transform
em, em
guerreiro, guerreiro
., .
", "
Gino, gino
só, só
não, não
estava, estava
jogando, jogando
porque, porqu
não, não
estava, estava
com, com
total, total
condição, condição
de, de
jogo, jogo
,, ,
mas, ma
sempre, sempr
foi, foi
o, o
titular, titular
", "
,, ,
disse, diss
Márcio, márcio
araújo, araújo
,, ,
antes, ant
ainda, ainda
da, da
partida, partida
., .

, 

O, o
time, time
da, da
Portuguesa, portuguesa
,, ,
após, apó
uma, uma
boa, boa
e, e
azarada, azarada
campanha, campanha
na, na
primeira, primeira
fase, fase
–, –
empatou, empat
em, em
primeiro, primeiro
lugar, lugar
na, na
Série, série
H, h
com, com
o, o
Grêmio, grêmio
,, ,
mas, ma
perdeu, perdeu
no, no
sorteio, sorteio
–, –
,, ,
tropeçou, tropeç
no, no
último, último
jogo, jogo
., .
Contra, contra
o, o
Vitória, vitória
,, ,
perdeu, perdeu
de, de
2, 2
a, a
0, 0
e, e
se, se
voltar, voltar
a, a
perder, perder
estará, estará
eliminado, eliminado
,, ,
a, a
não, não
ser, ser
que, que
o, o
Vitória, vitória
perca, perca
no, no
outro, outro
jogo, jogo
de, de
hoje, hoje
do, do
Grupo, grupo
3.(Marcelo, 3.(marcelo
Damato, damato
), )

, 

CORINTHIANS, corinthian

, 

Edílson, edílson
;, ;
Tupã, tupã
,, ,
Hélio, hélio
,, ,
André, andré
Santos, santo
e, e
Aguinaldo, aguinaldo
;, ;
Gino, gino
,, ,
Hermes, herm
e, e
Paulo, paulo
Sérgio, sérgio
;, ;
Fabinho, fabinho
,, ,
Marques, marqu
e, e
Renato, renato
., .
Técnico, técnico
-, -
Márcio, márcio
Araújo, araújo

, 

PORTUGUESA, portuguesa

, 

Ronaldo, ronaldo
;, ;
Antônio, antônio
Carlos, carlo
,, ,
Toninho, toninho
,, ,
Claudinho, claudinho
e, e
Celinho, celinho
;, ;
Régis, régi
,, ,
Miltinho, miltinho
e, e
Zé, zé
Roberto, roberto
., .
Gláucio, gláucio
,, ,
Jackson, jackson
e, e
Tardone, tardon
., .
Técnico, técnico
