Chegar, ﻿chegar
à, à
final, final
da, da
J-League, j-leagu
,, ,
a, a
última, última
de, de
sua, sua
carreira, carreira
,, ,
é, é
a, a
maior, maior
recompensa, recompensa
que, que
Arthur, arthur
Antunes, antun
Coimbra, coimbra
,, ,
40, 40
,, ,
poderia, poderia
ter, ter
após, apó
dois, doi
anos, ano
e, e
meio, meio
de, de
trabalho, trabalho
para, para
popularizar, popularizar
o, o
futebol, futebol
no, no
Japão, japão
., .
Zico, zico
estará, estará
provavelmente, provavelment
no, no
banco, banco
de, de
reservas, reserva
,, ,
por, por
causa, causa
de, de
uma, uma
insistente, insistent
contusão, contusão
no, no
músculo, músculo
adutor, adutor
da, da
coxa, coxa
direita, direita
., .
Ali, ali
ele, ele
passou, passou
a, a
maior, maior
parte, part
da, da
competição, competição
contundido, contundido
e, e
trabalhando, trabalhando
como, como
auxiliar-técnico, auxiliar-técnico
., .

, 

Em, em
maio, maio
,, ,
quando, quando
seu, seu
contrato, contrato
acaba, acaba
,, ,
Zico, zico
pára, pára
de, de
jogar, jogar
., .
", "
Não, não
dá, dá
mais, mai
., .
Se, se
pudesse, pudess
,, ,
até, até
parava, parava
agora, agora
", "
., .
Passará, passará
a, a
ser, ser
consultor, consultor
do, do
Kashima, kashima
,, ,
indo, indo
ao, ao
Japão, japão
quatro, quatro
vezes, veze
por, por
ano, ano
para, para
preparar, preparar
jogadores, jogador
e, e
organizar, organizar
intercâmbios, intercâmbio
., .
Seu, seu
irmão, irmão
Edu, edu
assume, assum
o, o
comando, comando
do, do
Antlers, antler
em, em
fevereiro, fevereiro
., .
Em, em
entrevista, entrevista
à, à
Folha, folha
,, ,
Zico, zico
falou, falou
de, de
seu, seu
livro, livro
", "
A, a
respeito, respeito
de, de
ser, ser
líder, líder
", "
,, ,
lançado, lançado
no, no
Japão, japão
este, est
mês, mê
(, (
primeira, primeira
de, de
uma, uma
série, série
de, de
cinco, cinco
publicações, publicaçõ
), )
e, e
acusou, acus
os, os
juízes, juíz
de, de
prejudicar, prejudicar
seu, seu
time, time
e, e
beneficiar, beneficiar
o, o
Verdy.(André, verdy.(andré
Fontenelle, fontenel
), )

, 

*, *

, 

Folha, folha
-, -
Muita, muita
expectativa, expectativa
para, para
a, a
decisão, decisão
?, ?

, 

Zico, zico
-, -
Há, há
um, um
equilíbrio, equilíbrio
muito, muito
grande, grand
das, da
forças, força
., .
As, as
duas, dua
equipes, equip
fizeram, fizeram
por, por
merecer, merec
chegar, chegar
à, à
condição, condição
a, a
que, que
chegaram, chegaram
., .
Não, não
existe, exist
favoritismo, favoritismo
., .
A, a
única, única
coisa, coisa
com, com
que, que
me, me
preocupo, preocupo
é, é
o, o
problema, problema
de, de
arbitragem, arbitragem
,, ,
que, que
vem, vem
nos, no
prejudicando, prejudicando
o, o
campeonato, campeonato
inteiro, inteiro
., .
E, e
é, é
a, a
primeira, primeira
vez, vez
que, que
o, o
árbitro, árbitro
da, da
decisão, decisão
não, não
será, será
estrangeiro, estrangeiro
., .

, 

Folha, folha
-, -
Por, por
quê, quê
?, ?

, 

Zico, zico
-, -
Não, não
sei, sei
., .
Na, na
primeira, primeira
fase, fase
,, ,
foi, foi
um, um
inglês, inglê
,, ,
na, na
outra, outra
,, ,
um, um
argentino, argentino
., .
Agora, agora
deixaram, deixaram
para, para
os, os
japoneses, japones
., .
Então, então
,, ,
como, como
a, a
gente, gent
não, não
tem, tem
peso, peso
na, na
Federação, federação
–, –
time, time
do, do
interior, interior
–, –
,, ,
o, o
Yomiuri, yomiuri
Verdy, verdi
ganha, ganha
vários, vário
jogos, jogo
na, na
base, base
do, do
apito, apito
., .
Não, não
precisa, precisa
disso, disso
,, ,
mas, ma
ganha, ganha
., .
Tenho, tenho
muito, muito
medo, medo
do, do
esquema, esquema
que, que
possa, possa
prevalecer, prevalec
., .
Já, já
fomos, fomo
altamente, altament
roubados, roubado
na, na
Copa, copa
do, do
Imperador, imperador
(, (
derrota, derrota
por, por
4, 4
a, a
0, 0
,, ,
na, na
prorrogação, prorrogação
,, ,
para, para
o, o
Yokohama, yokohama
Flugels, flugel
,, ,
após, apó
empate, empat
em, em
2, 2
a, a
2, 2
no, no
tempo, tempo
normal, normal
), )
., .

, 

Folha, folha
-, -
Vocês, você
levaram, levaram
quatro, quatro
gols, gol
na, na
prorrogação, prorrogação
., .

, 

Zico, zico
-, -
É, é
,, ,
mas, ma
o, o
problema, problema
não, não
foi, foi
a, a
prorrogação, prorrogação
., .
Nós, nó
jogamos, jogamo
mais, mai
de, de
70, 70
minutos, minuto
com, com
dez, dez
., .
Foi, foi
expulso, expulso
um, um
dos, do
nossos, nosso
,, ,
fizeram, fizeram
dois, doi
gols, gol
de, de
pênalti, pênalti
no, no
tempo, tempo
normal, normal
,, ,
um, um
pênalti, pênalti
escandaloso, escandaloso
que, que
não, não
houve, houv
., .
Fomos, fomo
eliminados, eliminado
da, da
Copa, copa
Nabisco, nabisco
sendo, sendo
roubados, roubado
., .

, 

Folha, folha
-, -
Isso, isso
o, o
surpreende, surpreend
?, ?
Você, você
esperava, esperava
encontrar, encontrar
no, no
Japão, japão
algo, algo
diferente, diferent
do, do
Brasil, brasil
?, ?

, 

Zico, zico
-, -
Eu, eu
esperava, esperava
encontrar, encontrar
uma, uma
certa, certa
falta, falta
de, de
noção, noção
de, de
o, o
que, que
é, é
profissionalismo, profissionalismo
., .
Agora, agora
,, ,
em, em
termos, termo
de, de
arbitragem, arbitragem
,, ,
eu, eu
vejo, vejo
má-fé, má-fé
mesmo, mesmo
., .
É, é
muita, muita
coincidência, coincidência
., .
Talvez, talvez
por, por
eu, eu
bater, bater
nessa, nessa
tecla, tecla
de, de
arbitragem, arbitragem
,, ,
eles, ele
só, só
erram, erram
contra, contra
nós, nó
., .
Para, para
você, você
ter, ter
uma, uma
idéia, idéia
,, ,
houve, houv
uns, un
15, 15
gols, gol
anulados, anulado
durante, durant
o, o
campeonato, campeonato
inteiro, inteiro
e, e
10, 10
a, a
15, 15
pênaltis, pênalti
não, não
marcados, marcado
., .
Tivemos, tivemo
dois, doi
pênaltis, pênalti
a, a
favor, favor
e, e
seis, sei
contra, contra
., .
É, é
muita, muita
coisa, coisa
., .

, 

Folha, folha
-, -
Você, você
disse, diss
que, que
o, o
Yomiuri, yomiuri
não, não
precisa, precisa
disso, disso
., .
Ele, ele
é, é
,, ,
de, de
fato, fato
,, ,
mais, mai
forte, fort
?, ?

, 

Zico, zico
-, -
É, é
um, um
time, time
mais, mai
forte, fort
,, ,
que, que
tem, tem
os, os
melhores, melhor
jogadores, jogador
japoneses, japones
., .
Só, só
que, que
,, ,
quando, quando
eles, ele
estão, estão
mal, mal
,, ,
dá-se, dá-se
um, um
jeitinho, jeitinho
para, para
colocá-los, colocá-lo
em, em
cima, cima
., .
Quanto, quanto
aos, ao
dois, doi
times, time
dentro, dentro
do, do
campo, campo
,, ,
não, não
tenho, tenho
o, o
menor, menor
medo, medo
deles, dele
,, ,
porque, porqu
nosso, nosso
time, time
joga, joga
de, de
igual, igual
para, para
igual, igual
., .
O, o
problema, problema
é, é
que, que
talvez, talvez
eu, eu
não, não
vá, vá
jogar, jogar
., .
E, e
,, ,
na, na
decisão, decisão
,, ,
isso, isso
pesa, pesa
., .

, 

Folha, folha
-, -
Você, você
está, está
acompanhando, acompanhando
a, a
crise, crise
da, da
arbitragem, arbitragem
carioca, carioca
?, ?
Há, há
semelhanças, semelhança
?, ?

, 

Zico, zico
-, -
Lógico, lógico
que, que
aí, aí
no, no
Brasil, brasil
houve, houv
uma, uma
coisa, coisa
clara, clara
,, ,
porque, porqu
houve, houv
a, a
denúncia, denúncia
do, do
árbitro, árbitro
., .
Então, então
é, é
diferente, diferent
., .
Aqui, aqui
,, ,
o, o
que, que
todo, todo
mundo, mundo
diz, diz
é, é
:, :
", "
Ah, ah
,, ,
eles, ele
são, são
ruins, ruin
mesmo, mesmo
", "
., .
São, são
ruins, ruin
quando, quando
querem, querem
ser, ser
ruins, ruin
., .
Você, você
não, não
pode, pode
comprovar, comprovar
muito, muito
