"Tive, ﻿"tive
que, que
pedir, pedir
reforço, reforço
armado, armado
para, para
evitar, evitar
que, que
a, a
nossa, nossa
loja, loja
fosse, foss
invadida, invadida
", "
,, ,
disse, diss
Carlos, carlo
Alberto, alberto
dos, do
Santos, santo
,, ,
segurança, segurança
da, da
loja, loja
de, de
fast-food, fast-food
Arbys, arbi
da, da
av., av.
Paulista, paulista
próximo, próximo
da, da
Frei, frei
Caneca, caneca
., .
", "
Eles, ele
(, (
os, os
torcedores, torcedor
do, do
Corinthians, corinthian
), )
passaram, passaram
rasgando, rasgando
os, os
sacos, saco
de, de
lixo, lixo
,, ,
mas, ma
a, a
polícia, polícia
chegou, chegou
e, e
os, os
obrigou, obrig
a, a
recolher, recolh
tudo, tudo
", "
,, ,
conta, conta
José, josé
Carlos, carlo
Nepomuceno, nepomuceno
,, ,
segurança, segurança
do, do
McDonald, mcdonald
's, 's
que, que
fica, fica
em, em
frente, frent
ao, ao
Conjunto, conjunto
Nacional, nacion
., .

, 

A, a
gerente, gerent
da, da
Arbys, arbi
,, ,
Juliana, juliana
Caldeira, caldeira
,, ,
disse, diss
que, que
quando, quando
há, há
eventos, evento
,, ,
como, como
jogos, jogo
ou, ou
a, a
São, são
Silvestre, silvestr
,, ,
todas, toda
as, as
portas, porta
são, são
trancadas, trancada
,, ,
exceto, exceto
uma, uma
., .
Ela, ela
não, não
sabia, sabia
do, do
incidente, incident
de, de
segunda-feira, segunda-feira
,, ,
mas, ma
contou, contou
que, que
na, na
noite, noit
em, em
que, que
o, o
Palmeiras, palmeira
foi, foi
campeão, campeão
brasileiro, brasileiro
,, ,
funcionários, funcionário
seus, seu
tiveram, tiveram
de, de
comprar, comprar
faixas, faixa
da, da
torcida, torcida
Mancha, mancha
Verde, verd
para, para
poder, poder
atravessar, atravessar
a, a
área, área
de, de
comemoração, comemoração
., .
O, o
diretor, diretor
de, de
Desenvolvimento, desenvolvimento
de, de
Operações, operaçõ
da, da
rede, rede
McDonald, mcdonald
's, 's
,, ,
Paulo, paulo
Metello, metello
,, ,
disse, diss
através, atravé
da, da
assessoria, assessoria
de, de
imprensa, imprensa
que, que
a, a
rede, rede
não, não
tem, tem
um, um
esquema, esquema
especial, especi
para, para
dias, dia
de, de
jogos, jogo
., .
Os, os
segurança, segurança
são, são
apenas, apena
orientados, orientado
para, para
ter, ter
atenção, atenção
especial, especi
e, e
fechar, fechar
a, a
loja, loja
se, se
for, for
necessário, necessário
–, –
o, o
que, que
nunca, nunca
aconteceu, aconteceu
,, ,
segundo, segundo
ele, ele
., .

, 

O, o
baiano, baiano
Gílson, gílson
,, ,
22, 22
,, ,
que, que
vende, vend
cigarros, cigarro
na, na
esquina, esquina
da, da
av., av.
Paulista, paulista
com, com
a, a
r., r.
Frei, frei
Caneca, caneca
,, ,
diz, diz
que, que
os, os
corintianos, corintiano
são, são
os, os
mais, mai
agressivos, agressivo
., .
", "
As, as
bancas, banca
de, de
jornais, jornai
que, que
ficam, ficam
24, 24
horas, hora
abertas, aberta
são, são
as, as
que, que
mais, mai
sofrem, sofrem
., .
", "
Edson, edson
Buratto, buratto
,, ,
gerente, gerent
da, da
Livraria, livraria
Siciliano, siciliano
que, que
fica, fica
na, na
esquina, esquina
da, da
r., r.
Padre, padr
João, joão
Manoel, manoel
,, ,
mandou, mandou
colocar, colocar
portas, porta
de, de
aço, aço
na, na
loja, loja
., .
Antes, ant
,, ,
havia, havia
só, só
a, a
vitrine, vitrin
., .
", "
Chegou, chegou
a, a
ter, ter
quatro, quatro
vidros, vidro
quebrados, quebrado
., .
Levaram, levaram
até, até
um, um
atlas, atla
importado, importado
", "
,, ,
lembra, lembra
., .

, 

Os, os
ambulantes, ambulant
que, que
ficam, ficam
em, em
torno, torno
do, do
Pacaembu, pacaembu
dizem, dizem
que, que
houve, houv
muitos, muito
arrastões, arrastõ
após, apó
o, o
jogo, jogo
de, de
segunda, segunda
à, à
noite, noit
., .
", "
As, as
barracas, barraca
não, não
foram, foram
atacadas, atacada
,, ,
mas, ma
não, não
sobrou, sobrou
um, um
carrinho, carrinho
de, de
pipoca, pipoca
ou, ou
de, de
cachorro-quente, cachorro-quent
", "
,, ,
disse, diss
Miriam, miriam
,, ,
que, que
tem, tem
uma, uma
barraca, barraca
em, em
frente, frent
ao, ao
Pacaembu, pacaembu
., .
Ézio, ézio
,, ,
26, 26
,, ,
e, e
José, josé
,, ,
47, 47
,, ,
que, que
há, há
dez, dez
anos, ano
vendem, vendem
amendoim, amendoim
no, no
Pacaembu, pacaembu
,, ,
afirmam, afirmam
que, que
a, a
única, única
torcida, torcida
onde, ond
não, não
há, há
arrastão, arrastão
é, é
a, a
do, do
Santos, santo
., .
", "
O, o
resto, resto
é, é
tudo, tudo
igual, igual
", "
,, ,
afirma, afirma
Ézio, ézio
., .

, 

