Considerado, ﻿considerado
por, por
especialistas, especialista
como, como
o, o
futebol, futebol
que, que
mais, mai
evoluiu, evoluiu
no, no
planeta, planeta
nos, no
últimos, último
anos, ano
,, ,
a, a
Colômbia, colômbia
entra, entra
pela, pela
primeira, primeira
vez, vez
em, em
uma, uma
Copa, copa
do, do
Mundo, mundo
com, com
chances, chanc
reais, reai
de, de
um, um
bom, bom
resultado, resultado
., .
Em, em
ensaio, ensaio
realizado, realizado
pela, pela
 ,  
Folha, folha
,, ,
publicado, publicado
no, no
dia, dia
27, 27
de, de
dezembro, dezembro
de, de
93, 93
,, ,
a, a
Colômbia, colômbia
enfrentaria, enfrentaria
o, o
Brasil, brasil
em, em
uma, uma
das, da
partidas, partida
semifinais, semifinai
do, do
torneio, torneio
., .

, 

A, a
equipe, equip
colombiana, colombiana
está, está
no, no
Grupo, grupo
A, a
do, do
Mundial, mundial
,, ,
junto, junto
com, com
EUA, eua
,, ,
Suíça, suíça
e, e
Romênia, romênia
., .
A, a
Colômbia, colômbia
é, é
tida, tida
como, como
favorita, favorita
para, para
ser, ser
a, a
primeira, primeira
da, da
chave, chave
., .

, 

Nessa, nessa
hipótese, hipótes
,, ,
o, o
time, time
enfrentará, enfrentará
nas, na
oitavas-de-final, oitavas-de-fin
o, o
terceiro, terceiro
colocado, colocado
do, do
Grupo, grupo
C, c
,, ,
D, d
ou, ou
E., e.
No, no
C, c
,, ,
especulando-se, especulando-s
sempre, sempr
a, a
favor, favor
da, da
lógica, lógica
,, ,
o, o
adversário, adversário
seria, seria
provavelmente, provavelment
a, a
Bolívia, bolívia
., .
No, no
D, d
,, ,
Grécia, grécia
,, ,
Nigéria, nigéria
ou, ou
Bulgária, bulgária
., .
E, e
no, no
D, d
,, ,
Irlanda, irlanda
,, ,
Noruega, noruega
ou, ou
México, méxico
., .
O, o
time, time
do, do
técnico, técnico
Francisco, francisco
Maturana, maturana
reúne, reún
condições, condiçõ
de, de
vencer, vencer
qualquer, qualquer
uma, uma
dessas, dessa
seleções, seleçõ
., .

, 

Nas, na
quartas-de-final, quartas-de-fin
,, ,
o, o
próximo, próximo
adversário, adversário
da, da
Colômbia, colômbia
seria, seria
o, o
vencedor, vencedor
do, do
jogo, jogo
entre, entr
o, o
2.º, 2.º
do, do
Grupo, grupo
F, f
(, (
teoricamente, teoricament
a, a
Bélgica, bélgica
), )
contra, contra
o, o
segundo, segundo
do, do
grupo, grupo
do, do
Brasil, brasil
(, (
Camarões, camarõ
ou, ou
Rússia, rússia
), )
., .
Mais, mai
uma, uma
vez, vez
,, ,
a, a
Colômbia, colômbia
tem, tem
condições, condiçõ
de, de
vencer, vencer
., .

, 

Na, na
semifinal, semifin
,, ,
enfim, enfim
,, ,
os, os
colombianos, colombiano
enfrentariam, enfrentariam
o, o
Brasil, brasil
,, ,
que, que
tem, tem
como, como
saída, saída
mais, mai
lógica, lógica
buscar, buscar
enfrentar, enfrentar
a, a
Colômbia, colômbia
., .
Passando, passando
pelo, pelo
Brasil, brasil
,, ,
a, a
final, final
poderia, poderia
acontecer, acontec
contra, contra
Alemanha, alemanha
,, ,
Itália, itália
ou, ou
Argentina, argentina
–, –
se, se
estes, est
vencerem, vencerem
seus, seu
primeiros, primeiro
jogos, jogo
., .

, 

É, é
claro, claro
que, que
este, est
é, é
apenas, apena
um, um
cenário, cenário
especulativo, especulativo
,, ,
mas, ma
que, que
revela, revela
as, as
possibilidades, possibilidad
do, do
selecionado, selecionado
colombiano, colombiano
., .
Na, na
fase, fase
semifinal, semifin
e, e
final, final
,, ,
a, a
grande, grand
adversidade, adversidad
pode, pode
ser, ser
a, a
falta, falta
de, de
tradição, tradição
., .
Mas, ma
também, também
deve, deve
ser, ser
levado, levado
em, em
conta, conta
que, que
a, a
Colômbia, colômbia
de, de
hoje, hoje
é, é
capaz, capaz
de, de
façanhas, façanha
como, como
golear, golear
a, a
Argentina, argentina
fora, fora
de, de
casa, casa
por, por
5, 5
a, a
0, 0
num, num
jogo, jogo
decivisivo, decivisivo
pelas, pela
eliminatórias, eliminatória
sul-americanas, sul-americana
., .

, 

