Segundo, ﻿segundo
o, o
capitão, capitão
Cleodir, cleodir
Fioravante, fioravant
Nardo, nardo
,, ,
41, 41
,, ,
subcomandante, subcomandant
do, do
2.º, 2.º
Batalhão, batalhão
,, ,
os, os
soldados, soldado
estão, estão
trabalhando, trabalhando
além, além
do, do
horário, horário
habitual, habitu
., .
Às, às
vezes, veze
,, ,
entram, entram
às, às
7h, 7h
e, e
saem, saem
às, às
3h, 3h
da, da
madrugada, madrugada
do, do
dia, dia
seguinte, seguint
., .
", "
O, o
nosso, nosso
efetivo, efetivo
é, é
pequeno, pequeno
e, e
não, não
tem, tem
jeito, jeito
de, de
criar, criar
soldado, soldado
., .
Temos, temo
que, que
nos, no
multiplicarmos, multiplicarmo
", "
,, ,
afirma, afirma
o, o
capitão, capitão
., .

, 

Para, para
conseguir, conseguir
dar, dar
conta, conta
de, de
todos, todo
os, os
eventos, evento
,, ,
o, o
batalhão, batalhão
está, está
usando, usando
", "
artimanhas, artimanha
de, de
guerra, guerra
", "
., .
Isso, isso
consiste, consist
em, em
aproveitar, aproveitar
os, os
soldados, soldado
ao, ao
máximo, máximo
e, e
mantê-los, mantê-lo
em, em
constante, constant
movimento, movimento
,, ,
para, para
intimidar, intimidar
ações, açõ
de, de
depredação, depredação
., .
Equivale, equival
a, a
,, ,
numa, numa
batalha, batalha
,, ,
mover, mover
as, as
peças, peça
de, de
artilharia, artilharia
para, para
induzir, induzir
o, o
inimigo, inimigo
a, a
pensar, pensar
que, que
elas, ela
são, são
muitas, muita
., .

, 

Mas, ma
nem, nem
isso, isso
tem, tem
sido, sido
suficiente, suficient
., .
O, o
capitão, capitão
Cleodir, cleodir
conta, conta
que, que
após, apó
o, o
jogo, jogo
de, de
quarta-feira, quarta-feira
,, ,
torcedores, torcedor
corintianos, corintiano
quebraram, quebraram
os, os
vidros, vidro
de, de
várias, vária
casas, casa
comerciais, comerciai
na, na
avenida, avenida
Pacaembu, pacaembu
., .
Várias, vária
empresas, empresa
já, já
estão, estão
contratando, contratando
seguranças, segurança
para, para
os, os
dias, dia
de, de
jogos, jogo
., .

, 

O, o
2.º, 2.º
batalhão, batalhão
tem, tem
150, 150
homens, homen
na, na
1.ª, 1.ª
Companhia, companhia
,, ,
que, que
trabalharão, trabalharão
no, no
Hollywood, hollywood
Rock, rock
,, ,
150, 150
homens, homen
na, na
2.ª, 2.ª
Companhia, companhia
,, ,
deslocados, deslocado
para, para
a, a
Copa, copa
São, são
Paulo, paulo
neste, nest
fim, fim
de, de
semana, semana
,, ,
e, e
mais, mai
20, 20
policiais, policiai
do, do
Companhia, companhia
de, de
Comando, comando
e, e
Serviços, serviço
,, ,
que, que
vão, vão
atuar, atuar
no, no
Ginásio, ginásio
do, do
Ibirapuera, ibirapuera
,, ,
considerado, considerado
o, o
menos, meno
problemático, problemático
dos, do
eventos, evento
., .
Além, além
disso, disso
,, ,
ainda, ainda
atuam, atuam
a, a
polícia, polícia
feminina, feminina
e, e
a, a
Ronda, ronda
Apoiada, apoiada
por, por
Motocicletas, motocicleta
,, ,
que, que
também, também
tem, tem
150, 150
pessoas, pessoa
., .
Os, os
jogos, jogo
do, do
Corinthians, corinthian
,, ,
considerados, considerado
os, os
mais, mai
perigosos, perigoso
,, ,
reuniriam, reuniriam
ontem, ontem
à, à
noite, noit
e, e
amanhã, amanhã
toda, toda
a, a
2ª, 2ª
Companhia, companhia
e, e
uma, uma
boa, boa
parte, part
da, da
Rocam, rocam
,, ,
além, além
de, de
policiais, policiai
femininos, feminino
., .

, 

Sobre, sobr
os, os
arrastões, arrastõ
contra, contra
vendedores, vendedor
dentro, dentro
dos, do
estádios, estádio
,, ,
o, o
capitão, capitão
Cleodir, cleodir
aponta, aponta
um, um
problema, problema
:, :
", "
A, a
maioria, maioria
deles, dele
é, é
clandestina, clandestina
,, ,
entra, entra
irregularmente, irregularment
no, no
estádio, estádio
., .
Por, por
isso, isso
,, ,
eles, ele
não, não
vêm, vêm
até, até
nós, nó
dar, dar
queixa, queixa
e, e
eles, ele
são, são
justamente, justament
as, as
maiores, maior
vítimas, vítima
dos, do
arrastões, arrastõ
", "
,, ,
declarou, declar
., .
Na, na
quarta-feira, quarta-feira
,, ,
o, o
tenente, tenent
Storai, storai
,, ,
que, que
trabalhou, trabalh
no, no
jogo, jogo
São, são
Paulo, paulo
x, x
Londrina, londrina
,, ,
havia, havia
dito, dito
o, o
mesmo, mesmo
., .

, 

Além, além
dos, do
ambulantes, ambulant
,, ,
os, os
arrastões, arrastõ
estão, estão
atingindo, atingindo
também, também
de, de
guardadores, guardador
de, de
carros, carro
,, ,
por, por
causa, causa
do, do
dinheiro, dinheiro
que, que
arrecadam, arrecadam
., .
Isso, isso
tem, tem
diminuído, diminuído
a, a
presença, presença
deles, dele
nos, no
jogos, jogo
da, da
Copa, copa
São, são
Paulo, paulo
de, de
Juniores, junior
., .
(, (
MD, md
), )

, 

