Os, ﻿o
testes, test
que, que
a, a
Williams, william
realiza, realiza
hoje, hoje
no, no
Estoril, estoril
abrem, abrem
a, a
temporada, temporada
94, 94
de, de
F-1, f-1
e, e
,, ,
junto, junto
,, ,
acionam, acionam
o, o
", "
especulômetro, especulômetro
", "
da, da
categoria, categoria
., .
O, o
mercado, mercado
de, de
pilotos, piloto
voltou, voltou
a, a
ferver, ferver
,, ,
já, já
que, que
faltam, faltam
algumas, alguma
boas, boa
vagas, vaga
a, a
serem, serem
preenchidas, preenchida
., .
Veja, veja
a, a
seguir, seguir
o, o
que, que
se, se
comenta, comenta
na, na
Europa, europa
sobre, sobr
a, a
montagem, montagem
dos, do
times, time
,, ,
que, que
deve, deve
ser, ser
concluída, concluída
até, até
o, o
final, final
do, do
mês, mê
., .

, 

Gerhard, gerhard
Berger, berger
,, ,
brigado, brigado
com, com
Alesi, alesi
na, na
Ferrari, ferrari
,, ,
é, é
o, o
segundo, segundo
na, na
lista, lista
da, da
McLaren, mclaren
para, para
substituir, substituir
Senna, senna
., .
Dennis, denni
não, não
descarta, descarta
a, a
possibilidade, possibilidad
de, de
fazer, fazer
uma, uma
oferta, oferta
ao, ao
austríaco, austríaco
se, se
as, as
negociações, negociaçõ
com, com
o, o
francês, francê
emperrarem, emperrarem
., .
(, (
FG, fg
), )

, 

