Começa, ﻿começa
hoje, hoje
em, em
Melbourne, melbourn
o, o
Aberto, aberto
de, de
Tênis, têni
da, da
Austrália, austrália
,, ,
primeiro, primeiro
dos, do
grandes, grand
torneios, torneio
da, da
temporada, temporada
,, ,
com, com
o, o
favoritismo, favoritismo
disparado, disparado
de, de
Pete, pete
Sampras, sampra
(, (
EUA, eua
), )
e, e
Steffi, steffi
Graf, graf
(, (
Alemanha, alemanha
), )
para, para
os, os
títulos, título
de, de
simples, simpl
., .
O, o
campeonato, campeonato
perdeu, perdeu
um, um
pouco, pouco
do, do
brilho, brilho
com, com
as, as
desistências, desistência
de, de
alguns, algun
dos, do
principais, principai
tenistas, tenista
do, do
ranking, rank
., .
A, a
maior, maior
frustração, frustração
dos, do
organizadores, organizador
é, é
a, a
ausência, ausência
da, da
sérvia, sérvia
Monica, monica
Seles, sele
,, ,
ex-número, ex-número
1, 1
do, do
mundo, mundo
,, ,
que, que
alegou, aleg
ainda, ainda
não, não
estar, estar
recuperada, recuperada
da, da
facada, facada
que, que
levou, levou
no, no
atentado, atentado
sofrido, sofrido
em, em
Hamburgo, hamburgo
no, no
ano, ano
passado, passado
., .

, 

Com, com
Seles, sele
fora, fora
de, de
combate, combat
,, ,
Steffi, steffi
Graf, graf
só, só
perde, perd
o, o
título, título
por, por
acidente, acident
., .
No, no
ano, ano
passado, passado
,, ,
a, a
alemã, alemã
perdeu, perdeu
justamente, justament
para, para
Seles, sele
., .
No, no
tipo, tipo
de, de
piso, piso
do, do
Flinders, flinder
Park, park
de, de
Melbourne, melbourn
,, ,
a, a
atual, atual
número, número
2, 2
do, do
ranking, rank
,, ,
a, a
espanhola, espanhola
Arantxa, arantxa
Sanchez, sanchez
,, ,
não, não
deve, deve
oferecer, oferec
resistência, resistência
a, a
Graf, graf
., .
Além, além
de, de
Seles, sele
,, ,
as, as
principas, principa
ausentes, ausent
são, são
as, as
norte-americanas, norte-americana
Martina, martina
Navratilova, navratilova
e, e
Jennifer, jennif
Capriati, capriati
., .
Correm, correm
por, por
fora, fora
na, na
chave, chave
feminina, feminina
a, a
argentina, argentina
Gabriela, gabriela
Sabatini, sabatini
,, ,
treinada, treinada
pelo, pelo
brasileiro, brasileiro
Carlos, carlo
Alberto, alberto
Kirmayr, kirmayr
,, ,
e, e
a, a
tcheca, tcheca
Jana, jana
Novotna, novotna
., .

, 

No, no
torneio, torneio
masculino, masculino
,, ,
as, as
ausências, ausência
mais, mai
sentidas, sentida
são, são
Sergi, sergi
Bruguera, bruguera
(, (
Espanha, espanha
), )
,, ,
Richard, richard
Krajicek, krajicek
(, (
Holanda, holanda
), )
,, ,
Michael, michael
Chang, chang
e, e
Andre, andr
Agassi, agassi
(, (
EUA, eua
), )
,, ,
Andrei, andrei
Medvedev, medvedev
(, (
Ucrânia, ucrânia
), )
e, e
Boris, bori
Becker, becker
(, (
Alemanha, alemanha
), )
., .
Mesmo, mesmo
assim, assim
,, ,
o, o
torneio, torneio
mantém, mantém
o, o
interesse, interess
ao, ao
reunir, reunir
os, os
quatro, quatro
primeiros, primeiro
do, do
ranking, rank
:, :
Pete, pete
Sampras, sampra
(, (
EUA, eua
), )
,, ,
Michael, michael
Stich, stich
(, (
Alemanha, alemanha
), )
,, ,
Jim, jim
Courier, courier
(, (
EUA, eua
), )
e, e
Stefan, stefan
Edberg, edberg
(, (
Suécia, suécia
), )
., .
No, no
fim-de-semana, fim-de-semana
,, ,
Sampras, sampra
venceu, venceu
o, o
Torneio, torneio
de, de
Sydney, sydney
,, ,
derrotando, derrotando
Ivan, ivan
Lendl, lendl
na, na
final, final
,, ,
e, e
Jim, jim
Courier, courier
sagrou-se, sagrou-s
campeão, campeão
em, em
Adelaide, adelaid
,, ,
batendo, batendo
Edberg, edberg
., .

, 

Alguns, algun
cabeças-de-chave, cabeças-de-chav
entram, entram
na, na
quadra, quadra
hoje, hoje
., .
Sampras, sampra
enfrenta, enfrenta
o, o
desconhecido, desconhecido
australiano, australiano
Joshua, joshua
Eagle, eagl
;, ;
Courier, courier
,, ,
campeão, campeão
de, de
93, 93
,, ,
joga, joga
contra, contra
seu, seu
compatriota, compatriota
Bryan, bryan
Shelton, shelton
;, ;
o, o
croata, croata
Goran, goran
Ivanisevic, ivanisev
(, (
cabeça-de-chave, cabeça-de-chav
n.º, n.º
5, 5
), )
estréia, estréia
contra, contra
o, o
norte-americano, norte-americano
Alex, alex
O'Brien, o'brien
;, ;
Steffi, steffi
Graf, graf
enfrenta, enfrenta
Kimberly, kimberli
Po, po
(, (
EUA, eua
), )
., .
O, o
brasileiro, brasileiro
Fernando, fernando
Meligeni, meligeni
não, não
está, está
escalado, escalado
para, para
jogar, jogar
hoje, hoje
., .
O, o
torneio, torneio
termina, termina
no, no
dia, dia
30, 30
., .

, 

