Quem, ﻿quem
quiser, quiser
assistir, assistir
a, a
final, final
da, da
Copa, copa
São, são
Paulo, paulo
de, de
Juniores, junior
,, ,
dia, dia
25, 25
de, de
janeiro, janeiro
no, no
Pacaembu, pacaembu
,, ,
terá, terá
que, que
pagar, pagar
ingresso, ingresso
de, de
CR$, cr$
1.000,00, 1.000,00
., .
Além, além
disso, disso
,, ,
os, os
torcedores, torcedor
que, que
forem, forem
acompanhar, acompanhar
as, as
partidas, partida
do, do
torneio, torneio
a, a
partir, partir
da, da
próxima, próxima
fase, fase
,, ,
que, que
tem, tem
início, início
dia, dia
14, 14
,, ,
serão, serão
obrigados, obrigado
a, a
retirar, retirar
convites, convit
em, em
seus, seu
respectivos, respectivo
clubes, clube
., .
Eles, ele
estarão, estarão
disponíveis, disponívei
a, a
partir, partir
das, da
12h, 12h
de, de
amanhã, amanhã
,, ,
nas, na
bilheterias, bilheteria
dos, do
clubes, clube
classificados, classificado
., .
Torcedores, torcedor
de, de
outros, outro
clubes, clube
ainda, ainda
não, não
tem, tem
local, local
definido, definido
para, para
retirar, retirar
ingressos, ingresso
., .
Cada, cada
rodada, rodada
terá, terá
convites, convit
de, de
uma, uma
cor, cor
,, ,
para, para
que, que
não, não
haja, haja
o, o
uso, uso
indevido, indevido
dos, do
mesmos, mesmo
., .

, 

Essa, essa
foi, foi
a, a
saída, saída
encontrada, encontrada
pelos, pelo
organizadores, organizador
da, da
Copa, copa
para, para
evitar, evitar
mais, mai
confusões, confusõ
nos, no
locais, locai
em, em
que, que
o, o
torneio, torneio
está, está
sendo, sendo
disputado, disputado
., .
O, o
esquema, esquema
de, de
convites, convit
seria, seria
uma, uma
forma, forma
de, de
controlar, controlar
o, o
número, número
de, de
torcedores, torcedor
que, que
entram, entram
nos, no
estádios, estádio
., .
Além, além
disso, disso
,, ,
foram, foram
estabelecidas, estabelecida
lotações, lotaçõ
máximas, máxima
:, :
44, 44
mil, mil
no, no
Pacaembu, pacaembu
,, ,
30, 30
mil, mil
no, no
Parque, parqu
Antarctica, antarctica
,, ,
20, 20
mil, mil
no, no
Canindé, canindé
,, ,
8, 8
mil, mil
no, no
estádio, estádio
do, do
Nacional, nacion
e, e
6, 6
mil, mil
na, na
rua, rua
Javari, javari
., .

, 

Uma, uma
reunião, reunião
no, no
Comando, comando
da, da
Polícia, polícia
Militar, militar
,, ,
entre, entr
o, o
comandante, comandant
geral, geral
,, ,
coronel, coronel
João, joão
Sidney, sidney
de, de
Almeida, almeida
,, ,
e, e
o, o
secretário, secretário
de, de
Esportes, esport
e, e
Turismo, turismo
do, do
Estado, estado
,, ,
Fausto, fausto
Camucha, camucha
,, ,
ontem, ontem
,, ,
determinou, determin
as, as
alterações, alteraçõ
., .

, 

O, o
esquema, esquema
de, de
policiamento, policiamento
também, também
será, será
reforçado, reforçado
., .
Segundo, segundo
o, o
major, major
Gérson, gérson
Resende, resend
,, ,
comandante, comandant
do, do
2.º, 2.º
Batalhão, batalhão
de, de
Choque, choqu
da, da
PM, pm
e, e
responsável, responsável
pela, pela
segurança, segurança
em, em
estádios, estádio
na, na
cidade, cidad
de, de
São, são
Paulo, paulo
,, ,
o, o
esquema, esquema
deve, deve
ser, ser
equivalente, equivalent
ao, ao
de, de
jogos, jogo
das, da
divisões, divisõ
principais, principai
., .
", "
E, e
já, já
a, a
partir, partir
de, de
hoje, hoje
estaremos, estaremo
com, com
o, o
efetivo, efetivo
completo, completo
no, no
Pacaembu, pacaembu
", "
,, ,
prometeu, prometeu
., .
Além, além
do, do
2.º, 2.º
Batalhão, batalhão
,, ,
serão, serão
acionados, acionado
o, o
policiamento, policiamento
montado, montado
,, ,
policiamento, policiamento
feminino, feminino
,, ,
de, de
trânsito, trânsito
,, ,
rondas, ronda
com, com
motocicletas, motocicleta
e, e
os, os
da, da
própria, própria
área, área
do, do
estádio, estádio
., .

, 

Resende, resend
afirmou, afirm
que, que
os, os
tumultos, tumulto
que, que
ocorreram, ocorreram
nesta, nesta
edição, edição
da, da
Copa, copa
São, são
Paulo, paulo
aconteceram, aconteceram
por, por
", "
terem, terem
sidas, sida
superadas, superada
as, as
espectativas, espectativa
dos, do
organizadores, organizador
", "
., .
O, o
major, major
disse, diss
também, também
que, que
vai, vai
fazer, fazer
uma, uma
reunião, reunião
amanhã, amanhã
,, ,
às, às
9h, 9h
,, ,
com, com
os, os
responsáveis, responsávei
pela, pela
Copa, copa
e, e
,, ,
possivelmente, possivelment
,, ,
com, com
a, a
presença, presença
das, da
torcidas, torcida
organizadas, organizada
dos, do
grandes, grand
clubes, clube
., .
", "
É, é
necessário, necessário
ainda, ainda
acertar, acertar
alguns, algun
detalhes, detalh
para, para
que, que
nada, nada
de, de
ruim, ruim
aconteça, aconteça
a, a
partir, partir
da, da
próxima, próxima
fase, fase
", "
,, ,
disse, diss
., .

, 

A, a
Assessoria, assessoria
de, de
Comunicação, comunicação
Social, social
da, da
PM, pm
divulgou, divulg
ontem, ontem
que, que
as, as
organizadas, organizada
poderão, poderão
solicitar, solicitar
escolta, escolta
de, de
seus, seu
ônibus, ônibu
e, e
que, que
para, para
isso, isso
devem, devem
entrar, entrar
em, em
contato, contato
diretamente, diretament
com, com
o, o
2.º, 2.º
Batalhão, batalhão
de, de
Choque, choqu
., .

, 

A, a
Copa, copa
São, são
Paulo, paulo
deste, dest
ano, ano
já, já
assistiu, assistiu
a, a
dois, doi
tumultos, tumulto
em, em
estádios, estádio
devido, devido
à, à
superlotação, superlotação
., .
No, no
último, último
sábado, sábado
,, ,
no, no
Parque, parqu
São, são
Jorge, jorg
,, ,
pelo, pelo
menos, meno
15, 15
pessoas, pessoa
ficaram, ficaram
feridas, ferida
e, e
três, trê
torcedores, torcedor
sofreram, sofreram
ataque, ataqu
cardíaco, cardíaco
., .
Foram, foram
pisoteados, pisoteado
durante, durant
tumulto, tumulto
na, na
entrada, entrada
do, do
estádio, estádio
., .
As, as
partidas, partida
do, do
Corinthians, corinthian
foram, foram
transferidas, transferida
para, para
o, o
Pacaembu, pacaembu
., .
Mas, ma
,, ,
anteontem, anteontem
,, ,
outro, outro
tumulto, tumulto
ocorreu, ocorreu
na, na
rua, rua
Javari, javari
., .
Um, um
número, número
de, de
torcedores, torcedor
muito, muito
superior, superior
ao, ao
da, da
lotação, lotação
do, do
estádio, estádio
e, e
a, a
falta, falta
de, de
