Francisco, ﻿francisco
Maturana, maturana
trabalhava, trabalhava
como, como
dentista, dentista
do, do
Nacional, nacion
de, de
Medellin, medellin
,, ,
em, em
1986, 1986
,, ,
quando, quando
ele, ele
e, e
o, o
então, então
mister, mister
do, do
clube, clube
,, ,
o, o
ex-craque, ex-craqu
uruguaio, uruguaio
Luís, luí
Cubilla, cubilla
,, ,
se, se
tornaram, tornaram
amigos, amigo
., .
Além, além
de, de
cuidar, cuidar
das, da
bocas, boca
do, do
elenco, elenco
do, do
clube, clube
mais, mai
poderoso, poderoso
da, da
Colômbia, colômbia
,, ,
Maturana, maturana
também, também
interferia, interferia
na, na
escalação, escalação
e, e
no, no
estilo, estilo
–, –
retrancado, retrancado
–, –
de, de
atuar, atuar
do, do
time, time
de, de
Cubilla, cubilla
., .

, 

Quando, quando
este, est
saiu, saiu
,, ,
em, em
89, 89
,, ,
Maturana, maturana
virou, virou
treinador, treinador
., .
Fez, fez
sucesso, sucesso
no, no
Nacional, nacion
e, e
logo, logo
ganhou, ganhou
o, o
comando, comando
da, da
seleção, seleção
., .
Na, na
Copa, copa
da, da
Itália, itália
,, ,
recebeu, recebeu
convite, convit
para, para
dirigir, dirigir
o, o
Valladolid, valladolid
da, da
Espanha, espanha
., .
Um, um
seu, seu
auxiliar, auxiliar
,, ,
Luís, luí
Augusto, augusto
García, garcía
,, ,
assumiu, assumiu
a, a
seleção, seleção
., .
Não, não
deu, deu
certo, certo
., .
García, garcía
foi, foi
até, até
acusado, acusado
de, de
ligações, ligaçõ
com, com
o, o
cartel, cartel
da, da
droga, droga
., .

, 

Maturana, maturana
voltou, voltou
ao, ao
país, paí
nas, na
vésperas, véspera
da, da
Copa, copa
América, américa
de, de
93, 93
., .
Trouxe, troux
na, na
bagagem, bagagem
o, o
esquema, esquema
do, do
Milan, milan
de, de
Arrigo, arrigo
Sacchi, sacchi
,, ,
uma, uma
espécie, espéci
de, de
3-5-2, 3-5-2
com, com
marcação, marcação
por, por
zona, zona
na, na
defesa, defesa
e, e
pressão, pressão
no, no
meio-campo, meio-campo
do, do
inimigo, inimigo
., .
Além, além
disso, disso
,, ,
passou, passou
a, a
montar, montar
o, o
seu, seu
time, time
de, de
acordo, acordo
com, com
o, o
adversário, adversário
., .
Hoje, hoje
,, ,
no, no
seu, seu
elenco, elenco
,, ,
diz, diz
,, ,
só, só
dois, doi
são, são
irremovíveis, irremovívei
,, ,
o, o
líbero, líbero
Perea, perea
e, e
o, o
capitão, capitão
Valderrama.(SL, valderrama.(sl
), )

, 

