Biomecânica, ﻿biomecânica
do, do
movimento, movimento
., .
Esta, esta
é, é
a, a
mais, mai
recente, recent
arma, arma
high-tech, high-tech
do, do
São, são
Paulo, paulo
na, na
corrida, corrida
tecnológica, tecnológica
do, do
futebol, futebol
., .
Corrida, corrida
que, que
o, o
clube, clube
lidera, lidera
com, com
folga, folga
absoluta, absoluta
., .
A, a
novidade, novidad
consiste, consist
,, ,
em, em
termos, termo
simples, simpl
,, ,
no, no
estudo, estudo
dos, do
movimentos, movimento
do, do
atleta, atleta
na, na
tela, tela
do, do
computador, computador
., .
O, o
passo, passo
seguinte, seguint
é, é
procurar, procurar
alterar, alterar
os, os
treinamentos, treinamento
do, do
jogador, jogador
de, de
acordo, acordo
com, com
os, os
resultados, resultado
desse, dess
estudo, estudo
para, para
,, ,
por, por
exemplo, exemplo
,, ,
corrigir, corrigir
uma, uma
falha, falha
técnica, técnica
., .

, 

O, o
sistema, sistema
é, é
utilizado, utilizado
por, por
atletas, atleta
olímpicos, olímpico
de, de
ponta, ponta
., .
É, é
de, de
uso, uso
tão, tão
restrito, restrito
que, que
pode, pode
ser, ser
considerado, considerado
um, um
luxo, luxo
do, do
São, são
Paulo, paulo
., .
Os, os
primeiros, primeiro
testes, test
de, de
campo, campo
estão, estão
marcados, marcado
para, para
fevereiro, fevereiro
,, ,
mas, ma
nem, nem
o, o
clube, clube
,, ,
nem, nem
os, os
cientistas, cientista
da, da
Unicamp, unicamp
envolvidos, envolvido
no, no
projeto, projeto
,, ,
têm, têm
certeza, certeza
das, da
variáveis, variávei
a, a
serem, serem
observadas, observada
., .

, 

O, o
preparador, preparador
físico, físico
do, do
São, são
Paulo, paulo
,, ,
Moraci, moraci
Sant'Anna, sant'anna
,, ,
afirmou, afirm
que, que
até, até
o, o
software, softwar
,, ,
que, que
está, está
sendo, sendo
desenvolvido, desenvolvido
nos, no
EUA, eua
exclusivamente, exclusivament
para, para
o, o
projeto, projeto
,, ,
ainda, ainda
não, não
teve, teve
o, o
uso, uso
autorizado, autorizado
pelas, pela
entidades, entidad
competentes, competent
daquele, daquel
país, paí
., .
", "
O, o
projeto, projeto
está, está
avançando, avançando
e, e
estamos, estamo
só, só
a, a
espera, espera
da, da
liberação, liberação
do, do
programa, programa
para, para
começar, começar
", "
,, ,
declarou, declar
., .

, 

Outra, outra
novidade, novidad
anunciada, anunciada
por, por
Moraci, moraci
é, é
a, a
aquisição, aquisição
de, de
um, um
fax-modem, fax-modem
para, para
integrar, integrar
o, o
departamento, departamento
de, de
fisiologia, fisiologia
do, do
São, são
Paulo, paulo
a, a
um, um
banco, banco
de, de
dados, dado
da, da
Organização, organização
Mundial, mundial
de, de
Medicina, medicina
Esportiva, esportiva
., .
Os, os
responsáveis, responsávei
pela, pela
área, área
no, no
clube, clube
terão, terão
acesso, acesso
às, às
últimas, última
novidades, novidad
do, do
assunto, assunto
pelo, pelo
computador, computador
., .

, 

Na, na
última, última
semana, semana
,, ,
a, a
equipe, equip
de, de
Moraci, moraci
iniciou, inici
,, ,
efetivamente, efetivament
,, ,
o, o
acompanhamento, acompanhamento
de, de
mais, mai
um, um
parâmetro, parâmetro
na, na
avaliação, avaliação
física, física
de, de
seus, seu
atletas, atleta
., .
Através, atravé
de, de
sensores, sensor
instalados, instalado
no, no
teto, teto
do, do
vestiário, vestiário
do, do
CT, ct
,, ,
está, está
sendo, sendo
mensurada, mensurada
a, a
impulsão, impulsão
dos, do
jogadores, jogador
., .
O, o
sistema, sistema
já, já
foi, foi
aplicado, aplicado
na, na
seleção, seleção
brasileira, brasileira
juvenil, juvenil
de, de
vôlei, vôlei
feminino, feminino
., .
(, (
JHM, jhm
e, e
MD, md
), )

, 

