Há, ﻿há
quem, quem
reclame, reclam
que, que
eu, eu
exagero, exagero
nessas, nessa
incursões, incursõ
ao, ao
passado, passado
,, ,
muitas, muita
vezes, veze
imprecisas, imprecisa
,, ,
outras, outra
oníricas, onírica
., .
Mas, ma
é, é
do, do
velho, velho
conselheiro, conselheiro
o, o
axioma, axioma
de, de
que, que
,, ,
conhecendo-se, conhecendo-s
o, o
passado, passado
,, ,
entende-se, entende-s
melhor, melhor
o, o
presente, present
e, e
pode-se, pode-s
arriscar, arriscar
uma, uma
previsão, previsão
do, do
futuro, futuro
., .
Além, além
do, do
mais, mai
,, ,
o, o
futebol, futebol
tem, tem
um, um
forte, fort
traço, traço
conservador, conservador
., .
Cultua, cultua
mitos, mito
,, ,
coleciona, coleciona
relíquias, relíquia
e, e
reverencia, reverencia
sortilégios, sortilégio
., .

, 

Tudo, tudo
isso, isso
pra, pra
dizer, dizer
que, que
São, são
Paulo, paulo
e, e
Santos, santo
,, ,
protagonistas, protagonista
do, do
clássico, clássico
desta, desta
tarde, tard
,, ,
cultivam, cultivam
uma, uma
antiga, antiga
magia, magia
às, às
avessas, avessa
:, :
sempre, sempr
quando, quando
um, um
está, está
na, na
crista, crista
da, da
onda, onda
,, ,
o, o
outro, outro
surge, surg
de, de
tocaia, tocaia
para, para
dar-lhe, dar-lh
uma, uma
rasteira, rasteira
., .
Era, era
assim, assim
nos, no
tempos, tempo
em, em
que, que
o, o
Santos, santo
não, não
passava, passava
de, de
mero, mero
coadjuvante, coadjuvant
do, do
campeonato, campeonato
,, ,
tempos, tempo
do, do
célebre, célebr
Alçapão, alçapão
da, da
Vila, vila
., .
Foi, foi
assim, assim
na, na
era, era
Pelé, pelé
(, (
quem, quem
se, se
lembra, lembra
da, da
tarde, tard
de, de
domingo, domingo
em, em
que, que
o, o
tricolor, tricolor
de, de
Benê, benê
,, ,
Prado, prado
e, e
Pagão, pagão
botou, botou
o, o
Peixe, peix
pra, pra
correr, correr
de, de
campo, campo
?, ?
), )
., .
E, e
tem, tem
sido, sido
assim, assim
neste, nest
início, início
de, de
década, década
dominada, dominada
pelo, pelo
tricolor, tricolor
bicampeão, bicampeão
do, do
mundo, mundo
que, que
,, ,
a, a
cada, cada
Sansão, sansão
,, ,
pena, pena
feito, feito
condenado, condenado
,, ,
quando, quando
não, não
leva, leva
uma, uma
tunda, tunda
., .

, 

Portanto, portanto
,, ,
apesar, apesar
de, de
o, o
São, são
Paulo, paulo
ter, ter
disparado, disparado
no, no
torneio, torneio
,, ,
é, é
bom, bom
se, se
precaver, precav
., .
Em, em
primeiro, primeiro
lugar, lugar
,, ,
porque, porqu
ambos, ambo
estão, estão
arregimentando, arregimentando
seus, seu
respectivos, respectivo
times, time
já, já
com, com
a, a
bola, bola
rolando, rolando
., .
Nenhum, nenhum
teve, teve
tempo, tempo
de, de
escalar, escalar
todos, todo
os, os
seus, seu
titulares, titular
num, num
treino, treino
sequer, sequer
., .
O, o
Santos, santo
nem, nem
mesmo, mesmo
conseguira, conseguira
,, ,
na, na
véspera, véspera
,, ,
registrar, registrar
seu, seu
novo, novo
contratado, contratado
,, ,
o, o
lateral-esquerdo, lateral-esquerdo
Piá, piá
,, ,
ex-Flamengo, ex-flamengo
,, ,
enquanto, enquanto
o, o
São, são
Paulo, paulo
está, está
ameaçado, ameaçado
de, de
não, não
poder, poder
contar, contar
com, com
Leonardo, leonardo
., .

, 

Em, em
segundo, segundo
lugar, lugar
,, ,
deverão, deverão
estar, estar
em, em
campo, campo
dois, doi
vingadores, vingador
com, com
as, as
camisas, camisa
invertidas, invertida
:, :
Axel, axel
,, ,
no, no
São, são
Paulo, paulo
;, ;
Dinho, dinho
,, ,
no, no
Santos, santo
., .
Ambos, ambo
deixaram, deixaram
seus, seu
clubes, clube
com, com
eles, ele
atravessados, atravessado
na, na
garganta, garganta
., .
Dinho, dinho
,, ,
porque, porqu
se, se
considerou, consider
desprestigiado, desprestigiado
ao, ao
entrar, entrar
na, na
transação, transação
sem, sem
nem, nem
ao, ao
menos, meno
ter, ter
sido, sido
antes, ant
consultado, consultado
;, ;
Axel, axel
,, ,
porque, porqu
Pelé, pelé
mandou, mandou
bater-lhe, bater-lh
na, na
cara, cara
as, as
portas, porta
da, da
Vila, vila
., .
E, e
a, a
vingança, vingança
,, ,
gente, gent
,, ,
é, é
um, um
sentimento, sentimento
perigoso, perigoso
., .
Solta, solta
,, ,
é, é
um, um
buscapé, buscapé
sem, sem
vareta, vareta
,, ,
doido, doido
e, e
traiçoeiro, traiçoeiro
,, ,
capaz, capaz
de, de
se, se
voltar, voltar
contra, contra
o, o
próprio, próprio
vingador, vingador
., .

, 

De, de
qualquer, qualquer
forma, forma
,, ,
toda, toda
essa, essa
improvisação, improvisação
,, ,
mais, mai
o, o
ardido, ardido
tempero, tempero
da, da
vendetta, vendetta
particular, particular
e, e
o, o
sortilégio, sortilégio
da, da
tradição, tradição
podem, podem
resultar, resultar
num, num
espetáculo, espetáculo
emocionante, emocionant
,, ,
onde, ond
as, as
falhas, falha
superam, superam
os, os
acertos, acerto
., .

, 

Ora, ora
,, ,
todo, todo
mundo, mundo
sabe, sabe
que, que
,, ,
se, se
