Somente, ﻿soment
cinco, cinco
jogadores, jogador
da, da
equipe, equip
da, da
Telesp, telesp
não, não
moram, moram
na, na
", "
República, república
da, da
Pompéia, pompéia
", "
,, ,
como, como
é, é
conhecido, conhecido
um, um
apartamento, apartamento
de, de
três, trê
quartos, quarto
com, com
um, um
outro, outro
reversível, reversível
,, ,
alugado, alugado
por, por
sete, sete
jogadores, jogador
do, do
time, time
(, (
Gilvan, gilvan
,, ,
Gilberto, gilberto
,, ,
Tito, tito
,, ,
Rodrigo, rodrigo
,, ,
Robert, robert
,, ,
Wellington, wellington
e, e
Marco, marco
), )
no, no
bairro, bairro
da, da
Pompéia, pompéia
(, (
zona, zona
oeste, oest
de, de
São, são
Paulo, paulo
), )
,, ,
próximo, próximo
ao, ao
ginásio, ginásio
onde, ond
treinam, treinam
., .

, 

", "
Mas, ma
a, a
população, população
do, do
apartamento, apartamento
é, é
flutuante, flutuant
", "
,, ,
revela, revela
o, o
atacante, atacant
de, de
meio, meio
Tito, tito
,, ,
irmão, irmão
de, de
Allan, allan
,, ,
que, que
joga, joga
no, no
Banespa, banespa
., .
Ele, ele
aponta, aponta
o, o
momento, momento
mais, mai
difícil, difícil
da, da
convivência, convivência
dos, do
sete, sete
jogadores, jogador
:, :
", "
Quando, quando
as, as
namoradas, namorada
aparecem, aparecem
,, ,
cada, cada
um, um
é, é
obrigado, obrigado
a, a
se, se
virar, virar
como, como
pode, pode
e, e
onde, ond
dá, dá
", "
,, ,
conta, conta
,, ,
brincando, brincando
,, ,
o, o
jogador, jogador
., .

, 

Além, além
de, de
comandar, comandar
e, e
administrar, administrar
a, a
república, república
,, ,
os, os
jogadores, jogador
dividem, dividem
as, as
tarefas, tarefa
domésticas, doméstica
., .
Isso, isso
porque, porqu
a, a
última, última
empregada, empregada
não, não
aceitou, aceit
ficar, ficar
muito, muito
tempo, tempo
cuidando, cuidando
do, do
apartamento, apartamento
habitado, habitado
pelos, pelo
sete, sete
rapazes, rapaz
., .
A, a
ausência, ausência
é, é
resolvida, resolvida
comunitariamente, comunitariament
., .
", "
Agora, agora
somos, somo
nós, nó
mesmos, mesmo
que, que
damos, damo
um, um
trato, trato
na, na
casa, casa
., .
Um, um
limpa, limpa
o, o
quarto, quarto
;, ;
outro, outro
é, é
obrigado, obrigado
a, a
cuidar, cuidar
do, do
banheiro, banheiro
;, ;
sempre, sempr
tem, tem
alguém, alguém
que, que
cuida, cuida
de, de
todas, toda
as, as
compras, compra
e, e
por, por
aí, aí
afora, afora
", "
,, ,
conta, conta
Tito, tito
., .
", "
Dá, dá
para, para
viver, viver
sem, sem
muitos, muito
problemas, problema
., .
", "

, 

Apontado, apontado
como, como
um, um
dos, do
principais, principai
responsáveis, responsávei
pela, pela
animação, animação
da, da
casa, casa
,, ,
Tito, tito
costuma, costuma
reunir, reunir
os, os
amigos, amigo
e, e
tocar, tocar
", "
alguns, algun
roquinhos, roquinho
", "
,, ,
como, como
observa, observa
., .
O, o
repertório, repertório
é, é
a, a
alegria, alegria
do, do
amigo, amigo
Beto, beto
,, ,
o, o
levantador, levantador
do, do
time, time
,, ,
um, um
dos, do
visitantes, visitant
mais, mai
assíduos, assíduo
e, e
fã, fã
confesso, confesso
de, de
blues, blue
e, e
música, música
popular, popular
brasileira, brasileira
,, ,
mas, ma
só, só
daquele, daquel
segmento, segmento
que, que
não, não
contém, contém
nenhuma, nenhuma
canção, canção
sertaneja, sertaneja
., .

, 

Beto, beto
conseguiu, conseguiu
", "
fugir, fugir
", "
da, da
república, república
., .
Vive, vive
com, com
os, os
pais, pai
no, no
bairro, bairro
do, do
Butantã, butantã
(, (
zona, zona
sudoeste, sudoest
paulistana, paulistana
), )
., .
Ele, ele
se, se
autodefine, autodefin
como, como
palmeirense, palmeirens
", "
roxo, roxo
", "
e, e
garante, garant
ser, ser
fã, fã
de, de
filmes, film
,, ,
principalmente, principalment
os, os
de, de
ação, ação
e, e
aventura, aventura
., .
Aos, ao
26, 26
anos, ano
,, ,
Roberto, roberto
de, de
Bartolo, bartolo
,, ,
1,80, 1,80
m, m
,, ,
tem, tem
uma, uma
longa, longa
carreira, carreira
no, no
vôlei, vôlei
:, :
pratica, pratica
o, o
esporte, esport
desde, desd
os, os
10, 10
anos, ano
., .

, 

O, o
começo, começo
foi, foi
no, no
pré-mirim, pré-mirim
do, do
Palmeiras, palmeira
,, ,
onde, ond
ficou, ficou
um, um
longo, longo
período, período
,, ,
de, de
1978, 1978
a, a
1984, 1984
., .
Foi, foi
sua, sua
principal, princip
fase, fase
de, de
aprendizado, aprendizado
., .
Depois, depoi
,, ,
teve, teve
uma, uma
passagem, passagem
de, de
três, trê
anos, ano
no, no
arquiinimigo, arquiinimigo
Corinthians, corinthian
(, (
86/89, 86/89
), )
,, ,
até, até
a, a
volta, volta
ao, ao
Palmeiras, palmeira
,, ,
onde, ond
ficou, ficou
até, até
o, o
final, final
de, de
92, 92
,, ,
quando, quando
se, se
transferiu, transferiu
para, para
a, a
Telesp, telesp
., .

, 

Formado, formado
em, em
educação, educação
física, física
,, ,
Beto, beto
divide, divid
seu, seu
tempo, tempo
entre, entr
duas, dua
opções, opçõ
básicas, básica
,, ,
mas, ma
extremamente, extremament
agradáveis, agradávei
:, :
os, os
treinos, treino
diários, diário
no, no
ginásio, ginásio
da, da
Telesp, telesp
e, e
as, as
idas, ida
ao, ao
cinema, cinema
,, ,
um, um
de, de
seus, seu
passatempos, passatempo
prediletos, predileto
., .
", "
Sempre, sempr
que, que
posso, posso
,, ,
e, e
sobra, sobra
algum, algum
tempo, tempo
,, ,
vou, vou
à, à
praia, praia
", "
,, ,
diz, diz
Beto, beto
., .
(, (
SK, sk
), )

, 

