"Está, ﻿"está
mal, mal
el, el
Brasil, brasil
,, ,
no, no
?, ?
", "
., .
São, são
seis, sei
os, os
funcionários, funcionário
hispânicos, hispânico
do, do
prédio, prédio
número, número
45, 45
na, na
rua, rua
60, 60
,, ,
Oeste, oest
,, ,
em, em
Nova, nova
York, york
., .
Terrível, terrível
encará-los, encará-lo
,, ,
e, e
,, ,
pior, pior
ainda, ainda
,, ,
ouvi-los, ouvi-lo
,, ,
durante, durant
a, a
agonia, agonia
das, da
eliminatórias, eliminatória
para, para
a, a
Copa, copa
do, do
Mundo, mundo
., .
Agonia, agonia
alimentada, alimentada
pela, pela
distância, distância
., .
E, e
elevada, elevada
à, à
condição, condição
de, de
tortura, tortura
nas, na
horas, hora
seguinte, seguint
à, à
inominável, inominável
derrota, derrota
diante, diant
da, da
Bolívia, bolívia
., .
Gilberto, gilberto
Kaplan, kaplan
,, ,
de, de
passagem, passagem
pela, pela
cidade, cidad
,, ,
adoeceu, adoeceu
subitamente, subitament
., .
Monossilábicas, monossilábica
24, 24
horas, hora
de, de
cama, cama
., .
Renato, renato
Shullman, shullman
não, não
dormiu, dormiu
., .
Homem, homem
controlado, controlado
,, ,
quase, quas
germânico, germânico
,, ,
disse, diss
suas, sua
primeiras, primeira
palavras, palavra
na, na
noite, noit
seguinte, seguint
:, :
", "
Tem, tem
um, um
boliviano, boliviano
lá, lá
no, no
trabalho, trabalho
que, que
eu, eu
vou, vou
acabar, acabar
esganando, esganando
", "
., .

, 

Dias, dia
de, de
amuado, amuado
silêncio, silêncio
aqueles, aquel
., .
Brasileiros, brasileiro
se, se
esgueirando, esgueirando
pelas, pela
ruas, rua
à, à
exceção, exceção
,, ,
é, é
claro, claro
,, ,
daqueles, daquel
que, que
fazem, fazem
de, de
conta, conta
não, não
dar, dar
pelota, pelota
para, para
a, a
bola, bola
., .
No, no
canal, canal
41, 41
–, –
Univisión, univisión
–, –
a, a
análise, anális
repetida, repetida
:, :
", "
Ridículo, ridículo
el, el
Brasil, brasil
", "
., .
Até, até
o, o
dia, dia
em, em
que, que
chegou, chegou
Romário, romário
., .
No, no
porão, porão
de, de
uma, uma
churrascaria, churrascaria
verde-amarela, verde-amarela
em, em
Newark, newark
,, ,
a, a
40, 40
minutos, minuto
de, de
carro, carro
ou, ou
trem, trem
de, de
Nova, nova
York, york
,, ,
300, 300
torcedores, torcedor
amontoados, amontoado
., .
Sem, sem
janelas, janela
,, ,
com, com
muito, muito
cigarro, cigarro
,, ,
e, e
o, o
coro, coro
geraldino, geraldino
", "
um, um
,, ,
dois, doi
,, ,
três, trê
,, ,
quatro, quatro
,, ,
cinco, cinco
,, ,
mil, mil
,, ,
eu, eu
quero, quero
..., ...
", "
a, a
cada, cada
aparição, aparição
da, da
parelha, parelha
técnica, técnica
–, –
Parreira, parreira
e, e
Zagalo, zagalo
–, –
no, no
telão, telão
., .

, 

Naquela, naquela
tarde, tard
,, ,
o, o
palavrão, palavrão
era, era
alegre, alegr
., .
O, o
coro, coro
,, ,
repetido, repetido
por, por
todo, todo
o, o
jogo, jogo
,, ,
 ,  
matava, matava
a, a
saudade, saudad
do, do
Brasil, brasil
., .
Romário, romário
em, em
campo, campo
era, era
a, a
negação, negação
da, da
tática, tática
absolutista, absolutista
., .
Era, era
a, a
imposição, imposição
das, da
circunstâncias, circunstância
,, ,
e, e
da, da
torcida, torcida
,, ,
sobre, sobr
o, o
Brasil, brasil
burro, burro
,, ,
safado, safado
., .
O, o
Brasil, brasil
da, da
bola, bola
contra, contra
o, o
Brasil, brasil
das, da
bolas, bola
e, e
boladas, bolada
., .
Jogo, jogo
duríssimo, duríssimo
e, e
que, que
ainda, ainda
vai, vai
longe, long
., .
Na, na
virada, virada
do, do
ano, ano
,, ,
vendo, vendo
pela, pela
primeira, primeira
vez, vez
nas, na
ruas, rua
a, a
São, são
Silvestre, silvestr
,, ,
diante, diant
de, de
um, um
corredor, corredor
embandeirado, embandeirado
,, ,
pensei, pensei
em, em
tudo, tudo
isto, isto
., .
Os, os
costumes, costum
,, ,
fatos, fato
e, e
personagens, personagen
ao, ao
longo, longo
de, de
15, 15
km, km
de, de
corrida, corrida
tambem, tambem
se, se
se, se
prestam, prestam
a, a
alegorias, alegoria
., .

, 

A, a
TV, tv
Globo, globo
é, é
a, a
dona, dona
da, da
bola, bola
,, ,
digo, digo
,, ,
da, da
corrida, corrida
., .
O, o
etíope, etíop
Fita, fita
Bayesa, bayesa
,, ,
para, para
se, se
guiar, guiar
,, ,
grudou, grudou
os, os
olhos, olho
no, no
logotipo, logotipo
do, do
utilitário, utilitário
global, global
,, ,
que, que
à, à
frente, frent
comandava, comandava
o, o
espetáculo, espetáculo
,, ,
e, e
mandou, mandou
ver, ver
., .
Errou, errou
a, a
entrada, entrada
,, ,
não, não
achou, achou
a, a
saída, saída
a, a
tempo, tempo
., .
Perdeu, perdeu
., .
O, o
utilitário, utilitário
global, global
seguiu, seguiu
seu, seu
caminho, caminho
., .
A, a
largada, largada
tambem, tambem
é, é
algo, algo
incompreensível, incompreensível
., .
Concentração, concentração
., .
Esta, esta
é, é
a, a
palavra-chave, palavra-chav
para, para
todos, todo
os, os
corredores, corredor
e, e
técnicos, técnico
., .
Difícil, difícil
a, a
concentração, concentração
., .

, 

", "
O, o
meu, meu
chamego, chamego
é, é
meu, meu
xodó, xodó
", "
,, ,
Raça, raça
Negra, negra
,, ,
Só, só
Prá, prá
Contrariar, contrariar
,, ,
o, o
pagode, pagod
imperou, imper
por, por
todo, todo
o, o
percurso, percurso
da, da
largada, largada
na, na
tarde, tard
do, do
dia, dia
31, 31
., .
E, e
a, a
potência, potência
das, da
caixas, caixa
que, que
despejaram, despejaram
som, som
ao, ao
pé-do-ouvido, pé-do-ouvido
dos, do
atletas, atleta
foi, foi
coisa, coisa
de, de
humilhar, humilhar
trio, trio
elétrico, elétrico
., .
Fora, fora
da, da
", "
rave"-Paulista, rave"-paulista
,, ,
as, as
coisas, coisa
não, não
correram, correram
melhores, melhor
para, para
os, os
concentrados, concentrado
,, ,
com, com
três, trê
helicópetros, helicópetro
zunindo, zunindo
sobre, sobr
suas, sua
cabeças, cabeça
., .

, 

Nas, na
calçadas, calçada
e, e
ruas, rua
,, ,
como, como
nas, na
arquibancadas, arquibancada
,, ,
os, os
anônimos, anônimo
fazem, fazem
a, a
festa, festa
., .
Trajados, trajado
a, a
rigor, rigor
dois, doi
garçons, garçon
,, ,
bandejas, bandeja
e, e
garrafas, garrafa
nos, no
braços, braço
,, ,
correm, correm
uma, uma
prova, prova
à, à
parte, part
dentro, dentro
da, da
São, são
Silvestre, silvestr
., .
Sapato, sapato
,, ,
terno, terno
e, e
camisas, camisa
brancas, branca
,, ,
gravata-borboleta, gravata-borboleta
vermelha, vermelha
,, ,
um, um
cidadão, cidadão
arranca, arranca
aplausos, aplauso
entusiasmados, entusiasmado
., .
Vaias, vaia
,, ,
sabe-se, sabe-s
lá, lá
por, por
quê, quê
,, ,
a, a
um, um
Tartaruga, tartaruga
Ninja, ninja
perfeito, perfeito
,, ,
com, com
direito, direito
a, a
espadas, espada
e, e
demais, demai
adereços, adereço
., .

, 

Na, na
subida, subida
da, da
av., av.
Brigadeiro, brigadeiro
Luiz, luiz
Antônio, antônio
,, ,
vaia, vaia
absoluta, absoluta
., .
Camisa, camisa
verde, verd
e, e
amarela, amarela
,, ,
máscara, máscara
do, do
Parreira, parreira
no, no
rosto, rosto
,, ,
o, o
masoquista, masoquista
vai, vai
guardando, guardando
o, o
seu, seu
quinhão, quinhão
., .
"Burro, "burro
,, ,
burro, burro
", "
,, ,
berra, berra
o, o
coro, coro
., .
Ele, ele
passa, passa
e, e
surge, surg
o, o
delírio, delírio
nas, na
calçadas, calçada
., .
Baixinho, baixinho
,, ,
número, número
9, 9
às, às
costas, costa
,, ,
o, o
mascarado, mascarado
de, de
Romário, romário
puxa, puxa
o, o
gritos, grito
de, de
", "
Brasil, brasil
,, ,
Brasil, brasil
", "
., .

, 

E, e
é, é
enorme, enorm
o, o
silêncio, silêncio
quando, quando
o, o
velho, velho
corredor, corredor
passa, passa
carregando, carregando
a, a
bandeira, bandeira
do, do
Brasil, brasil
., .
Nenhum, nenhum
aplauso, aplauso
., .
Nenhum, nenhum
grito, grito
., .
Como, como
as, as
arquibancadas, arquibancada
naqueles, naquel
milésimos, milésimo
de, de
segundo, segundo
que, que
antecedem, antecedem
o, o
pênalti, pênalti
decisivo, decisivo
., .
Parreira, parreira
e, e
Romário, romário
lembram, lembram
a, a
festa, festa
que, que
veio, veio
,, ,
e, e
poderá, poderá
,, ,
quem, quem
sabe, sabe
,, ,
vir, vir
de, de
novo, novo
com, com
a, a
bola, bola
neste, nest
1994, 1994
., .
A, a
bandeira, bandeira
,, ,
piegas, piega
ou, ou
não, não
,, ,
lembra, lembra
tudo, tudo
., .
O, o
dia, dia
e, e
o, o
ano, ano
seguinte, seguint
., .
Ninguém, ninguém
vaia, vaia
,, ,
ninguém, ninguém
aplaude, aplaud
., .
Silêncio, silêncio
quando, quando
o, o
velho, velho
embandeirado, embandeirado
passa, passa
em, em
frente, frent
ao, ao
Teatro, teatro
Bandeirantes, bandeirant
,, ,
com, com
", "
Porca, porca
Miséria, miséria
", "
em, em
cartaz, cartaz
e, e
,, ,
num, num
passo, passo
lento, lento
e, e
arrastado, arrastado
vai, vai
subindo, subindo
a, a
ladeira, ladeira
.., ..

, 

