Atritos, ﻿atrito
com, com
dirigentes, dirigent
do, do
Palmeiras, palmeira
afastaram, afastaram
temporariamente, temporariament
o, o
goleiro, goleiro
Velloso, velloso
da, da
equipe, equip
., .
O, o
jogador, jogador
,, ,
além, além
de, de
não, não
conseguir, conseguir
renovar, renovar
seu, seu
contrato, contrato
,, ,
teve, teve
desentendimentos, desentendimento
com, com
o, o
vice-presidente, vice-president
Serafim, serafim
Del, del
Grande, grand
., .
", "
Ele, ele
disse, diss
que, que
tinha, tinha
uma, uma
proposta, proposta
quatro, quatro
vezes, veze
maior, maior
do, do
Atlético-MG, atlético-mg
., .
Então, então
encerramos, encerramo
as, as
negociações, negociaçõ
", "
,, ,
afirmou, afirm
Del, del
Grande, grand
., .
Veloso, veloso
afirma, afirma
que, que
ganharia, ganharia
", "
menos, meno
que, que
no, no
Santos, santo
", "
,, ,
onde, ond
atuou, atuou
por, por
empréstimo, empréstimo
,, ,
ano, ano
passado, passado
., .

, 

As, as
duas, dua
partes, part
envolvidas, envolvida
conversaram, conversaram
ontem, ontem
à, à
tarde, tard
., .
", "
Ninguém, ninguém
nos, no
procurou, procur
querendo, querendo
contratá-lo, contratá-lo
., .
Os, os
dirigentes, dirigent
do, do
Atlético, atlético
negaram, negaram
o, o
interesse, interess
., .
Alguém, alguém
está, está
mentindo, mentindo
", "
,, ,
disse, diss
Del, del
Grande, grand
,, ,
que, que
disse, diss
não, não
pretender, pretend
mais, mai
emprestar, emprestar
o, o
jogador, jogador
., .
", "
Se, se
houver, houver
negócio, negócio
,, ,
será, será
em, em
definitivo, definitivo
", "
,, ,
concluiu, concluiu
., .

, 

Além, além
de, de
aceitar, aceitar
a, a
proposta, proposta
do, do
Palmeiras, palmeira
,, ,
Velloso, velloso
ainda, ainda
terá, terá
que, que
amargar, amargar
a, a
reserva, reserva
., .
O, o
titular, titular
Sérgio, sérgio
,, ,
preferido, preferido
do, do
técnico, técnico
Wanderley, wanderley
Luxemburgo, luxemburgo
,, ,
assinou, assin
contrato, contrato
anteontem, anteontem
,, ,
antes, ant
do, do
jogo, jogo
contra, contra
a, a
Ferroviária, ferroviária
., .

, 

Outros, outro
jogadores, jogador
discutem, discutem
suas, sua
renovações, renovaçõ
., .
O, o
caso, caso
de, de
Edílson, edílson
é, é
o, o
mais, mai
complicado, complicado
., .
O, o
jogador, jogador
disse, diss
que, que
está, está
fazendo, fazendo
seu, seu
pedido, pedido
com, com
base, base
no, no
aumento, aumento
do, do
valor, valor
de, de
seu, seu
passe, pass
., .
", "
Fui, fui
contratado, contratado
por, por
US$, us$
1,2, 1,2
milhão, milhão
e, e
hoje, hoje
o, o
clube, clube
está, está
pedindo, pedindo
US$, us$
3, 3
milhões, milhõ
", "
,, ,
disse, diss
., .
Antônio, antônio
Carlos, carlo
deve, deve
renovar, renovar
até, até
sábado, sábado
., .
Já, já
Edmundo, edmundo
começou, começ
as, as
negociações, negociaçõ
ontem, ontem
., .

, 

