Pela, ﻿pela
Série, série
B, b
da, da
Copa, copa
São, são
Paulo, paulo
de, de
Futebol, futebol
Júnior, júnior
,, ,
o, o
Flamengo, flamengo
enfrenta, enfrenta
hoje, hoje
no, no
estádio, estádio
do, do
Sesi, sesi
,, ,
em, em
Osasco, osasco
(, (
SP, sp
), )
,, ,
a, a
equipe, equip
japonesa, japonesa
do, do
Nagoya, nagoya
., .
Ambas, amba
as, as
equipes, equip
vêm, vêm
de, de
derrotas, derrota
na, na
primeira, primeira
rodada, rodada
da, da
competição, competição
e, e
precisam, precisam
vencer, vencer
para, para
continuar, continuar
com, com
chances, chanc
de, de
se, se
classificar, classificar
para, para
a, a
próxima, próxima
fase, fase
., .

, 

O, o
Flamengo, flamengo
estreou, estreou
mal, mal
na, na
Copa, copa
,, ,
perdendo, perdendo
,, ,
no, no
último, último
sábado, sábado
,, ,
para, para
o, o
Corinthians, corinthian
de, de
Presidente, president
Prudente, prudent
por, por
1, 1
a, a
0, 0
., .
O, o
gol, gol
da, da
equipe, equip
paulista, paulista
foi, foi
marcado, marcado
por, por
Edson, edson
Costa, costa
., .
Para, para
a, a
partida, partida
de, de
hoje, hoje
,, ,
o, o
técnico, técnico
Marcos, marco
César, césar
não, não
contará, contará
com, com
o, o
lateral-esquerdo, lateral-esquerdo
Leonardo, leonardo
Inácio, inácio
,, ,
expulso, expulso
no, no
jogo, jogo
de, de
sábado, sábado
., .
Além, além
disso, disso
,, ,
o, o
atacante, atacant
Pintinho, pintinho
se, se
contundiu, contundiu
no, no
treino, treino
de, de
ontem, ontem
e, e
é, é
dúvida, dúvida
., .
Mas, ma
o, o
atacante, atacant
tem, tem
boas, boa
chances, chanc
de, de
jogar, jogar
., .

, 

O, o
Nagoya, nagoya
,, ,
que, que
não, não
tem, tem
pretensões, pretensõ
ao, ao
título, título
da, da
Copa, copa
São, são
Paulo, paulo
,, ,
fazendo, fazendo
um, um
", "
estágio, estágio
", "
no, no
Brasil, brasil
,, ,
foi, foi
derrotado, derrotado
anteontem, anteontem
pelo, pelo
Guarani, guarani
por, por
3, 3
a, a
0, 0
., .
Mesmo, mesmo
com, com
o, o
apoio, apoio
da, da
torcida, torcida
que, que
esteve, estev
no, no
estádio, estádio
Municipal, municip
de, de
Guarulhos, guarulho
,, ,
os, os
japoneses, japones
mostraram, mostraram
muita, muita
insegurança, insegurança
., .
O, o
destaque, destaqu
da, da
equipe, equip
foi, foi
o, o
meia-direita, meia-direita
Ibata.(MT, ibata.(mt
), )

, 

