Por, ﻿por
apenas, apena
um, um
ponto, ponto
(, (
120, 120
a, a
119, 119
), )
,, ,
o, o
Golden, golden
State, state
Warriors, warrior
derrotou, derrot
o, o
Atlanta, atlanta
Hawks, hawk
,, ,
fulminando, fulminando
um, um
tabu, tabu
., .
Havia, havia
11, 11
anos, ano
que, que
o, o
time, time
não, não
ganhava, ganhava
jogo, jogo
oficial, ofici
da, da
NBA, nba
no, no
ginásio, ginásio
do, do
adversário, adversário
., .
Nos, no
últimos, último
quatro, quatro
minutos, minuto
,, ,
as, as
duas, dua
equipes, equip
se, se
revezaram, revezaram
sete, sete
vezes, veze
na, na
liderança, liderança
do, do
placar, placar
., .

, 

A, a
cesta, cesta
decisiva, decisiva
,, ,
de, de
três, trê
pontos, ponto
,, ,
foi, foi
anotada, anotada
pelo, pelo
armador, armador
Latrel, latrel
Sprewell, sprewel
,, ,
faltando, faltando
menos, meno
de, de
dois, doi
segundos, segundo
para, para
o, o
término, término
da, da
partida, partida
., .
Sprewell, sprewel
terminou, termin
com, com
25, 25
pontos, ponto
,, ,
mas, ma
o, o
destaque, destaqu
do, do
time, time
foi, foi
Chris, chri
Mullin, mullin
,, ,
com, com
28, 28
pontos, ponto
,, ,
11, 11
rebotes, rebot
e, e
sete, sete
assistências, assistência
., .

, 

A, a
rodada, rodada
:, :
New, new
York, york
120, 120
x, x
108, 108
San, san
Antonio, antonio
,, ,
New, new
Jersey, jersey
112, 112
x, x
91, 91
Minnesota, minnesota
,, ,
Orlando, orlando
108, 108
x, x
96, 96
L.A.Clippers, l.a.clipp
,, ,
Charlotte, charlott
115, 115
x, x
103, 103
Philadelphia, philadelphia
,, ,
Indiana, indiana
109, 109
x, x
92, 92
Miami, miami
Heats, heat
,, ,
Chicago, chicago
84, 84
x, x
83, 83
Washington, washington
,, ,
Dallas, dalla
84, 84
x, x
89, 89
Boston, boston
,, ,
Utah, utah
104, 104
x, x
92, 92
Cleveland, cleveland
e, e
Sacramento, sacramento
95, 95
x, x
114, 114
Seattle, seattl
., .

, 

Pippen, pippen

, 

Poucas, pouca
horas, hora
depois, depoi
da, da
apertada, apertada
vitória, vitória
sobre, sobr
o, o
Washington, washington
,, ,
o, o
ala, ala
Scottie, scotti
Pippen, pippen
,, ,
dos, do
Bulls, bull
,, ,
foi, foi
detido, detido
pela, pela
polícia, polícia
de, de
Chicago, chicago
por, por
porte, port
ilegal, ileg
de, de
arma, arma
de, de
fogo, fogo
., .

, 

A, a
ronda, ronda
policial, polici
descobriu, descobriu
a, a
arma, arma
–, –
uma, uma
semiautomática, semiautomática
,, ,
calibre, calibr
38, 38
–, –
ao, ao
vistoriar, vistoriar
o, o
carro, carro
de, de
Pippen, pippen
,, ,
estacionado, estacionado
irregularmente, irregularment
., .
O, o
jogador, jogador
estava, estava
em, em
um, um
restaurante, restaurant
., .

, 

Pippen, pippen
mostrou, mostrou
autorização, autorização
para, para
portar, portar
arma, arma
carregada, carregada
,, ,
mas, ma
o, o
policial, polici
alegou, aleg
que, que
a, a
mesma, mesma
não, não
valia, valia
para, para
locais, locai
públicos, público
., .
Acabou, acab
liberado, liberado
depois, depoi
de, de
45, 45
minutos, minuto
,, ,
sob, sob
fiança, fiança
de, de
US$, us$
100,00, 100,00
., .
O, o
caso, caso
será, será
julgado, julgado
no, no
próximo, próximo
dia, dia
23, 23
., .

, 

