Marcelo, ﻿marcelo
Teixeira, teixeira
,, ,
29, 29
,, ,
que, que
deverá, deverá
passar, passar
o, o
cargo, cargo
de, de
presidente, president
do, do
Santos, santo
para, para
Miguel, miguel
Kodja, kodja
Neto, neto
,, ,
58, 58
,, ,
na, na
próxima, próxima
sexta-feira, sexta-feira
,, ,
confirmou, confirm
ontem, ontem
à, à
Folha, folha
,, ,
por, por
telefone, telefon
,, ,
que, que
investiu, investiu
dinheiro, dinheiro
do, do
próprio, próprio
bolso, bolso
no, no
clube, clube
., .
", "
Não, não
sei, sei
quanto, quanto
investi, investi
,, ,
mas, ma
calculo, calculo
que, que
seja, seja
menos, meno
do, do
que, que
US$, us$
1,5, 1,5
milhão, milhão
", "
,, ,
afirmou, afirm
., .

, 

Teixeira, teixeira
não, não
classifica, classifica
esse, ess
investimento, investimento
como, como
razão, razão
de, de
uma, uma
dívida, dívida
do, do
clube, clube
para, para
com, com
sua, sua
família, família
., .
Ele, ele
disse, diss
não, não
pensar, pensar
em, em
cobrar, cobrar
esse, ess
dinheiro, dinheiro
", "
por, por
amor, amor
ao, ao
Santos, santo
", "
., .
", "
Poderia, poderia
ter, ter
vendido, vendido
um, um
ou, ou
dois, doi
jogadores, jogador
para, para
ter, ter
o, o
dinheiro, dinheiro
de, de
volta, volta
,, ,
mas, ma
não, não
o, o
fiz, fiz
e, e
nem, nem
tenho, tenho
interesse, interess
em, em
fazê-lo, fazê-lo
., .
O, o
Santos, santo
não, não
tem, tem
dívida, dívida
nenhuma, nenhuma
", "
,, ,
afirmou, afirm
., .

, 

Para, para
ele, ele
,, ,
a, a
iniciativa, iniciativa
do, do
futuro, futuro
presidente, president
de, de
fazer, fazer
uma, uma
auditoria, auditoria
nos, no
departamento, departamento
do, do
clube, clube
é, é
", "
totalmente, totalment
válida, válida
", "
., .
Segundo, segundo
Teixeira, teixeira
,, ,
a, a
informatização, informatização
do, do
clube, clube
foi, foi
uma, uma
de, de
suas, sua
metas, meta
., .
", "
O, o
novo, novo
presidente, president
terá, terá
todos, todo
os, os
dados, dado
e, e
negócios, negócio
feitos, feito
no, no
clube, clube
documentados, documentado
", "
,, ,
garantiu, garantiu
., .

, 

