Musa, ﻿musa
do, do
vôlei, vôlei
na, na
década, década
de, de
80, 80
,, ,
Isabel, isabel
,, ,
ex-atacante, ex-atacant
da, da
seleção, seleção
brasileira, brasileira
feminina, feminina
de, de
vôlei, vôlei
,, ,
está, está
empolgada, empolgada
com, com
o, o
desempenho, desempenho
da, da
nova, nova
geração, geração
de, de
jogadoras, jogadora
., .
", "
O, o
vôlei, vôlei
feminino, feminino
deve, deve
explodir, explodir
este, est
ano, ano
como, como
o, o
masculino, masculino
explodiu, explodiu
na, na
Olimpíada, olimpíada
de, de
Barcelona, barcelona
", "
,, ,
prevê, prevê
a, a
jogadora, jogadora
,, ,
que, que
,, ,
ao, ao
lado, lado
de, de
Roseli, rose
,, ,
forma, forma
a, a
atual, atual
dupla, dupla
vice-campeã, vice-campeã
mundial, mundial
de, de
vôlei, vôlei
de, de
praia, praia
., .

, 

Admiradora, admiradora
do, do
trabalho, trabalho
do, do
técnico, técnico
Bernardinho, bernardinho
,, ,
Isabel, isabel
diz, diz
que, que
acima, acima
de, de
tudo, tudo
", "
ele, ele
gosta, gosta
do, do
que, que
faz, faz
", "
., .
Para, para
ela, ela
,, ,
este, est
é, é
o, o
fator, fator
principal, princip
da, da
animação, animação
das, da
meninas, menina
., .

, 

