Nunca, ﻿nunca
em, em
sua, sua
história, história
a, a
Ferrari, ferrari
passou, passou
por, por
uma, uma
estiagem, estiagem
tão, tão
grande, grand
de, de
vitórias, vitória
., .
Já, já
se, se
vão, vão
três, trê
anos, ano
e, e
três, trê
meses, mese
desde, desd
a, a
última, última
,, ,
no, no
dia, dia
30, 30
de, de
setembro, setembro
de, de
1990, 1990
em, em
Jerez, jerez
,, ,
Espanha, espanha
,, ,
com, com
Alain, alain
Prost, prost
., .

, 

Aquele, aquel
foi, foi
o, o
último, último
campeonato, campeonato
em, em
que, que
a, a
Ferrari, ferrari
se, se
apresentou, apresent
de, de
maneira, maneira
competitiva, competitiva
., .
Não, não
por, por
acaso, acaso
,, ,
o, o
carro, carro
,, ,
modelo, modelo
641, 641
,, ,
era, era
uma, uma
evolução, evolução
da, da
", "
Pata, pata
", "
,, ,
a, a
640, 640
de, de
bico, bico
chato, chato
criada, criada
por, por
John, john
Barnard, barnard
que, que
estreou, estreou
com, com
vitória, vitória
de, de
Nigel, nigel
Mansell, mansel
no, no
Rio, rio
em, em
89, 89
,, ,
inaugurando, inaugurando
a, a
irreversível, irreversível
era, era
dos, do
câmbios, câmbio
semi-automáticos, semi-automático
na, na
F-1, f-1
., .

, 

Contratado, contratado
em, em
novembro, novembro
de, de
86, 86
,, ,
o, o
projetista, projetista
passou, passou
dois, doi
anos, ano
desenvolvendo, desenvolvendo
a, a
máquina, máquina
com, com
carta, carta
branca, branca
do, do
comendador, comendador
Enzo, enzo
Ferrari, ferrari
., .
Teve, teve
o, o
que, que
pediu, pediu
:, :
todo, todo
o, o
tempo, tempo
do, do
mundo, mundo
e, e
uma, uma
fábrica, fábrica
montada, montada
na, na
Inglaterra, inglaterra
,, ,
a, a
GTO, gto
., .
Barnard, barnard
queria, queria
trabalhar, trabalhar
longe, long
da, da
bagunça, bagunça
de, de
Maranello, maranello
e, e
,, ,
mais, mai
do, do
que, que
isso, isso
,, ,
precisava, precisava
preservar, preservar
seus, seu
segredos, segredo
das, da
bisbilhotices, bisbilhotic
da, da
imprensa, imprensa
peninsular, peninsular
., .

, 

O, o
carro, carro
e, e
o, o
câmbio, câmbio
foram, foram
um, um
sucesso, sucesso
,, ,
mas, ma
Barnard, barnard
mal, mal
desfrutou, desfrut
dele, dele
., .
Enzo, enzo
morreu, morreu
em, em
agosto, agosto
de, de
88, 88
,, ,
o, o
comando, comando
da, da
Fiat, fiat
passou, passou
a, a
pressionar, pressionar
o, o
projetista, projetista
para, para
que, que
a, a
F-1, f-1
ficasse, ficass
concentrada, concentrada
na, na
Itália, itália
e, e
Barnard, barnard
mandou, mandou
todos, todo
às, às
favas, fava
em, em
junho, junho
de, de
79, 79
., .
Resultado, resultado
:, :
em, em
Adelaide, adelaid
,, ,
em, em
novembro, novembro
,, ,
a, a
Ferrari, ferrari
chegou, chegou
à, à
vergonhosa, vergonhosa
marca, marca
de, de
50, 50
GPs, gp
sem, sem
vitórias, vitória
., .
(, (
FG, fg
), )

, 

