Três, ﻿trê
fracassos, fracasso
seguidos, seguido
no, no
Super, super
Bowl, bowl
não, não
auxiliam, auxiliam
a, a
causa, causa
do, do
Buffalo, buffalo
Bills, bill
em, em
busca, busca
da, da
reabilitação, reabilitação
., .
Depois, depoi
da, da
derrota, derrota
de, de
93, 93
,, ,
o, o
dono, dono
do, do
clube, clube
,, ,
Ralph, ralph
Wilson, wilson
,, ,
demitiu, demitiu
o, o
general, gener
manager, manag
Bill, bill
Polian, polian
., .
Logo, logo
também, também
saíram, saíram
o, o
coordenador, coordenador
defensivo, defensivo
Ted, ted
Marchibroda, marchibroda
e, e
o, o
diretor, diretor
de, de
pessoal, pessoal
Johnny, johnni
Ferguson, ferguson
,, ,
um, um
antigo, antigo
astro, astro
do, do
time, time
., .
Uma, uma
quarta, quarta
tragédia, tragédia
poderá, poderá
custar, custar
a, a
cabeça, cabeça
do, do
treinador, treinador
Marv, marv
Levy, levi
., .

, 

Um, um
homem, homem
discreto, discreto
e, e
contido, contido
,, ,
Levy, levi
comanda, comanda
os, os
seus, seu
jogadores, jogador
de, de
uma, uma
maneira, maneira
bem, bem
diferente, diferent
do, do
seu, seu
rival, rival
de, de
Dallas, dalla
., .
Enquanto, enquanto
Jimmy, jimmi
Johnson, johnson
distribui, distribui
beijos, beijo
e, e
safanões, safanõ
,, ,
Levy, levi
se, se
limita, limita
a, a
uma, uma
liderança, liderança
natural, natur
,, ,
intelectual, intelectu
., .

, 

Embora, embora
conceda, conceda
muita, muita
liberdade, liberdad
de, de
opinião, opinião
ao, ao
seu, seu
supervisor, supervisor
de, de
ataque, ataqu
,, ,
Tom, tom
Bresnahan, bresnahan
,, ,
o, o
mister, mister
define, defin
pessoalmente, pessoalment
todas, toda
as, as
suas, sua
táticas, tática
nas, na
preleções, preleçõ
de, de
cada, cada
jogo, jogo
., .
O, o
seu, seu
quarterback, quarterback
Jim, jim
Kelly, kelli
entra, entra
no, no
gramado, gramado
com, com
o, o
combate, combat
praticamente, praticament
montado, montado
na, na
cabeça, cabeça
., .

, 

A, a
qualidade, qualidad
de, de
Levy, levi
,, ,
ironicamente, ironicament
,, ,
é, é
a, a
sua, sua
invirtude, invirtud
., .
O, o
grupo, grupo
segue, segu
as, as
direções, direçõ
indicadas, indicada
pelo, pelo
líder, líder
,, ,
não, não
contesta, contesta
o, o
treinador, treinador
–, –
e, e
por, por
isso, isso
não, não
sabe, sabe
improvisar, improvisar
nos, no
instantes, instant
em, em
que, que
a, a
estratégia, estratégia
falha, falha
e, e
o, o
coração, coração
precisa, precisa
dominar, dominar
o, o
raciocínio, raciocínio
., .

, 

Ocorreu, ocorreu
esse, ess
tipo, tipo
de, de
infortúnio, infortúnio
com, com
os, os
Bills, bill
nas, na
goleadas, goleada
do, do
Super, super
Bowl, bowl
de, de
92, 92
e, e
93, 93
., .
San, san
Francisco, francisco
e, e
Dallas, dalla
dilapidaram, dilapidaram
Buffalo, buffalo
com, com
a, a
meticulosidade, meticulosidad
fria, fria
de, de
um, um
esfolador, esfolador
de, de
animais, animai
., .

, 

Que, que
chances, chanc
têm, têm
os, os
Bills, bill
de, de
uma, uma
vitória, vitória
hoje, hoje
?, ?
Boa, boa
parte, part
da, da
sua, sua
fortuna, fortuna
está, está
nas, na
mãos, mão
de, de
dois, doi
de, de
seus, seu
superastros, superastro
de, de
defesa, defesa
,, ,
o, o
linebacker, lineback
Bruce, bruce
Smith, smith
e, e
o, o
lateral, later
Nate, nate
Odornes, odorn
., .

, 

No, no
ataque, ataqu
,, ,
Jim, jim
Kelly, kelli
depende, depend
em, em
demasia, demasia
da, da
veneta, veneta
do, do
running, run
back, back
Thurman, thurman
Thomas, thoma
., .
(, (
SL, sl
), )

, 

