Em, ﻿em
um, um
jogo, jogo
fraco, fraco
tecnicamente, tecnicament
,, ,
Guarani, guarani
e, e
Palmeiras, palmeira
empataram, empataram
em, em
0, 0
a, a
0, 0
,, ,
ontem, ontem
à, à
tarde, tard
,, ,
no, no
estádio, estádio
Brinco, brinco
de, de
Ouro, ouro
da, da
Princesa, princesa
,, ,
em, em
Campinas, campina
., .

, 

Os, os
dois, doi
times, time
somam, somam
41, 41
pontos, ponto
e, e
estão, estão
classificados, classificado
para, para
o, o
octogonal, octogon
que, que
define, defin
os, os
dois, doi
finalistas, finalista
do, do
Campeonato, campeonato
Paulista, paulista
., .

, 

O, o
jogo, jogo
marcou, marcou
a, a
estréia, estréia
do, do
técnico, técnico
Carlos, carlo
Alberto, alberto
Silva, silva
na, na
equipe, equip
do, do
Palmeiras, palmeira
., .
Ex-técnico, ex-técnico
do, do
Cruzeiro, cruzeiro
,, ,
ele, ele
foi, foi
contratado, contratado
para, para
substituir, substituir
Valdir, valdir
Espinosa, espinosa
,, ,
que, que
foi, foi
demitido, demitido
., .

, 

O, o
Guarani, guarani
teve, teve
o, o
retorno, retorno
de, de
Fábio, fábio
Augusto, augusto
,, ,
que, que
cumpriu, cumpriu
suspensão, suspensão
na, na
última, última
partida, partida
,, ,
e, e
de, de
Luizão, luizão
,, ,
que, que
serviu, serviu
a, a
seleção, seleção
de, de
juniores, junior
no, no
jogo, jogo
contra, contra
a, a
Argentina, argentina
,, ,
pela, pela
Copa, copa
Mercosul, mercosul
., .

, 

No, no
primeiro, primeiro
tempo, tempo
,, ,
as, as
duas, dua
equipes, equip
se, se
empenharam, empenharam
apenas, apena
nos, no
15, 15
minutos, minuto
iniciais, iniciai
,, ,
quando, quando
surgiram, surgiram
as, as
melhores, melhor
oportunidades, oportunidad
., .

, 

Aos, ao
5min, 5min
,, ,
Luizão, luizão
sofreu, sofreu
falta, falta
pela, pela
direita, direita
., .
Djalminha, djalminha
cobrou, cobrou
para, para
dentro, dentro
da, da
pequena, pequena
área, área
e, e
o, o
mesmo, mesmo
Luizão, luizão
cabeceou, cabec
sozinho, sozinho
,, ,
por, por
cima, cima
do, do
gol, gol
., .

, 

Um, um
minuto, minuto
depois, depoi
,, ,
o, o
meio-campista, meio-campista
Mancuso, mancuso
acertou, acert
um, um
chute, chute
com, com
perigo, perigo
da, da
entrada, entrada
da, da
área, área
,, ,
mas, ma
a, a
bola, bola
bateu, bateu
na, na
defesa, defesa
do, do
Guarani, guarani
., .

, 

Com, com
a, a
forte, fort
marcação, marcação
de, de
Ronaldo, ronaldo
Alves, alv
em, em
Rivaldo, rivaldo
,, ,
o, o
Palmeiras, palmeira
não, não
conseguia, conseguia
articular, articular
a, a
ligação, ligação
do, do
meio, meio
com, com
o, o
ataque, ataqu
., .

, 

A, a
última, última
chance, chanc
da, da
primeira, primeira
etapa, etapa
foi, foi
aos, ao
15min, 15min
., .
Roberto, roberto
Carlos, carlo
cobrou, cobrou
forte, fort
uma, uma
falta, falta
sofrida, sofrida
por, por
Lozano, lozano
na, na
entrada, entrada
da, da
área, área
,, ,
mas, ma
Hiran, hiran
espalmou, espalm
para, para
escanteio, escanteio
., .

, 

No, no
resto, resto
da, da
primeira, primeira
etapa, etapa
,, ,
as, as
duas, dua
defesas, defesa
prevaleceram, prevaleceram
sobre, sobr
os, os
ataques, ataqu
., .

, 

Os, os
30, 30
minutos, minuto
finais, finai
do, do
primeiro, primeiro
tempo, tempo
descontentaram, descontentaram
os, os
torcedores, torcedor
presentes, present
., .

, 

Logo, logo
aos, ao
7min, 7min
do, do
segundo, segundo
tempo, tempo
,, ,
o, o
meia-ofensivo, meia-ofensivo
Djalminha, djalminha
roubou, roubou
a, a
bola, bola
do, do
zagueiro, zagueiro
Célio, célio
Lúcio, lúcio
,, ,
chutou, chutou
por, por
baixo, baixo
de, de
Velloso, velloso
e, e
Cléber, cléber
salvou, salvou
., .
A, a
bola, bola
ainda, ainda
chegou, chegou
a, a
bater, bater
na, na
trave, trave
., .

, 

No, no
segundo, segundo
tempo, tempo
,, ,
que, que
havia, havia
começado, começado
melhor, melhor
,, ,
Palmeiras, palmeira
e, e
Guarani, guarani
voltaram, voltaram
a, a
apresentar, apresentar
um, um
jogo, jogo
que, que
desagradou, desagrad
a, a
torcida, torcida
., .

, 

Os, os
30, 30
minutos, minuto
finais, finai
da, da
segunda, segunda
etapa, etapa
acabaram, acabaram
sendo, sendo
uma, uma
repetição, repetição
dos, do
30, 30
finais, finai
da, da
primeira, primeira
., .

, 

As, as
duas, dua
equipes, equip
pareciam, pareciam
satisfeitas, satisfeita
com, com
o, o
empate, empat
., .

, 

Nenhuma, nenhuma
das, da
duas, dua
tem, tem
chances, chanc
de, de
conseguir, conseguir
o, o
ponto, ponto
extra, extra
., .
O, o
melhor, melhor
time, time
da, da
fase, fase
de, de
classificação, classificação
começa, começa
a, a
próxima, próxima
fase, fase
com, com
um, um
ponto, ponto
de, de
bonificação, bonificação
., .

, 

