Fechada, ﻿fechada
desde, desd
domingo, domingo
,, ,
a, a
pista, pista
do, do
Indianapolis, indianapoli
Motor, motor
Speedway, speedway
abre, abr
hoje, hoje
,, ,
por, por
duas, dua
horas, hora
,, ,
para, para
os, os
últimos, último
testes, test
para, para
as, as
500, 500
Milhas, milha
., .

, 

A, a
maioria, maioria
das, da
equipes, equip
,, ,
no, no
entanto, entanto
,, ,
já, já
terminou, termin
os, os
acertos, acerto
para, para
a, a
corrida, corrida
de, de
domingo, domingo
., .

, 

`, `
`, `
Amanhã, amanhã
(, (
hoje, hoje
), )
,, ,
é, é
só, só
dar, dar
algumas, alguma
voltinhas, voltinha
,, ,
só, só
para, para
ver, ver
se, se
não, não
tem, tem
nada, nada
vazando, vazando
'', ''
,, ,
contou, contou
o, o
brasileiro, brasileiro
Gil, gil
de, de
Ferran, ferran
., .

, 

Os, os
carros, carro
entram, entram
na, na
pista, pista
já, já
equipados, equipado
com, com
os, os
motores, motor
que, que
serão, serão
usados, usado
na, na
corrida, corrida
., .

, 

Como, como
a, a
prova, prova
é, é
longa, longa
_, _
são, são
804,5, 804,5
km, km
,, ,
quase, quas
uma, uma
viagem, viagem
de, de
ida, ida
e, e
volta, volta
de, de
São, são
Paulo, paulo
ao, ao
Rio, rio
de, de
Janeiro, janeiro
_, _
,, ,
os, os
propulsores, propulsor
não, não
podem, podem
sofrer, sofrer
desgaste, desgast
extra, extra
no, no
treino, treino
., .

, 

Na, na
verdade, verdad
,, ,
os, os
pilotos, piloto
treinam, treinam
hoje, hoje
mais, mai
por, por
tradição, tradição
do, do
que, que
por, por
uma, uma
real, real
necessidade, necessidad
., .

, 

Chamada, chamada
de, de
`, `
`, `
carburation, carbur
day, day
'', ''
,, ,
a, a
quinta-feira, quinta-feira
que, que
antecede, anteced
as, as
500, 500
Milhas, milha
servia, servia
para, para
que, que
as, as
equipes, equip
regulassem, regulassem
os, os
carburadores, carburador
de, de
seus, seu
carros, carro
., .

, 

Mas, ma
o, o
equipamento, equipamento
não, não
é, é
usado, usado
desde, desd
os, os
anos, ano
60, 60
., .

, 

Christian, christian
Fittipaldi, fittipaldi
negou, negou
que, que
vá, vá
correr, correr
na, na
F-1, f-1
,, ,
no, no
lugar, lugar
de, de
Nigel, nigel
Mansell, mansel
,, ,
na, na
McLaren, mclaren
., .

, 

