Rick, ﻿rick
Adelman, adelman
,, ,
48, 48
,, ,
é, é
o, o
novo, novo
técnico, técnico
do, do
Golden, golden
State, state
Warriors, warrior
,, ,
o, o
terceiro, terceiro
que, que
assume, assum
o, o
comando, comando
do, do
time, time
nesta, nesta
temporada, temporada
., .

, 

Substituiu, substituiu
Bob, bob
Lanier, lanier
,, ,
o, o
sétimo, sétimo
técnico, técnico
a, a
deixar, deixar
o, o
cargo, cargo
na, na
temporada, temporada
., .
Os, os
outros, outro
foram, foram
:, :
Dan, dan
Issel, issel
e, e
Gene, gene
Littles, littl
(, (
ambos, ambo
do, do
Denver, denver
), )
,, ,
Don, don
Nelson, nelson
(, (
Golden, golden
State, state
), )
,, ,
Kevin, kevin
Loughery, lougheri
(, (
Miami, miami
), )
,, ,
Don, don
Chaney, chaney
(, (
Detroit, detroit
), )
e, e
Chris, chri
Ford, ford
(, (
Boston, boston
), )
., .

, 

O, o
primeiro, primeiro
a, a
deixar, deixar
o, o
cargo, cargo
nos, no
Warriors, warrior
foi, foi
Don, don
Nelson, nelson
,, ,
que, que
acumulava, acumulava
a, a
gerência, gerência
geral, geral
da, da
equipe, equip
., .
Depois, depoi
de, de
desentendimentos, desentendimento
com, com
vários, vário
jogadores, jogador
,, ,
ele, ele
saiu, saiu
em, em
fevereiro, fevereiro
., .

, 

Bob, bob
Lanier, lanier
,, ,
que, que
era, era
o, o
assistente, assistent
de, de
Don, don
Nelson, nelson
,, ,
assumiu, assumiu
o, o
posto, posto
., .
Mas, ma
nada, nada
mudou, mudou
., .
A, a
equipe, equip
ficou, ficou
fora, fora
dos, do
playoffs, playoff
., .

, 

Terminou, termin
com, com
26, 26
vitórias, vitória
contra, contra
56, 56
derrotas, derrota
,, ,
marca, marca
bem, bem
inferior, inferior
a, a
da, da
temporada, temporada
passada, passada
(, (
50-32, 50-32
), )
., .
Lanier, lanier
acabou, acab
demitido, demitido
., .

, 

`, `
`, `
Nossa, nossa
meta, meta
era, era
contratar, contratar
um, um
técnico, técnico
com, com
experiência, experiência
na, na
NBA, nba
'', ''
,, ,
declarou, declar
Dave, dave
Twardzik, twardzik
,, ,
o, o
novo, novo
gerente, gerent
dos, do
Warriors, warrior
., .

, 

Adelman, adelman
acumulou, acumul
291, 291
vitórias, vitória
e, e
154, 154
derrotas, derrota
em, em
cinco, cinco
anos, ano
no, no
Portland, portland
Trail, trail
Blazers, blazer
,, ,
quando, quando
foi, foi
vice-campeão, vice-campeão
em, em
90, 90
e, e
92, 92
., .

, 

