Titular, ﻿titular
do, do
São, são
Paulo, paulo
há, há
18, 18
rodadas, rodada
no, no
Paulista, paulista
,, ,
o, o
volante, volant
Mona, mona
,, ,
21, 21
,, ,
gaba-se, gaba-s
de, de
ter, ter
contribuído, contribuído
para, para
a, a
ascensão, ascensão
da, da
equipe, equip
no, no
campeonato, campeonato
., .
`, `
`, `
Desde, desd
que, que
entrei, entrei
,, ,
nós, nó
só, só
perdemos, perdemo
um, um
jogo, jogo
no, no
torneio, torneio
'', ''
,, ,
disse, diss
., .

, 

O, o
próximo, próximo
objetivo, objetivo
do, do
jogador, jogador
,, ,
segundo, segundo
ele, ele
,, ,
é, é
a, a
seleção, seleção
brasileira.(AR, brasileira.(ar
), )

, 

Folha, folha
-, -
Discretamente, discretament
,, ,
você, você
acabou, acab
ganhando, ganhando
a, a
posição, posição
de, de
titular, titular
num, num
time, time
que, que
tem, tem
Axel, axel
e, e
Donizete, donizet
., .
Qual, qual
foi, foi
o, o
segredo, segredo
?, ?

, 

Mona, mona
-, -
O, o
segredo, segredo
foi, foi
estar, estar
muito, muito
bem, bem
preparado, preparado
quando, quando
a, a
oportunidade, oportunidad
surgiu, surgiu
., .
Entrei, entrei
no, no
time, time
contra, contra
a, a
Ferroviária, ferroviária
(, (
em, em
março, março
), )
e, e
nós, nó
só, só
tivemos, tivemo
uma, uma
derrota, derrota
depois, depoi
disso, disso
., .
Cresci, cresci
com, com
a, a
sequência, sequência
de, de
jogos, jogo
., .

, 

Folha, folha
-, -
Você, você
tem, tem
idade, idad
para, para
disputar, disputar
o, o
pré-olímpico, pré-olímpico
,, ,
em, em
março, março
de, de
96, 96
., .
Dá, dá
para, para
pensar, pensar
em, em
seleção, seleção
?, ?

, 

Mona, mona
-, -
Sim, sim
., .
Sei, sei
que, que
posso, posso
chegar, chegar
lá, lá
se, se
continuar, continuar
trabalhando, trabalhando
bem, bem
como, como
titular, titular
do, do
São, são
Paulo, paulo
., .
Me, me
inspiro, inspiro
no, no
exemplo, exemplo
do, do
Doriva, doriva
,, ,
hoje, hoje
no, no
XV, xv
de, de
Piracicaba, piracicaba
., .
Ninguém, ninguém
falava, falava
muito, muito
nele, nele
,, ,
mas, ma
ele, ele
acabou, acab
na, na
seleção, seleção
principal, princip
., .

, 

