Após, ﻿apó
o, o
Grande, grand
Prêmio, prêmio
da, da
Espanha, espanha
,, ,
em, em
Jerez, jerez
de, de
la, la
Frontera, frontera
,, ,
o, o
australiano, australiano
Daryl, daryl
Beattie, beatti
(, (
Suzuki, suzuki
), )
tornou-se, tornou-s
novo, novo
líder, líder
do, do
Mundial, mundial
de, de
500, 500
cilindradas, cilindrada
,, ,
com, com
74, 74
pontos, ponto
., .

, 

Ele, ele
ficou, ficou
em, em
sétimo, sétimo
lugar, lugar
na, na
prova, prova
de, de
ontem, ontem
., .

, 

Seu, seu
compatriota, compatriota
Michael, michael
Doohan, doohan
(, (
Honda, honda
), )
,, ,
com, com
70, 70
pontos, ponto
,, ,
caiu, caiu
para, para
segundo, segundo
lugar, lugar
na, na
classificação, classificação
., .

, 

O, o
espanhol, espanhol
Alberto, alberto
Puig, puig
(, (
Honda, honda
), )
,, ,
que, que
venceu, venceu
o, o
GP, gp
,, ,
está, está
em, em
terceiro, terceiro
,, ,
com, com
56, 56
pontos, ponto
., .

, 

O, o
brasileiro, brasileiro
Alexandre, alexandr
Barros, barro
(, (
Honda, honda
), )
ocupa, ocupa
a, a
sétima, sétima
colocação, colocação
na, na
tabela, tabela
de, de
pontos, ponto
do, do
Mundial, mundial
., .

, 

Ele, ele
tem, tem
31, 31
pontos, ponto
,, ,
três, trê
a, a
menos, meno
que, que
o, o
sexto, sexto
,, ,
o, o
norte-americano, norte-americano
Kevin, kevin
Schwantz, schwantz
(, (
Suzuki, suzuki
), )
,, ,
que, que
não, não
competiu, competiu
ontem, ontem
na, na
Espanha, espanha
., .

, 

Alex, alex
Crivilé, crivilé
(, (
Honda, honda
), )
,, ,
da, da
Espanha, espanha
,, ,
é, é
quarto, quarto
com, com
48, 48
pontos, ponto
., .
Luca, luca
Cadalora, cadalora
(, (
Yamaha, yamaha
), )
,, ,
da, da
Itália, itália
,, ,
está, está
em, em
quinto, quinto
,, ,
com, com
46, 46
., .

, 

Na, na
corrida, corrida
de, de
250, 250
cilindradas, cilindrada
,, ,
o, o
japonês, japonê
Tetsuya, tetsuya
Harada, harada
(, (
Yamaha, yamaha
), )
ficou, ficou
em, em
primeiro, primeiro
lugar, lugar
., .

, 

O, o
alemão, alemão
Ralf, ralf
Waldmann, waldmann
(, (
Honda, honda
), )
,, ,
vencedor, vencedor
de, de
duas, dua
das, da
três, trê
corridas, corrida
da, da
categoria, categoria
disputadas, disputada
até, até
aqui, aqui
,, ,
liderou, lider
a, a
maior, maior
parte, part
do, do
GP, gp
., .

, 

Ele, ele
acabou, acab
sendo, sendo
ultrapassado, ultrapassado
,, ,
no, no
entanto, entanto
,, ,
pelo, pelo
japonês, japonê
,, ,
que, que
disparou, dispar
no, no
final, final
da, da
corrida, corrida
., .

, 

O, o
atual, atual
campeão, campeão
do, do
mundo, mundo
,, ,
o, o
italiano, italiano
Max, max
Biaggi, biaggi
(, (
Aprilia, aprilia
), )
,, ,
ficou, ficou
em, em
segundo, segundo
., .

, 

O, o
terceiro, terceiro
foi, foi
o, o
espanhol, espanhol
Luis, lui
D'Antin, d'antin
(, (
Honda, honda
), )
,, ,
que, que
pela, pela
primeira, primeira
vez, vez
subiu, subiu
ao, ao
pódio, pódio
., .

, 

Na, na
prova, prova
de, de
125, 125
cilindradas, cilindrada
,, ,
o, o
japonês, japonê
Haruchika, haruchika
Aoki, aoki
(, (
Honda, honda
), )
venceu, venceu
em, em
chegada, chegada
emocionante, emocionant
,, ,
mantendo, mantendo
a, a
liderança, liderança
do, do
Mundial, mundial
da, da
categoria, categoria
., .

, 

O, o
italiano, italiano
Stefano, stefano
Perugini, perugini
(, (
Aprilia, aprilia
), )
foi, foi
ultrapassado, ultrapassado
pelo, pelo
japonês, japonê
na, na
reta, reta
final, final
., .

, 

