Nove, ﻿nove
recordes, record
da, da
competição, competição
e, e
dois, doi
sul-americanos, sul-americano
foram, foram
estabelecidos, estabelecido
no, no
11º, 11º
Torneio, torneio
Internacional, internacion
de, de
Atletismo, atletismo
de, de
São, são
Paulo, paulo
,, ,
disputado, disputado
ontem, ontem
no, no
Ibirapuera, ibirapuera
., .

, 

O, o
melhor, melhor
índice, índice
técnico, técnico
do, do
torneio, torneio
foi, foi
registrado, registrado
pelo, pelo
atual, atual
recordista, recordista
mundial, mundial
do, do
lançamento, lançamento
do, do
dardo, dardo
,, ,
o, o
tcheco, tcheco
Jan, jan
Zelezny, zelezni
,, ,
que, que
venceu, venceu
a, a
prova, prova
com, com
88,20, 88,20
m., m.
O, o
recorde, record
mundial, mundial
é, é
de, de
95,66, 95,66
m., m.

, 

A, a
marca, marca
de, de
ontem, ontem
passa, passa
a, a
ser, ser
recorde, record
do, do
torneio, torneio
de, de
São, são
Paulo, paulo
,, ,
porque, porqu
a, a
prova, prova
só, só
foi, foi
incluída, incluída
este, est
ano, ano
no, no
programa, programa
da, da
competição, competição
., .

, 

No, no
feminino, feminino
,, ,
o, o
melhor, melhor
índice, índice
técnico, técnico
foi, foi
o, o
da, da
russa, russa
Ana, ana
Biryukova, biryukova
,, ,
vencedora, vencedora
do, do
salto, salto
triplo, triplo
,, ,
com, com
14,73, 14,73
m., m.
Biryukova, biryukova
é, é
a, a
atual, atual
recordista, recordista
mundial, mundial
da, da
prova, prova
,, ,
com, com
15,09, 15,09
m., m.

, 

O, o
recorde, record
anterior, anterior
do, do
torneio, torneio
paulista, paulista
era, era
de, de
outra, outra
russa, russa
,, ,
Inna, inna
Lasovskaya, lasovskaya
,, ,
com, com
14,63, 14,63
m., m.
Lasovskaya, lasovskaya
foi, foi
a, a
segunda, segunda
colocada, colocada
ontem, ontem
com, com
14,50, 14,50
m., m.

, 

O, o
índice, índice
técnico, técnico
é, é
estabelecido, estabelecido
pelas, pela
normas, norma
da, da
IAAF, iaaf
., .
O, o
resultado, resultado
da, da
prova, prova
é, é
cruzado, cruzado
com, com
uma, uma
tabela, tabela
da, da
IAAF, iaaf
e, e
convertido, convertido
em, em
pontos, ponto
., .
Jan, jan
Zelezny, zelezni
atingiu, atingiu
1.249, 1.249
pontos, ponto
e, e
Biryukova, biryukova
,, ,
1.240, 1.240
., .

, 

A, a
brasileira, brasileira
Elisângela, elisângela
Adriano, adriano
,, ,
sétima, sétima
colocada, colocada
na, na
sua, sua
prova, prova
,, ,
marcou, marcou
o, o
novo, novo
recorde, record
sul-americano, sul-americano
do, do
arremesso, arremesso
de, de
peso, peso
,, ,
com, com
17,50, 17,50
m, m
(, (
a, a
marca, marca
anterior, anterior
era, era
dela, dela
,, ,
com, com
17,36, 17,36
m, m
), )
., .

, 

O, o
público, público
foi, foi
fraco, fraco
(, (
número, número
não, não
divulgado, divulgado
), )
., .
Os, os
organizadores, organizador
tinham, tinham
distribuído, distribuído
10.000, 10.000
ingressos, ingresso
gratuitos, gratuito
para, para
escolas, escola
e, e
colocado, colocado
à, à
venda, venda
outros, outro
3.000, 3.000
., .

, 

Victor, victor
Malzoni, malzoni
Jr., jr.
,, ,
o, o
diretor, diretor
do, do
torneio, torneio
,, ,
disse, diss
que, que
`, `
`, `
apesar, apesar
do, do
Dia, dia
das, da
Mães, mãe
,, ,
a, a
presença, presença
de, de
público, público
foi, foi
razoável, razoável
'', ''
., .

, 

Segundo, segundo
ele, ele
,, ,
a, a
organização, organização
sempre, sempr
procura, procura
fugir, fugir
do, do
`, `
`, `
Dia, dia
das, da
Mães, mãe
'', ''
,, ,
mas, ma
desta, desta
vez, vez
não, não
foi, foi
possível, possível
., .
E, e
não, não
houve, houv
interesse, interess
na, na
promoção, promoção
do, do
