Sete, ﻿sete
jogadores, jogador
do, do
Santos, santo
(, (
Edinho, edinho
,, ,
Silva, silva
,, ,
Gallo, gallo
,, ,
Carlinhos, carlinho
,, ,
Giovanni, giovanni
,, ,
Marcelo, marcelo
Passos, passo
e, e
Macedo, macedo
), )
têm, têm
uma, uma
preocupação, preocupação
extra, extra
para, para
o, o
jogo, jogo
de, de
domingo, domingo
,, ,
contra, contra
o, o
América, américa
,, ,
em, em
São, são
José, josé
do, do
Rio, rio
Preto, preto
., .

, 

Todos, todo
estão, estão
com, com
dois, doi
cartões, cartõ
amarelos, amarelo
., .
Se, se
receberem, receberem
o, o
terceiro, terceiro
,, ,
ficam, ficam
suspensos, suspenso
do, do
jogo, jogo
contra, contra
o, o
Juventus, juventu
,, ,
na, na
próxima, próxima
quinta-feira, quinta-feira
., .

, 

Nesse, ness
caso, caso
,, ,
não, não
enfrentando, enfrentando
o, o
Juventus, juventu
,, ,
esses, ess
jogadores, jogador
estariam, estariam
livres, livr
para, para
jogar, jogar
contra, contra
o, o
Palmeiras, palmeira
,, ,
no, no
domingo, domingo
,, ,
após, apó
o, o
jogo, jogo
contra, contra
o, o
Juventus, juventu
., .

, 

Esse, ess
raciocínio, raciocínio
pode, pode
levar, levar
os, os
sete, sete
titulares, titular
a, a
forçarem, forçarem
o, o
terceiro, terceiro
cartão, cartão
., .
Para, para
o, o
técnico, técnico
Joãozinho, joãozinho
,, ,
é, é
`, `
`, `
fundamental, fundament
'', ''
contar, contar
com, com
todos, todo
os, os
titulares, titular
no, no
clássico, clássico
., .

, 

Joãozinho, joãozinho
disse, diss
que, que
a, a
situação, situação
é, é
`, `
`, `
preocupante, preocupant
'', ''
., .
Porém, porém
,, ,
não, não
pretende, pretend
dar, dar
nenhuma, nenhuma
orientação, orientação
para, para
que, que
esses, ess
titulares, titular
forcem, forcem
o, o
terceiro, terceiro
cartão, cartão
contra, contra
o, o
América, américa
., .

, 

O, o
artilheiro, artilheiro
Marcelo, marcelo
Passos, passo
afirmou, afirm
que, que
não, não
pretende, pretend
`, `
`, `
deliberadamente, deliberadament
ser, ser
penalizado, penalizado
com, com
o, o
terceiro, terceiro
amarelo, amarelo
'', ''
no, no
domingo, domingo
., .

, 

Ele, ele
disse, diss
que, que
,, ,
se, se
acontecer, acontec
,, ,
será, será
por, por
`, `
`, `
circunstâncias, circunstância
da, da
partida, partida
e, e
não, não
atitude, atitud
premeditada, premeditada
'', ''
., .

, 

`, `
`, `
O, o
clássico, clássico
contra, contra
o, o
Palmeiras, palmeira
será, será
na, na
Vila, vila
., .
Isso, isso
motivo, motivo
todos, todo
a, a
estarem, estarem
presentes, present
., .
Seria, seria
péssimo, péssimo
ficar, ficar
de, de
fora, fora
por, por
causa, causa
de, de
cartões, cartõ
amarelos, amarelo
'', ''
,, ,
afirmou, afirm
Passos, passo
., .

, 

