Apesar, ﻿apesar
do, do
fraco, fraco
rendimento, rendimento
e, e
as, as
críticas, crítica
dos, do
torcedores, torcedor
,, ,
o, o
técnico, técnico
Eduardo, eduardo
Amorim, amorim
e, e
os, os
jogadores, jogador
do, do
Corinthians, corinthian
aprovaram, aprovaram
o, o
empate, empat
(, (
0, 0
a, a
0, 0
), )
com, com
a, a
Portuguesa, portuguesa
., .

, 

", "
Estamos, estamo
numa, numa
maratona, maratona
de, de
jogos, jogo
e, e
foi, foi
importante, important
este, est
resultado, resultado
de, de
hoje, hoje
(, (
ontem, ontem
), )
para, para
garantir, garantir
a, a
classificação, classificação
para, para
a, a
segunda, segunda
fase, fase
do, do
Paulista, paulista
'', ''
,, ,
disse, diss
Amorim, amorim
., .

, 

Com, com
o, o
resultado, resultado
de, de
ontem, ontem
,, ,
o, o
Corinthians, corinthian
soma, soma
42, 42
pontos, ponto
., .
Matematicamente, matematicament
,, ,
o, o
time, time
corintiano, corintiano
ainda, ainda
pode, pode
ser, ser
desclassificado, desclassificado
., .

, 

", "
Duvido, duvido
que, que
mais, mai
de, de
sete, sete
times, time
alcancem, alcancem
os, os
42, 42
pontos, ponto
'', ''
,, ,
afirmou, afirm
o, o
treinador, treinador
Amorim, amorim
., .

, 

", "
Agora, agora
vamos, vamo
priorizar, priorizar
a, a
Copa, copa
do, do
Brasil, brasil
'', ''
,, ,
disse, diss
o, o
técnico, técnico
,, ,
se, se
referindo, referindo
à, à
disputa, disputa
no, no
torneio, torneio
que, que
garante, garant
ao, ao
campeão, campeão
uma, uma
vaga, vaga
na, na
Taça, taça
Libertadores, libertador
de, de
96, 96
., .

, 

O, o
Corinthians, corinthian
faz, faz
na, na
quarta-feira, quarta-feira
a, a
segunda, segunda
partida, partida
pelas, pela
semifinais, semifinai
da, da
Copa, copa
do, do
Brasil, brasil
,, ,
contra, contra
o, o
Vasco, vasco
., .
No, no
primeiro, primeiro
jogo, jogo
venceu, venceu
por, por
1, 1
a, a
0, 0
,, ,
no, no
Maracanã, maracanã
., .

, 

", "
No, no
segundo, segundo
tempo, tempo
,, ,
usei, usei
quatro, quatro
volantes, volant
(, (
Ezequiel, ezequiel
,, ,
Marcelinho, marcelinho
Souza, souza
,, ,
Zé, zé
Elias, elia
e, e
Bernardo, bernardo
), )
para, para
fechar, fechar
totalmente, totalment
o, o
setor, setor
defensivo, defensivo
'', ''
,, ,
afirmou, afirm
o, o
treinador, treinador
., .

, 

O, o
volante, volant
(, (
meio-campo, meio-campo
com, com
funções, funçõ
defensivas, defensiva
), )
Ezequiel, ezequiel
substituiu, substituiu
o, o
meia, meia
Souza, souza
,, ,
na, na
etapa, etapa
final, final
da, da
partida, partida
., .
", "
O, o
importante, important
era, era
garantir, garantir
o, o
resultado, resultado
'', ''
., .

, 

Segundo, segundo
Amorim, amorim
,, ,
`, `
`, `
o, o
regulamento, regulamento
do, do
Paulista, paulista
é, é
desfavorável, desfavorável
para, para
que, que
os, os
clubes, clube
possam, possam
fazer, fazer
boas, boa
partidas, partida
'', ''
., .

, 

", "
Temos, temo
jogos, jogo
atrás, atrá
de, de
jogos, jogo
e, e
somos, somo
obrigados, obrigado
a, a
poupar, poupar
jogadores, jogador
e, e
atuar, atuar
apenas, apena
para, para
prosseguir, prosseguir
no, no
campeonato, campeonato
'', ''
,, ,
disse, diss
., .

, 

Amorim, amorim
disse, diss
que, que
foi, foi
obrigado, obrigado
a, a
abdicar, abdicar
de, de
seus, seu
métodos, método
ofensivos, ofensivo
no, no
clássico, clássico
para, para
", "
dar, dar
maior, maior
tranquilidade, tranquilidad
aos, ao
jogadores, jogador
'', ''
., .

, 

", "
Se, se
continuarmos, continuarmo
na, na
Copa, copa
do, do
Brasil, brasil
,, ,
posso, posso
utilizar, utilizar
o, o
time, time
misto, misto
nas, na
últimas, última
partidas, partida
do, do
Paulista, paulista
., .

, 

O, o
Corinthians, corinthian
tem, tem
mais, mai
três, trê
jogos, jogo
., .
Enfrenta, enfrenta
no, no
próximo, próximo
sábado, sábado
,, ,
no, no
Pacaembu, pacaembu
,, ,
o, o
Rio, rio
Branco, branco
., .

, 

No, no
dia, dia
7, 7
de, de
junho, junho
,, ,
também, também
no, no
Pacaembu, pacaembu
,, ,
pega, pega
o, o
Guarani, guarani
., .
No, no
sábado, sábado
,, ,
dia, dia
10, 10
,, ,
viaja, viaja
para, para
Araras, arara
,, ,
onde, ond
enfrenta, enfrenta
o, o
União, união
São, são
João, joão
., .

, 

", "
Não, não
podíamos, podíamo
arriscar, arriscar
e, e
ter, ter
uma, uma
derrota, derrota
e, e
partir, partir
para, para
os, os
três, trê
jogos, jogo
finais, finai
com, com
a, a
obrigação, obrigação
de, de
classificação, classificação
'', ''
,, ,
disse, diss
Zé, zé
Elias, elia
., .

, 

