Charles, ﻿charl
Barkley, barkley
,, ,
32, 32
,, ,
ala, ala
e, e
melhor, melhor
jogador, jogador
do, do
Phoenix, phoenix
Suns, sun
,, ,
anunciou, anunci
sábado, sábado
,, ,
após, apó
a, a
derrota, derrota
para, para
o, o
Houston, houston
,, ,
a, a
sua, sua
decisão, decisão
de, de
abandonar, abandonar
a, a
liga, liga
profissional, profission
norte-americana, norte-americana
de, de
basquete, basquet
., .

, 

Considerado, considerado
um, um
dos, do
melhores, melhor
jogadores, jogador
da, da
NBA, nba
,, ,
Barkley, barkley
ficou, ficou
conhecido, conhecido
por, por
seu, seu
temperamento, temperamento
explosivo, explosivo
e, e
truculência, truculência
verbal, verbal
., .

, 

Chegou, chegou
a, a
participar, participar
de, de
um, um
comercial, comerci
de, de
tênis, têni
na, na
TV, tv
no, no
qual, qual
enfrenta, enfrenta
o, o
dinossauro, dinossauro
Godzilla, godzilla
_, _
aliás, aliá
,, ,
um, um
de, de
seus, seu
apelidos, apelido
., .

, 

`, `
`, `
Muito, muito
provavelmente, provavelment
,, ,
esta, esta
foi, foi
a, a
minha, minha
última, última
partida, partida
'', ''
,, ,
declarou, declar
., .

, 

Ao, ao
comentar, comentar
sua, sua
intenção, intenção
de, de
parar, parar
,, ,
Barkley, barkley
negou, negou
que, que
a, a
eliminação, eliminação
este, est
ano, ano
tenha, tenha
sido, sido
fundamental, fundament
na, na
sua, sua
decisão, decisão
., .

, 

A, a
equipe, equip
do, do
Estado, estado
do, do
Arizona, arizona
,, ,
que, que
vencia, vencia
a, a
série, série
por, por
3, 3
a, a
1, 1
,, ,
ficou, ficou
fora, fora
da, da
disputa, disputa
do, do
título, título
ao, ao
perder, perder
os, os
últimos, último
três, trê
jogos, jogo
para, para
o, o
Houston, houston
,, ,
atual, atual
campeão, campeão
da, da
NBA, nba
., .

, 

`, `
`, `
Acho, acho
que, que
esta, esta
é, é
a, a
hora, hora
., .
Sinto, sinto
isso, isso
há, há
seis, sei
meses, mese
'', ''
,, ,
afirmou, afirm
., .

, 

Barkley, barkley
,, ,
no, no
entanto, entanto
,, ,
não, não
descartou, descart
a, a
possibilidade, possibilidad
de, de
voltar, voltar
., .

, 

Nesta, nesta
temporada, temporada
,, ,
Michael, michael
Jordan, jordan
,, ,
do, do
Chicago, chicago
Bulls, bull
,, ,
outro, outro
ídolo, ídolo
da, da
liga, liga
,, ,
voltou, voltou
a, a
jogar, jogar
17, 17
meses, mese
depois, depoi
de, de
deixar, deixar
o, o
esporte, esport
., .

, 

Ao, ao
contrário, contrário
de, de
Jordan, jordan
,, ,
que, que
ganhou, ganhou
três, trê
títulos, título
,, ,
Barkley, barkley
deixa, deixa
a, a
NBA, nba
sem, sem
vencer, vencer
nenhum, nenhum
campeonato, campeonato
nos, no
seus, seu
11, 11
anos, ano
de, de
carreira, carreira
profissional, profission
., .

, 

Mas, ma
participou, particip
nove, nove
vezes, veze
do, do
All-Star, all-star
Game, game
,, ,
o, o
jogo, jogo
que, que
reúne, reún
os, os
melhores, melhor
atletas, atleta
da, da
temporada, temporada
em, em
andamento, andamento
., .

, 

Barkley, barkley
e, e
Jerry, jerri
Colangelo, colangelo
,, ,
o, o
presidente, president
do, do
Phoenix, phoenix
Suns, sun
,, ,
conversarão, conversarão
esta, esta
semana, semana
para, para
acertar, acertar
a, a
situação, situação
do, do
jogador, jogador
., .

, 

`, `
`, `
Espero, espero
que, que
,, ,
quando, quando
tenha, tenha
tempo, tempo
para, para
pensar, pensar
,, ,
Barkley, barkley
mude, mude
de, de
idéia, idéia
'', ''
,, ,
disse, diss
o, o
pivô, pivô
Danny, danni
Schayes, schay
,, ,
companheiro, companheiro
de, de
time, time
., .
`, `
`, `
Se, se
fosse, foss
ele, ele
,, ,
jamais, jamai
me, me
aposentadoria, aposentadoria
., .
'', ''

, 

