Sem, ﻿sem
conseguir, conseguir
se, se
classificar, classificar
para, para
as, as
500, 500
Milhas, milha
,, ,
o, o
brasileiro, brasileiro
Emerson, emerson
Fittipaldi, fittipaldi
será, será
apenas, apena
uma, uma
das, da
cerca, cerca
de, de
400, 400
mil, mil
pessoas, pessoa
que, que
assistirão, assistirão
à, à
prova, prova
de, de
amanhã, amanhã
no, no
Speedway, speedway
de, de
Indianápolis, indianápoli
., .

, 

E, e
,, ,
como, como
cada, cada
fã, fã
da, da
corrida, corrida
,, ,
já, já
faz, faz
suas, sua
apostas, aposta
para, para
o, o
vencedor, vencedor
., .

, 

`, `
`, `
Quem, quem
tem, tem
o, o
maior, maior
potencial, potenci
para, para
vencer, vencer
a, a
prova, prova
é, é
Michael, michael
Andretti, andretti
'', ''
,, ,
disse, diss
ele, ele
,, ,
ontem, ontem
., .

, 

`, `
`, `
Ele, ele
foi, foi
rápido, rápido
todas, toda
as, as
vezes, veze
que, que
foi, foi
para, para
a, a
pista, pista
e, e
um, um
carro, carro
muito, muito
bem, bem
preparado, preparado
'', ''
,, ,
afirmou, afirm
., .

, 

Emerson, emerson
ampliou, ampliou
seu, seu
leque, lequ
de, de
apostas, aposta
,, ,
no, no
entanto, entanto
., .
Para, para
o, o
piloto, piloto
,, ,
os, os
canadenses, canadens
Jacques, jacqu
Villeneuve, villeneuv
e, e
Scott, scott
Goodyear, goodyear
,, ,
além, além
do, do
holandês, holandê
Arie, ari
Luyendyk, luyendyk
_, _
se, se
o, o
motor, motor
Buick, buick
resistir, resistir
_, _
,, ,
também, também
têm, têm
chances, chanc
de, de
vencer, vencer
., .

, 

Dos, do
brasileiros, brasileiro
,, ,
Emerson, emerson
colocou, coloc
Mauricio, mauricio
Gugelmin, gugelmin
entre, entr
os, os
favoritos, favorito
., .
`, `
`, `
Pode, pode
surpreender, surpreend
,, ,
pois, poi
foi, foi
rápido, rápido
todos, todo
os, os
dias, dia
., .
'', ''

, 

O, o
piloto, piloto
,, ,
que, que
fará, fará
alguns, algun
comentários, comentário
para, para
o, o
SBT, sbt
durante, durant
a, a
prova, prova
,, ,
amanhã, amanhã
,, ,
falou, falou
do, do
fracasso, fracasso
de, de
sua, sua
equipe, equip
na, na
classificação, classificação
para, para
as, as
500, 500
Milhas, milha
., .

, 

`, `
`, `
Por, por
alguma, alguma
razão, razão
do, do
destino, destino
,, ,
não, não
era, era
para, para
eu, eu
estar, estar
nessa, nessa
corrida, corrida
., .
Foi, foi
a, a
resposta, resposta
que, que
encontrei, encontrei
'', ''
,, ,
disse, diss
Emerson, emerson
., .

, 

O, o
brasileiro, brasileiro
chegaria, chegaria
ontem, ontem
a, a
Indianápolis, indianápoli
., .
No, no
final, final
de, de
semana, semana
,, ,
ele, ele
e, e
seu, seu
companheiro, companheiro
de, de
equipe, equip
,, ,
Al, al
Unser, unser
Jr., jr.
,, ,
cumprirão, cumprirão
compromissos, compromisso
com, com
patrocinadores, patrocinador
., .

, 

`, `
`, `
Roger, roger
(, (
Penske, pensk
), )
disse, diss
para, para
nós, nó
irmos, irmo
para, para
casa, casa
., .
Mas, ma
decidimos, decidimo
voltar, voltar
para, para
Indianápolis, indianápoli
,, ,
apoiar, apoiar
o, o
time, time
'', ''
,, ,
contou, contou
., .

, 

Emerson, emerson
vai, vai
aproveitar, aproveitar
para, para
dar, dar
alguns, algun
conselhos, conselho
aos, ao
estreantes, estreant
na, na
corrida, corrida
., .
`, `
`, `
Meu, meu
alerta, alerta
a, a
eles, ele
é, é
para, para
que, que
sejam, sejam
pacientes, pacient
., .
'', ''

, 

`, `
`, `
Não, não
se, se
pode, pode
ser, ser
muito, muito
agressivo, agressivo
no, no
início, início
da, da
prova, prova
., .
Deve-se, deve-s
lembrar, lembrar
que, que
é, é
uma, uma
corrida, corrida
longa, longa
,, ,
de, de
500, 500
milhas, milha
,, ,
em, em
que, que
é, é
muito, muito
fácil, fácil
cometer, comet
um, um
erro, erro
'', ''
,, ,
disse, diss
., .

, 

