Vinte, ﻿vint
e, e
nove, nove
dias, dia
após, apó
extirpar, extirpar
um, um
cisto, cisto
de, de
mais, mai
de, de
dois, doi
quilos, quilo
do, do
ovário, ovário
,, ,
a, a
brasileira, brasileira
Maria, maria
Magnólia, magnólia
,, ,
31, 31
,, ,
obteve, obtev
ontem, ontem
o, o
segundo, segundo
lugar, lugar
na, na
prova, prova
dos, do
400, 400
m, m
rasos, raso
., .

, 

Ela, ela
fez, fez
o, o
tempo, tempo
de, de
53s70, 53s70
,, ,
bem, bem
acima, acima
do, do
seu, seu
recorde, record
nacional, nacion
,, ,
50s62, 50s62
., .
A, a
colombiana, colombiana
Ximena, ximena
Restrepo, restrepo
,, ,
26, 26
,, ,
venceu, venceu
a, a
prova, prova
de, de
ontem, ontem
,, ,
com, com
52s25, 52s25
., .

, 

`, `
`, `
Sinto-me, sinto-m
vitoriosa, vitoriosa
só, só
por, por
ter, ter
chegado, chegado
aqui, aqui
e, e
corrido, corrido
'', ''
,, ,
disse, diss
Magnólia, magnólia
., .
Os, os
médicos, médico
foram, foram
contrários, contrário
à, à
sua, sua
volta, volta
imediata, imediata
às, às
competições, competiçõ
., .

, 

`, `
`, `
Eles, ele
queriam, queriam
que, que
eu, eu
ficasse, ficass
parada, parada
entre, entr
dois, doi
e, e
três, trê
meses, mese
'', ''
,, ,
contou, contou
., .
Mas, ma
ela, ela
treinou, treinou
já, já
na, na
última, última
quarta-feira, quarta-feira
,, ,
voltou, voltou
a, a
correr, correr
na, na
sexta, sexta
e, e
ontem, ontem
competiu, competiu
., .

, 

`, `
`, `
Consegui, consegui
vencer, vencer
uma, uma
barreira, barreira
importante, important
,, ,
pouca, pouca
gente, gent
acreditava, acreditava
que, que
eu, eu
conseguiria, conseguiria
., .
Por, por
que, que
eu, eu
não, não
deveria, deveria
me, me
dar, dar
uma, uma
chance, chanc
de, de
chegar, chegar
até, até
aqui, aqui
?, ?
'', ''

, 

No, no
dia, dia
das, da
mães, mãe
,, ,
Magnólia, magnólia
ofereceu, ofereceu
sua, sua
volta, volta
para, para
a, a
filha, filha
,, ,
Luísa, luísa
,, ,
de, de
10, 10
anos, ano
., .
`, `
`, `
O, o
que, que
fiz, fiz
hoje, hoje
foi, foi
por, por
ela, ela
,, ,
que, que
me, me
incentivou, incentiv
., .
'', ''

, 

Até, até
às, às
16h, 16h
,, ,
a, a
corredora, corredora
não, não
havia, havia
conseguido, conseguido
falar, falar
com, com
a, a
filha, filha
,, ,
devido, devido
ao, ao
congestionamento, congestionamento
das, da
linhas, linha
telefônicas, telefônica
., .

, 

O, o
cisto, cisto
de, de
Magnólia, magnólia
foi, foi
diagnosticado, diagnosticado
no, no
mês, mê
passado, passado
,, ,
depois, depoi
de, de
um, um
tempo, tempo
em, em
que, que
ela, ela
pensava, pensava
ter, ter
sangramentos, sangramento
devido, devido
a, a
problemas, problema
gástricos, gástrico
., .

, 

Até, até
Magnólia, magnólia
achava, achava
que, que
seria, seria
difícil, difícil
correr, correr
ontem, ontem
., .
Disse, diss
aos, ao
organizadores, organizador
do, do
torneio, torneio
para, para
não, não
lhe, lhe
enviarem, enviarem
a, a
passagem, passagem
da, da
Natal, natal
(, (
RN, rn
), )
,, ,
onde, ond
mora, mora
,, ,
para, para
São, são
Paulo, paulo
., .
`, `
`, `
Paguei, paguei
do, do
próprio, próprio
bolso, bolso
., .
Só, só
aceito, aceito
ser, ser
reembolsada, reembolsada
agora, agora
,, ,
porque, porqu
consegui, consegui
correr, correr
., .
'', ''

, 

(, (
MM, mm
), )

, 

