Não, ﻿não
foi, foi
apenas, apena
o, o
desempenho, desempenho
da, da
Benetton, benetton
que, que
surpreendeu, surpreendeu
os, os
torcedores, torcedor
neste, nest
fim-de-semana, fim-de-semana
em, em
Barcelona, barcelona
., .
A, a
má, má
performance, perform
dos, do
carros, carro
da, da
Williams, william
causou, causou
surpresa, surpresa
., .

, 

Durante, durant
os, os
treinos, treino
para, para
o, o
GP, gp
da, da
Espanha, espanha
,, ,
a, a
equipe, equip
já, já
dava, dava
sinais, sinai
de, de
que, que
não, não
tinha, tinha
encontrado, encontrado
o, o
melhor, melhor
acerto, acerto
para, para
seus, seu
carros, carro
., .
No, no
grid, grid
de, de
largada, largada
,, ,
David, david
Coultahrd, coultahrd
era, era
o, o
quarto, quarto
,, ,
seguido, seguido
por, por
Damon, damon
Hill, hill
,, ,
o, o
quinto, quinto
., .

, 

Na, na
corrida, corrida
,, ,
a, a
dupla, dupla
teria, teria
a, a
chance, chanc
de, de
alcançar, alcançar
a, a
segunda, segunda
e, e
terceira, terceira
colocações, colocaçõ
,, ,
caso, caso
seus, seu
carros, carro
não, não
tivessem, tivessem
falhado, falhado
., .

, 

O, o
escocês, escocê
abandonou, abandon
na, na
volta, volta
de, de
número, número
55, 55
,, ,
com, com
problemas, problema
de, de
câmbio, câmbio
_, _
parado, parado
,, ,
o, o
carro, carro
chegou, chegou
a, a
sofrer, sofrer
um, um
pequeno, pequeno
incêndio, incêndio
_, _
,, ,
enquanto, enquanto
Hill, hill
sofreu, sofreu
uma, uma
pane, pane
hidráulica, hidráulica
na, na
última, última
volta, volta
,, ,
que, que
fez, fez
com, com
que, que
ele, ele
chegasse, chegass
em, em
quarto, quarto
na, na
classificação, classificação
., .

, 

O, o
inglês, inglê
chegou, chegou
mesmo, mesmo
a, a
rodar, rodar
na, na
pista, pista
por, por
causa, causa
do, do
problema, problema
,, ,
mas, ma
conseguiu, conseguiu
conduzir, conduzir
seu, seu
carro, carro
até, até
alguns, algun
metros, metro
além, além
da, da
bandeirada, bandeirada
., .

, 

`, `
`, `
Poderia, poderia
ter, ter
mantido, mantido
a, a
liderança, liderança
no, no
Mundial, mundial
e, e
isso, isso
já, já
seria, seria
suficiente, suficient
em, em
um, um
fim-de-semana, fim-de-semana
tão, tão
ruim, ruim
para, para
nós, nó
'', ''
,, ,
declarou, declar
., .

, 

Os, os
dois, doi
pilotos, piloto
minimizaram, minimizaram
a, a
superioridade, superioridad
relativa, relativa
da, da
Ferrari, ferrari
na, na
corrida, corrida
., .
Mas, ma
ambos, ambo
reconheceram, reconheceram
que, que
não, não
puderam, puderam
enfrentar, enfrentar
a, a
`, `
`, `
velocidade, velocidad
de, de
Schumacher, schumach
'', ''
., .

, 

(, (
JHM, jhm
), )

, 

