Vendido, ﻿vendido
ao, ao
Valencia, valencia
,, ,
da, da
Espanha, espanha
,, ,
por, por
US$, us$
4, 4
milhões, milhõ
_US$, _us$
2,8, 2,8
milhões, milhõ
para, para
o, o
Corinthians, corinthian
e, e
US$, us$
1,2, 1,2
milhão, milhão
para, para
ele, ele
_, _
,, ,
o, o
atacante, atacant
Viola, viola
afirmou, afirm
ontem, ontem
que, que
preferia, preferia
continuar, continuar
no, no
Parque, parqu
São, são
Jorge, jorg
., .

, 

`, `
`, `
Estou, estou
indo, indo
embora, embora
contra, contra
a, a
minha, minha
vontade, vontad
'', ''
,, ,
disse, diss
., .

, 

`, `
`, `
O, o
Viola, viola
tem, tem
que, que
levar, levar
em, em
conta, conta
o, o
lado, lado
profissional, profission
., .
A, a
proposta, proposta
que, que
recebemos, recebemo
é, é
irrecusável, irrecusável
tanto, tanto
para, para
o, o
Corinthians, corinthian
como, como
para, para
ele, ele
'', ''
,, ,
justificou, justific
José, josé
Mansur, mansur
,, ,
diretor, diretor
de, de
futebol, futebol
., .

, 

Viola, viola
permanece, permanec
no, no
clube, clube
apenas, apena
até, até
o, o
final, final
do, do
Paulista, paulista
e, e
jogará, jogará
protegido, protegido
por, por
um, um
seguro, seguro
., .

, 

Folha, folha
-, -
Você, você
está, está
satisfeito, satisfeito
com, com
a, a
sua, sua
transferência, transferência
?, ?

, 

Viola, viola
-, -
Estou, estou
ansioso, ansioso
,, ,
nervoso, nervoso
e, e
triste, trist
por, por
deixar, deixar
o, o
Corinthians, corinthian
., .
É, é
o, o
clube, clube
onde, ond
eu, eu
cresci, cresci
e, e
que, que
aprendi, aprendi
a, a
amar, amar
., .
Sair, sair
daqui, daqui
é, é
uma, uma
mudança, mudança
grande, grand
de, de
vida, vida
., .
É, é
uma, uma
situação, situação
chata, chata
,, ,
mas, ma
tenho, tenho
que, que
pensar, pensar
no, no
lado, lado
profissional, profission
., .

, 

Folha, folha
-, -
Você, você
preferia, preferia
ficar, ficar
?, ?

, 

Viola, viola
-, -
Essa, essa
sempre, sempr
foi, foi
a, a
minha, minha
intenção, intenção
., .
Renovaria, renovaria
o, o
contrato, contrato
com, com
o, o
Corinthians, corinthian
por, por
mais, mai
dois, doi
ou, ou
três, trê
anos, ano
pelo, pelo
mesmo, mesmo
salário, salário
que, que
recebo, recebo
hoje, hoje
., .

, 

Estou, estou
indo, indo
contra, contra
a, a
minha, minha
vontade, vontad
., .
Me, me
pegaram, pegaram
de, de
calça, calça
curta, curta
., .
Fizeram, fizeram
a, a
negociação, negociação
e, e
agora, agora
não, não
tem, tem
mais, mai
jeito, jeito
., .
Ela, ela
não, não
deveria, deveria
acontecer, acontec
., .

, 

Folha, folha
-, -
Mas, ma
você, você
vai, vai
ganhar, ganhar
muito, muito
dinheiro, dinheiro
na, na
transação, transação
..., ...

, 

Viola, viola
-, -
Na, na
verdade, verdad
,, ,
o, o
negócio, negócio
só, só
está, está
acertado, acertado
com, com
o, o
Corinthians, corinthian
., .
Comigo, comigo
,, ,
ainda, ainda
faltam, faltam
muitos, muito
detalhes, detalh
para, para
resolver, resolv
., .

, 

Eu, eu
ainda, ainda
não, não
assinei, assinei
o, o
contrato, contrato
de, de
três, trê
anos, ano
e, e
não, não
vou, vou
receber, receb
US$, us$
1,2, 1,2
milhão, milhão
como, como
estão, estão
dizendo, dizendo
., .
Só, só
viajo, viajo
para, para
Valencia, valencia
quando, quando
estiver, estiv
tudo, tudo
certinho, certinho
., .

, 

Folha, folha
-, -
Caso, caso
tudo, tudo
seja, seja
definido, definido
,, ,
você, você
continua, continua
jogando, jogando
pelo, pelo
Corinthians, corinthian
até, até
agosto, agosto
?, ?

, 

Viola, viola
-, -
Sim, sim
., .
A, a
torcida, torcida
pode, pode
ficar, ficar
tranquila, tranquila
porque, porqu
,, ,
mesmo, mesmo
vendido, vendido
,, ,
vou, vou
até, até
bater, bater
a, a
cabeça, cabeça
na, na
trave, trave
e, e
comer, comer
grama, grama
,, ,
se, se
possível, possível
já, já
contra, contra
o, o
XV, xv
de, de
Piracicaba, piracicaba
,, ,
quarta-feira, quarta-feira
., .

, 

Não, não
consegui, consegui
repetir, repetir
o, o
meu, meu
futebol, futebol
desde, desd
a, a
Copa, copa
justamente, justament
por, por
essa, essa
negociação, negociação
enrolada, enrolada
., .
Eu, eu
não, não
tinha, tinha
paz, paz
para, para
jogar, jogar
bola, bola
., .

, 

