Rápido, ﻿rápido
nos, no
treinos, treino
,, ,
o, o
estreante, estreant
André, andré
Ribeiro, ribeiro
disse, diss
que, que
pretende, pretend
começar, começar
as, as
500, 500
Milhas, milha
de, de
Indianápolis, indianápoli
com, com
cautela, cautela
., .

, 

`, `
`, `
O, o
início, início
da, da
corrida, corrida
vai, vai
ser, ser
para, para
sentir, sentir
como, como
o, o
carro, carro
se, se
comporta, comporta
., .
Não, não
sei, sei
que, que
sensação, sensação
vou, vou
ter, ter
andando, andando
no, no
tráfego, tráfego
,, ,
com, com
o, o
combustível, combustível
abaixando, abaixando
e, e
os, os
pneus, pneu
piorando, piorando
'', ''
,, ,
disse, diss
., .

, 

A, a
extensão, extensão
da, da
prova, prova
é, é
outra, outra
preocupação, preocupação
., .
`, `
`, `
O, o
máximo, máximo
que, que
andei, andei
foram, foram
200, 200
milhas, milha
,, ,
menos, meno
da, da
metade, metad
do, do
que, que
será, será
aqui, aqui
., .
'', ''

, 

`, `
`, `
Tenho, tenho
de, de
tomar, tomar
cuidado, cuidado
com, com
o, o
desgaste, desgast
mental, mental
de, de
entrar, entrar
numa, numa
corrida, corrida
tão, tão
competitiva, competitiva
e, e
com, com
tanta, tanta
gente, gent
'', ''
,, ,
completou, complet
Ribeiro, ribeiro
., .

, 

Com, com
ele, ele
concorda, concorda
outro, outro
brasileiro, brasileiro
estreante, estreant
:, :
Gil, gil
de, de
Ferran, ferran
., .
`, `
`, `
Há, há
uma, uma
série, série
de, de
novidades, novidad
que, que
terei, terei
de, de
ver, ver
conforme, conform
a, a
corrida, corrida
for, for
acontecendo, acontecendo
., .
'', ''

, 

`, `
`, `
Não, não
adianta, adianta
nem, nem
eu, eu
pensar, pensar
como, como
é, é
que, que
vai, vai
ser, ser
., .
Tenho, tenho
de, de
ir, ir
de, de
cabeça, cabeça
aberta, aberta
,, ,
tranquilo, tranquilo
,, ,
e, e
ver, ver
como, como
é, é
'', ''
,, ,
acrescentou, acrescent
Ferran, ferran
., .

, 

A, a
única, única
oportunidade, oportunidad
que, que
os, os
pilotos, piloto
terão, terão
para, para
treinar, treinar
antes, ant
da, da
prova, prova
será, será
amanhã, amanhã
., .

, 

Na, na
semana, semana
que, que
antecede, anteced
as, as
500, 500
Milhas, milha
,, ,
a, a
pista, pista
fica, fica
tradicionalmente, tradicionalment
fechada, fechada
,, ,
com, com
exceção, exceção
da, da
quinta, quinta
,, ,
o, o
`, `
`, `
carburetion, carburet
day, day
'', ''
., .

, 

Herta, herta

, 

O, o
carro, carro
titular, titular
do, do
norte-americano, norte-americano
Bryan, bryan
Herta, herta
,, ,
destruído, destruído
em, em
acidente, acident
na, na
semana, semana
passada, passada
,, ,
não, não
deve, deve
ficar, ficar
pronto, pronto
até, até
domingo, domingo
., .

, 

Embora, embora
passe, pass
bem, bem
,, ,
o, o
piloto, piloto
ainda, ainda
depende, depend
de, de
liberação, liberação
médica, médica
para, para
correr, correr
., .
Caso, caso
seja, seja
liberado, liberado
,, ,
larga, larga
,, ,
com, com
o, o
carro, carro
reserva, reserva
,, ,
na, na
33ª, 33ª
posição, posição
., .
Senão, senão
,, ,
o, o
carro, carro
será, será
ocupado, ocupado
por, por
Mike, mike
Groff, groff
., .

, 

(, (
MT, mt
), )

, 

