``Somos, ﻿``somo
o, o
time, time
mais, mai
ofensivo, ofensivo
do, do
campeonato, campeonato
'', ''
,, ,
declarou, declar
o, o
técnico, técnico
Candinho, candinho
após, apó
a, a
vitória, vitória
de, de
3, 3
a, a
2, 2
sobre, sobr
o, o
Bragantino, bragantino
., .

, 

`, `
`, `
Quem, quem
mais, mai
,, ,
além, além
da, da
Portuguesa, portuguesa
,, ,
joga, joga
com, com
dois, doi
centroavantes, centroavant
?, ?
'', ''
,, ,
perguntou, pergunt
o, o
técnico, técnico
no, no
vestiário, vestiário
do, do
Canindé, canindé
,, ,
no, no
sábado, sábado
., .

, 

Candinho, candinho
deu, deu
essas, essa
declarações, declaraçõ
para, para
rebater, rebat
a, a
afirmação, afirmação
de, de
que, que
o, o
time, time
relaxara, relaxara
no, no
segundo, segundo
tempo, tempo
., .

, 

Para, para
tentar, tentar
surpreender, surpreend
a, a
Portuguesa, portuguesa
,, ,
o, o
técnico, técnico
Souza, souza
,, ,
do, do
Bragantino, bragantino
,, ,
escalou, escal
o, o
time, time
com, com
cinco, cinco
defensores, defensor
(, (
Júnior, júnior
ficou, ficou
na, na
sobra, sobra
), )
., .

, 

Mas, ma
,, ,
em, em
vez, vez
de, de
reforçar, reforçar
a, a
marcação, marcação
,, ,
esse, ess
esquema, esquema
desarrumou, desarrum
o, o
Bragantino, bragantino
., .
Paulinho, paulinho
e, e
Flávio, flávio
escapavam, escapavam
seguidas, seguida
vezes, veze
de, de
Marcelo, marcelo
Henrique, henriqu
e, e
Adílson, adílson
,, ,
seus, seu
marcadores, marcador
., .

, 

Em, em
nove, nove
minutos, minuto
,, ,
o, o
atacante, atacant
Flávio, flávio
,, ,
que, que
não, não
marcava, marcava
havia, havia
sete, sete
jogos, jogo
,, ,
fez, fez
dois, doi
gols, gol
,, ,
seu, seu
recorde, record
pessoal, pessoal
na, na
competição, competição
., .

, 

Aos, ao
6min, 6min
,, ,
o, o
lateral-esquerdo, lateral-esquerdo
Zé, zé
Roberto, roberto
,, ,
um, um
dos, do
melhores, melhor
do, do
jogo, jogo
,, ,
venceu, venceu
o, o
lateral, later
Valmir, valmir
e, e
cruzou, cruzou
., .
Flávio, flávio
chutou, chutou
para, para
as, as
redes, rede
., .

, 

Três, trê
minutos, minuto
depois, depoi
,, ,
o, o
lateral-direito, lateral-direito
Edinho, edinho
cruzou, cruzou
alto, alto
da, da
direita, direita
e, e
Flávio, flávio
marcou, marcou
de, de
cabeça, cabeça
., .

, 

Esse, ess
gol, gol
evidenciou, evidenci
a, a
fragilidade, fragilidad
do, do
Bragantino, bragantino
., .
O, o
atacante, atacant
Flávio, flávio
tinha, tinha
dois, doi
jogadores, jogador
a, a
marcá-lo, marcá-lo
,, ,
mas, ma
cabeceou, cabec
sozinho, sozinho
,, ,
mesmo, mesmo
sem, sem
pular, pular
., .

, 

A, a
Portuguesa, portuguesa
perdeu, perdeu
o, o
ímpeto, ímpeto
aos, ao
17min, 17min
,, ,
quando, quando
Flávio, flávio
sentiu, sentiu
dores, dore
na, na
coxa, coxa
esquerda, esquerda
e, e
pediu, pediu
para, para
sair, sair
., .
Jorge, jorg
Andrade, andrad
,, ,
seu, seu
substituto, substituto
,, ,
quebrou, quebrou
o, o
ritmo, ritmo
do, do
time, time
., .

, 

Mesmo, mesmo
assim, assim
,, ,
a, a
Portuguesa, portuguesa
dominou, domin
o, o
primeiro, primeiro
tempo, tempo
e, e
poderia, poderia
ter, ter
feito, feito
mais, mai
gols, gol
., .

, 

No, no
segundo, segundo
tempo, tempo
,, ,
Souza, souza
tirou, tirou
o, o
zagueiro, zagueiro
Marcelo, marcelo
Henrique, henriqu
e, e
pôs, pô
o, o
atacante, atacant
Juarez, juarez
., .
Aos, ao
3min, 3min
,, ,
o, o
Bragantino, bragantino
descontou, descont
., .
Josecler, josecl
cruzou, cruzou
,, ,
Gilmar, gilmar
cortou, cortou
errado, errado
de, de
cabeça, cabeça
e, e
Juarez, juarez
emendou, emend
de, de
cabeça, cabeça
para, para
as, as
redes, rede
., .

, 

Na, na
saída, saída
,, ,
Zé, zé
Roberto, roberto
avançou, avanç
,, ,
tocou, tocou
para, para
Zinho, zinho
na, na
esquerda, esquerda
,, ,
que, que
cruzou, cruzou
para, para
Paulinho, paulinho
,, ,
livre, livr
na, na
pequena, pequena
área, área
., .
Ele, ele
deu, deu
um, um
leve, leve
toque, toqu
e, e
fez, fez
seu, seu
10º, 10º
gol, gol
no, no
Paulista, paulista
., .

, 

O, o
gol, gol
matou, matou
a, a
reação, reação
do, do
Bragantino, bragantino
e, e
,, ,
na, na
Portuguesa, portuguesa
,, ,
os, os
jogadores, jogador
passaram, passaram
a, a
buscar, buscar
lances, lanc
de, de
efeito, efeito
., .

, 

Aos, ao
poucos, pouco
,, ,
o, o
Bragantino, bragantino
voltou, voltou
a, a
crescer, crescer
., .
Aos, ao
35min, 35min
,, ,
após, apó
cobrança, cobrança
de, de
escanteio, escanteio
,, ,
Paulo, paulo
César, césar
espalmou, espalm
,, ,
a, a
bola, bola
bateu, bateu
em, em
Gilmar, gilmar
e, e
entrou, entrou
., .

, 

(, (
Marcelo, marcelo
Damato, damato
), )

, 

