Empolgado, ﻿empolgado
com, com
a, a
conquista, conquista
da, da
medalha, medalha
de, de
ouro, ouro
nos, no
Jogos, jogo
Pan-Americanos, pan-americano
da, da
Argentina, argentina
,, ,
em, em
março, março
último, último
,, ,
o, o
brasileiro, brasileiro
Joaquim, joaquim
Cruz, cruz
é, é
favorito, favorito
para, para
a, a
vitória, vitória
nos, no
1.500, 1.500
m, m
,, ,
amanhã, amanhã
,, ,
no, no
Ibirapuera, ibirapuera
., .

, 

A, a
volta, volta
ao, ao
pódio, pódio
no, no
Pan, pan
,, ,
com, com
a, a
marca, marca
de, de
3min40s06, 3min40s06
,, ,
serviu, serviu
como, como
estímulo, estímulo
psicológico, psicológico
para, para
Cruz, cruz
,, ,
que, que
se, se
debateu, debateu
contra, contra
contusões, contusõ
nos, no
últimos, último
quatro, quatro
anos, ano
., .

, 

Agora, agora
,, ,
ele, ele
tem, tem
como, como
objetivo, objetivo
conseguir, conseguir
o, o
índice, índice
para, para
disputar, disputar
o, o
Campeonato, campeonato
Mundial, mundial
na, na
Suécia, suécia
,, ,
em, em
agosto, agosto
., .
Quer, quer
marcar, marcar
3min38s, 3min38
., .

, 

O, o
meta, meta
estabelecida, estabelecida
é, é
baixar, baixar
ainda, ainda
mais, mai
o, o
tempo, tempo
no, no
Mundial, mundial
., .
Ele, ele
se, se
diz, diz
bem, bem
preparado, preparado
., .

, 

Outro, outro
brasileiro, brasileiro
,, ,
José, josé
Mauro, mauro
Valente, valent
,, ,
é, é
um, um
dos, do
fortes, fort
adversários, adversário
de, de
Cruz, cruz
na, na
prova, prova
,, ,
que, que
contará, contará
com, com
apenas, apena
dois, doi
estrangeiros, estrangeiro
,, ,
o, o
angolano, angolano
João, joão
N'Tiamba, n'tiamba
e, e
o, o
chileno, chileno
Pablo, pablo
Squella, squella
., .

, 

Cruz, cruz
também, também
tentará, tentará
o, o
índice, índice
para, para
o, o
Mundial, mundial
nos, no
800, 800
m, m
(, (
1min40s, 1min40
), )
,, ,
prova, prova
na, na
qual, qual
foi, foi
campeão, campeão
olímpico, olímpico
em, em
84, 84
., .

, 

(, (
EA, ea
e, e
MM, mm
), )

, 

