As, ﻿a
ruas, rua
de, de
Monte, mont
Carlo, carlo
fizeram, fizeram
uma, uma
`, `
`, `
seleção, seleção
natural, natur
'', ''
entre, entr
os, os
pilotos, piloto
no, no
treino, treino
oficial, ofici
., .

, 

Os, os
que, que
mais, mai
sofreram, sofreram
foram, foram
os, os
novatos, novato
,, ,
que, que
nunca, nunca
haviam, haviam
andando, andando
na, na
pista, pista
do, do
principado, principado
,, ,
encrustrado, encrustrado
no, no
litoral, litor
sul, sul
da, da
França, frança
., .

, 

O, o
melhor, melhor
desempenho, desempenho
coube, coub
a, a
Eddie, eddi
Irvine, irvin
,, ,
da, da
Jordan, jordan
,, ,
que, que
obteve, obtev
a, a
nona, nona
colocação, colocação
., .

, 

`, `
`, `
Em, em
Mônaco, mônaco
,, ,
você, você
tem, tem
que, que
frear, frear
em, em
cima, cima
(, (
das, da
curvas, curva
), )
e, e
acelerar, acelerar
o, o
máximo, máximo
possível, possível
., .
E, e
essas, essa
coisas, coisa
ele, ele
faz, faz
bem, bem
'', ''
,, ,
disse, diss
o, o
Barrichello, barrichello
,, ,
que, que
culpou, culpou
o, o
tráfego, tráfego
por, por
sua, sua
colocação, colocação
,, ,
o, o
13º., 13º.

, 

Depois, depoi
de, de
Irvine, irvin
,, ,
entre, entr
os, os
estreantes, estreant
,, ,
o, o
melhor, melhor
foi, foi
David, david
Coulthard, coulthard
,, ,
da, da
Williams, william
(, (
11º, 11º
), )
., .

, 

`, `
`, `
É, é
difícil, difícil
., .
Não, não
dá, dá
para, para
superar, superar
o, o
limite, limit
porque, porqu
não, não
há, há
margem, margem
para, para
erro, erro
'', ''
,, ,
disse, diss
o, o
escocês, escocê
,, ,
mais, mai
acostumado, acostumado
a, a
disputar, disputar
lugares, lugar
nas, na
primeiras, primeira
filas, fila
., .

, 

Pedro, pedro
Paulo, paulo
Diniz, diniz
,, ,
da, da
Forti, forti
Corse, cors
,, ,
foi, foi
o, o
25º, 25º
,, ,
à, à
frente, frent
apenas, apena
de, de
Bertrand, bertrand
Gachot, gachot
,, ,
da, da
Pacific, pacif
,, ,
que, que
não, não
conseguiu, conseguiu
uma, uma
volta, volta
no, no
treino, treino
ao, ao
perder, perder
uma, uma
roda, roda
., .

, 

Roberto, roberto
Moreno, moreno
,, ,
que, que
já, já
correu, correu
em, em
Mônaco, mônaco
,, ,
teve, teve
problemas, problema
mecânicos, mecânico
e, e
foi, foi
o, o
23º., 23º.

, 

Monza, monza

, 

Marco, marco
Piccinini, piccinini
e, e
Rosario, rosario
Alessi, alessi
,, ,
dirigentes, dirigent
do, do
Automóvel, automóvel
Clube, clube
da, da
Itália, itália
,, ,
explicaram, explicaram
ontem, ontem
que, que
o, o
GP, gp
da, da
Itália, itália
,, ,
em, em
Monza, monza
,, ,
dia, dia
10, 10
de, de
setembro, setembro
,, ,
ameaçado, ameaçado
pela, pela
FIA, fia
,, ,
deve, deve
acontecer, acontec
., .

, 

O, o
plano, plano
de, de
reformas, reforma
do, do
autódromo, autódromo
deve, deve
ser, ser
entregue, entregu
à, à
FIA, fia
no, no
dia, dia
28, 28
de, de
junho, junho
e, e
,, ,
segundo, segundo
os, os
dois, doi
,, ,
`, `
`, `
tudo, tudo
está, está
acertado, acertado
,, ,
inclusive, inclus
os, os
estudos, estudo
de, de
impacto, impacto
ambiental, ambient
'', ''
., .

, 

(, (
JHM, jhm
), )

, 

