Pierluigi, ﻿pierluigi
Pairetto, pairetto
,, ,
que, que
apitará, apitará
Corinthians, corinthian
e, e
São, são
Paulo, paulo
,, ,
domingo, domingo
,, ,
é, é
o, o
mais, mai
experiente, experient
árbitro, árbitro
italiano, italiano
em, em
atividade, atividad
., .

, 

É, é
,, ,
também, também
,, ,
o, o
segundo, segundo
árbitro, árbitro
no, no
ranking, rank
da, da
Velha, velha
Bota, bota
nesta, nesta
temporada, temporada
,, ,
de, de
acordo, acordo
com, com
as, as
notas, nota
concedidas, concedida
semanalmente, semanalment
pelo, pelo
jornal, jornal
`, `
`, `
La, la
Gazzetta, gazzetta
Dello, dello
Sport, sport
'', ''
., .

, 

Do, do
vilarejo, vilarejo
de, de
Nichellino, nichellino
,, ,
nas, na
redondezas, redondeza
de, de
Torino, torino
,, ,
Pairetto, pairetto
nasceu, nasceu
dia, dia
15, 15
de, de
Julho, julho
de, de
52, 52
., .
Está, está
,, ,
portanto, portanto
,, ,
com, com
42, 42
anos, ano
., .

, 

Ingressou, ingress
na, na
Série, série
A, a
em, em
81, 81
,, ,
aos, ao
29, 29
,, ,
jovem, jovem
para, para
os, os
padrões, padrõ
do, do
apito, apito
na, na
Bota, bota
., .
Tornou-se, tornou-s
internacional, internacion
também, também
novo, novo
,, ,
em, em
88, 88
,, ,
logo, logo
depois, depoi
de, de
completar, completar
36, 36
., .

, 

Do, do
seu, seu
currículo, currículo
constam, constam
22, 22
prélios, prélio
entre, entr
seleções, seleçõ
., .

, 

Em, em
junho, junho
de, de
91, 91
,, ,
no, no
Mundial, mundial
de, de
juniores, junior
,, ,
em, em
Portugal, portug
,, ,
apitou, apit
o, o
jogo, jogo
Brasil, brasil
2, 2
x, x
Suécia, suécia
0, 0
., .

, 

Na, na
Copa, copa
dos, do
EUA, eua
,, ,
em, em
94, 94
,, ,
a, a
sua, sua
única, única
aparição, aparição
foi, foi
nas, na
oitavas-de-final, oitavas-de-fin
,, ,
Romênia, romênia
3, 3
x, x
Argentina, argentina
2, 2
,, ,
sete, sete
cartões, cartõ
amarelos, amarelo
., .

, 

Casado, casado
,, ,
dois, doi
filhos, filho
,, ,
veterinário, veterinário
famoso, famoso
em, em
Turim, turim
,, ,
Pairetto, pairetto
exerce, exerc
ainda, ainda
as, as
funções, funçõ
de, de
assessor, assessor
da, da
Secretaria, secretaria
de, de
Esportes, esport
da, da
prefeitura, prefeitura
de, de
Nichellino, nichellino
., .

, 

De, de
excelente, excelent
preparo, preparo
físico, físico
,, ,
perfeita, perfeita
colocação, colocação
no, no
gramado, gramado
,, ,
conduz, conduz
as, as
pelejas, peleja
com, com
simpatia, simpatia
e, e
bom, bom
humor, humor
., .
Raramente, rarament
se, se
indispõe, indispõ
ou, ou
age, age
agressivamente, agressivament
., .

, 

`, `
`, `
Apito, apito
para, para
me, me
divertir, divertir
'', ''
,, ,
ele, ele
assume, assum
,, ,
com, com
sorriso, sorriso
bonachão, bonachão
., .

, 

Fisicamente, fisicament
,, ,
só, só
um, um
problema, problema
:, :
em, em
92, 92
,, ,
sofreu, sofreu
cirurgia, cirurgia
de, de
menisco, menisco
., .

, 

Pairetto, pairetto
é, é
atacante, atacant
e, e
capitão, capitão
da, da
seleção, seleção
dos, do
mediadores, mediador
,, ,
time, time
que, que
costuma, costuma
participar, participar
de, de
combates, combat
beneficentes, beneficent
da, da
Itália, itália
., .

, 

