Derrotar, ﻿derrotar
o, o
Palmeiras, palmeira
,, ,
manter, manter
a, a
invencibilidade, invencibilidad
em, em
clássicos, clássico
e, e
se, se
aproximar, aproximar
do, do
líder, líder
do, do
campeonato, campeonato
,, ,
o, o
São, são
Paulo, paulo
., .
Esses, ess
são, são
os, os
objetivos, objetivo
do, do
Santos, santo
na, na
partida, partida
de, de
hoje, hoje
,, ,
na, na
Vila, vila
Belmiro, belmiro
., .

, 

Entre, entr
os, os
jogadores, jogador
,, ,
o, o
clima, clima
é, é
de, de
decisão, decisão
de, de
campeonato, campeonato
., .

, 

", "
A, a
equipe, equip
fez, fez
um, um
pacto, pacto
pela, pela
vitória, vitória
., .
Qualquer, qualquer
outro, outro
resultado, resultado
está, está
fora, fora
de, de
nossos, nosso
planos, plano
'', ''
,, ,
disse, diss
o, o
atacante, atacant
Macedo, macedo
,, ,
que, que
retorna, retorna
ao, ao
time, time
santista, santista
após, apó
ter, ter
cumprido, cumprido
suspensão, suspensão
automática, automática
., .

, 

O, o
único, único
desfalque, desfalqu
será, será
o, o
zagueiro, zagueiro
Narciso, narciso
,, ,
suspenso, suspenso
., .

, 

O, o
treinador, treinador
Joãozinho, joãozinho
decidiu, decidiu
manter, manter
a, a
defesa, defesa
que, que
enfrentou, enfrent
o, o
Juventus, juventu
na, na
última, última
quinta-feira, quinta-feira
,, ,
na, na
Vila, vila
Belmiro, belmiro
,, ,
quando, quando
o, o
Santos, santo
venceu, venceu
por, por
2, 2
a, a
0, 0
., .

, 

Silva, silva
será, será
o, o
lateral-direito, lateral-direito
., .
Moura, moura
e, e
Marcelo, marcelo
Fernandes, fernand
formam, formam
a, a
dupla, dupla
de, de
zaga, zaga
,, ,
enquanto, enquanto
Marcos, marco
Paulo, paulo
será, será
o, o
lateral-esquerdo, lateral-esquerdo
., .

, 

", "
Não, não
há, há
motivo, motivo
para, para
alterações, alteraçõ
., .
O, o
setor, setor
atuou, atuou
muito, muito
bem, bem
na, na
quinta, quinta
,, ,
dando, dando
confiança, confiança
ao, ao
resto, resto
do, do
time, time
'', ''
,, ,
afirmou, afirm
Joãozinho, joãozinho
., .

, 

Quanto, quanto
ao, ao
esquema, esquema
tático, tático
,, ,
ele, ele
foi, foi
categórico, categórico
., .
`, `
`, `
O, o
Santos, santo
joga, joga
ofensivamente, ofensivament
., .
'', ''

, 

Para, para
manter, manter
a, a
equipe, equip
com, com
o, o
ataque, ataqu
entre, entr
os, os
mais, mai
positivos, positivo
do, do
campeonato, campeonato
_, _
o, o
Santos, santo
tem, tem
39, 39
gols, gol
em, em
22, 22
jogos, jogo
_, _
,, ,
Joãozinho, joãozinho
deposita, deposita
suas, sua
esperanças, esperança
na, na
dupla, dupla
Giovanni-Marcelo, giovanni-marcelo
Passos, passo
., .
Cada, cada
um, um
marcou, marcou
12, 12
gols, gol
no, no
torneio, torneio
., .

, 

", "
O, o
Santos, santo
atravessa, atravessa
um, um
momento, momento
excelente, excelent
., .
Somos, somo
o, o
único, único
time, time
do, do
campeonato, campeonato
que, que
possui, possui
dois, doi
jogadores, jogador
brigando, brigando
pela, pela
artilharia, artilharia
'', ''
,, ,
disse, diss
o, o
técnico, técnico
santista, santista
., .

, 

Como, como
no, no
ataque, ataqu
o, o
time, time
não, não
preocupa, preocupa
,, ,
Joãozinho, joãozinho
decidiu, decidiu
voltar, voltar
suas, sua
atenções, atençõ
para, para
o, o
sistema, sistema
de, de
marcação, marcação
da, da
equipe, equip
., .

, 

", "
Com, com
a, a
posse, poss
da, da
bola, bola
,, ,
temos, temo
que, que
ser, ser
rápidos, rápido
e, e
objetivos, objetivo
em, em
direção, direção
ao, ao
gol, gol
adversário, adversário
., .
Sem, sem
a, a
bola, bola
,, ,
todo, todo
mundo, mundo
marca, marca
., .
Ninguém, ninguém
pode, pode
dar, dar
espaço, espaço
para, para
o, o
Palmeiras, palmeira
jogar, jogar
'', ''
,, ,
afirmou, afirm
o, o
atacante, atacant
Jamelli, jamelli
., .

, 

O, o
treinador, treinador
define, defin
o, o
esquema, esquema
como, como
`, `
`, `
solidário, solidário
'', ''
., .
Ele, ele
disse, diss
,, ,
também, também
,, ,
ter, ter
alertado, alertado
o, o
time, time
para, para
`, `
`, `
ficar, ficar
ligado, ligado
durante, durant
toda, toda
a, a
partida, partida
'', ''
., .

, 

Ele, ele
não, não
quer, quer
que, que
a, a
boa, boa
fase, fase
se, se
transforme, transform
em, em
displicência, displicência
., .

, 

", "
Iremos, iremo
enfrentar, enfrentar
o, o
Palmeiras, palmeira
,, ,
um, um
dos, do
melhores, melhor
times, time
do, do
país, paí
., .
A, a
equipe, equip
não, não
pode, pode
esquecer, esquec
isso, isso
., .
Do, do
contrário, contrário
,, ,
seremos, seremo
derrotados, derrotado
em, em
plena, plena
Vila, vila
Belmiro, belmiro
'', ''
,, ,
advertiu, advertiu
Joãozinho, joãozinho
., .

, 

O, o
volante, volant
Carlinhos, carlinho
não, não
considera, considera
o, o
Santos, santo
favorito, favorito
para, para
o, o
clássico, clássico
., .

, 

`, `
`, `
Sabemos, sabemo
que, que
o, o
Palmeiras, palmeira
estará, estará
bem, bem
desfalcado, desfalcado
., .
Mas, ma
isso, isso
,, ,
muitas, muita
vezes, veze
,, ,
é, é
pior, pior
,, ,
pois, poi
faz, faz
com, com
que, que
o, o
adversário, adversário
até, até
suba, suba
de, de
produção, produção
., .
O, o
Santos, santo
hoje, hoje
não, não
pode, pode
dar, dar
nenhuma, nenhuma
moleza, moleza
'', ''
,, ,
afirmou, afirm
., .

, 

NA, na
TV, tv

, 

Globo, globo
e, e
Bandeirantes, bandeirant
,, ,
ao, ao
vivo, vivo
,, ,
às, às
18h, 18h

, 

