Dirigentes, ﻿dirigent
do, do
Corinthians, corinthian
viajam, viajam
ainda, ainda
esta, esta
semana, semana
para, para
Valencia, valencia
(, (
Espanha, espanha
), )
para, para
concluir, concluir
as, as
negociações, negociaçõ
da, da
venda, venda
do, do
passe, pass
do, do
atacante, atacant
Viola, viola
com, com
o, o
time, time
local, local
., .

, 

`, `
`, `
Vamos, vamo
colocar, colocar
o, o
preto, preto
no, no
branco, branco
'', ''
,, ,
disse, diss
José, josé
Mansur, mansur
Farah, farah
,, ,
vice-presidente, vice-president
., .

, 

Mas, ma
o, o
time, time
japonês, japonê
do, do
Yomiuri, yomiuri
Verdy, verdi
Kawasaki, kawasaki
entra, entra
na, na
disputa, disputa
por, por
Viola, viola
., .
O, o
clube, clube
estaria, estaria
disposto, disposto
a, a
superar, superar
a, a
proposta, proposta
espanhola, espanhola
., .

, 

O, o
meia, meia
Souza, souza
faz, faz
um, um
teste, test
hoje, hoje
pela, pela
manhã, manhã
para, para
saber, saber
se, se
enfrenta, enfrenta
o, o
São, são
Paulo, paulo
,, ,
domingo, domingo
,, ,
no, no
Pacaembu, pacaembu
., .

, 

O, o
jogador, jogador
está, está
em, em
tratamento, tratamento
desde, desd
12, 12
de, de
abril, abril
,, ,
quando, quando
teve, teve
uma, uma
entorse, entors
no, no
tornozelo, tornozelo
direito, direito
no, no
jogo, jogo
com, com
o, o
Rio, rio
Branco, branco
,, ,
no, no
Acre, acr
., .

, 

Anteontem, anteontem
,, ,
o, o
Corinthians, corinthian
empatou, empat
(, (
0, 0
a, a
0, 0
), )
com, com
o, o
Paraná, paraná
,, ,
em, em
Curitiba, curitiba
,, ,
no, no
primeiro, primeiro
jogo, jogo
pelas, pela
quartas-de-final, quartas-de-fin
da, da
Copa, copa
do, do
Brasil, brasil
(, (
torneio, torneio
que, que
garante, garant
ao, ao
campeão, campeão
uma, uma
vaga, vaga
na, na
Taça, taça
Libertadores, libertador
,, ,
no, no
próximo, próximo
ano, ano
), )
., .

, 

(, (
WBJr, wbjr
., .
), )

, 

