Ayrton, ﻿ayrton
Senna, senna
morreu, morreu
há, há
372, 372
dias, dia
ao, ao
bater, bater
seu, seu
Williams, william
na, na
curva, curva
Tamburello, tamburello
do, do
circuito, circuito
de, de
Imola, imola
,, ,
durante, durant
o, o
Grande, grand
Prêmio, prêmio
de, de
San, san
Marino, marino
de, de
Fórmula-1, fórmula-1
., .

, 

Razões, razõ
econômicas, econômica
levaram, levaram
a, a
Justiça, justiça
italiana, italiana
a, a
ocultar, ocultar
as, as
investigações, investigaçõ
e, e
a, a
estender, estend
,, ,
sucessivamente, sucessivament
,, ,
o, o
prazo, prazo
para, para
apresentar, apresentar
as, as
conclusões, conclusõ
., .

, 

A, a
imprensa, imprensa
procurou, procur
romper, romper
o, o
cerco, cerco
do, do
inquérito, inquérito
., .

, 

A, a
Folha, folha
revelou, revel
,, ,
em, em
26, 26
de, de
junho, junho
,, ,
que, que
um, um
problema, problema
mecânico, mecânico
causou, causou
o, o
acidente, acident
., .
Teve, teve
acesso, acesso
aos, ao
documentos, documento
da, da
perícia, perícia
da, da
Universidade, universidad
de, de
Bolonha, bolonha
e, e
relatou, relat
aos, ao
leitores, leitor
,, ,
em, em
primeira, primeira
mão, mão
,, ,
que, que
a, a
barra, barra
de, de
direção, direção
havia, havia
quebrado, quebrado
., .

, 

A, a
TV, tv
francesa, francesa
TF1, tf1
afastou, afast
a, a
hipótese, hipótes
de, de
erro, erro
de, de
pilotagem, pilotagem
,, ,
calculando, calculando
que, que
Senna, senna
freou, freou
e, e
tentou, tentou
mudar, mudar
o, o
trajeto, trajeto
do, do
carro, carro
antes, ant
de, de
bater, bater
., .

, 

A, a
Rede, rede
Globo, globo
mostrou, mostrou
,, ,
pela, pela
primeira, primeira
vez, vez
,, ,
as, as
imagens, imagen
do, do
capacete, capacet
_, _
indicando, indicando
o, o
ponto, ponto
perfurado, perfurado
no, no
choque, choqu
., .

, 

A, a
revista, revista
italiana, italiana
`, `
`, `
AutoSprint, autosprint
'', ''
revelou, revel
em, em
janeiro, janeiro
que, que
a, a
barra, barra
da, da
direção, direção
,, ,
alterada, alterada
a, a
pedido, pedido
de, de
Senna, senna
,, ,
rachou, rachou
exatamente, exatament
no, no
local, local
de, de
um, um
remendo, remendo
., .

, 

No, no
domingo, domingo
retrasado, retrasado
,, ,
`, `
`, `
Veja, veja
'', ''
quis, qui
dar, dar
sua, sua
`, `
`, `
contribuição, contribuição
'', ''
., .
O, o
resultado, resultado
foi, foi
um, um
desserviço, desserviço
a, a
seus, seu
leitores, leitor
., .

, 

A, a
revista, revista
camuflou, camufl
informações, informaçõ
divulgadas, divulgada
quase, quas
um, um
ano, ano
antes, ant
pela, pela
imprensa, imprensa
brasileira, brasileira
., .

, 

Especialmente, especialment
,, ,
apresentou, apresent
como, como
`, `
`, `
novas, nova
'', ''
as, as
conclusões, conclusõ
da, da
`, `
`, `
AutoSprint, autosprint
'', ''
., .

, 

Infelizmente, infelizment
,, ,
um, um
dos, do
leitores, leitor
fascinados, fascinado
pelo, pelo
embuste, embust
foi, foi
o, o
ombudsman, ombudsman
da, da
Folha, folha
., .

, 

Em, em
sua, sua
crítica, crítica
interna, interna
da, da
segunda-feira, segunda-feira
,, ,
dia, dia
1º, 1º
,, ,
Marcelo, marcelo
Leite, leit
citou, citou
a, a
reportagem, reportagem
como, como
exemplo, exemplo
de, de
jornalismo, jornalismo
,, ,
suposta, suposta
antítese, antítes
da, da
cobertura, cobertura
`, `
`, `
chorosa, chorosa
'', ''
dos, do
jornais, jornai
diários, diário
., .

, 

No, no
mesmo, mesmo
dia, dia
,, ,
recebeu, recebeu
deste, dest
editor, editor
uma, uma
resposta, resposta
,, ,
acompanhada, acompanhada
de, de
algumas, alguma
das, da
reportagens, reportagen
publicadas, publicada
pela, pela
Folha, folha
,, ,
por, por
outros, outro
jornais, jornai
e, e
pela, pela
`, `
`, `
AutoSprint, autosprint
'', ''
., .

, 

Os, os
textos, texto
mostravam, mostravam
que, que
a, a
`, `
`, `
Veja, veja
'', ''
mentira, mentira
a, a
seus, seu
leitores, leitor
., .

, 

No, no
domingo, domingo
,, ,
no, no
entanto, entanto
,, ,
o, o
ombudsman, ombudsman
voltou, voltou
ao, ao
tema, tema
., .
Em, em
sua, sua
coluna, coluna
no, no
Folhão, folhão
,, ,
admitiu, admitiu
ter, ter
errado, errado
nos, no
elogios, elogio
., .
Mas, ma
tentou, tentou
minimizar, minimizar
a, a
picaretagem, picaretagem
do, do
semanário, semanário
brasileiro, brasileiro
e, e
garimpar, garimpar
virtudes, virtud
no, no
emaranhado, emaranhado
de, de
decalques, decalqu
., .

, 

Para, para
isso, isso
,, ,
satisfez-se, satisfez-s
em, em
cotejar, cotejar
o, o
texto, texto
da, da
`, `
`, `
Veja, veja
'', ''
com, com
duas, dua
das, da
mais, mai
de, de
20, 20
reportagens, reportagen
da, da
série, série
publicada, publicada
pela, pela
`, `
`, `
AutoSprint, autosprint
'', ''
_, _
as, as
duas, dua
fornecidas, fornecida
por, por
este, est
editor, editor
., .

, 

Tivesse, tivess
pesquisado, pesquisado
o, o
assunto, assunto
um, um
pouco, pouco
mais, mai
a, a
fundo, fundo
,, ,
ou, ou
então, então
consultado, consultado
alguém, alguém
que, que
acompanhe, acompanh
o, o
automobilismo, automobilismo
,, ,
não, não
teria, teria
cometido, cometido
novos, novo
erros, erro
., .

, 

De, de
sua, sua
leitura, leitura
,, ,
alinhavou, alinhav
dez, dez
detalhes, detalh
que, que
considerou, consider
`, `
`, `
exclusivos, exclusivo
'', ''
da, da
`, `
`, `
Veja, veja
'', ''
., .

, 

Entre, entr
eles, ele
,, ,
o, o
fato, fato
de, de
que, que
o, o
Williams, william
registrou, registr
