O, ﻿o
brasileiro, brasileiro
Fernando, fernando
Meligeni, meligeni
conseguiu, conseguiu
ontem, ontem
passar, passar
por, por
seu, seu
primeiro, primeiro
adversário, adversário
no, no
torneio, torneio
masculino, masculino
de, de
Roland, roland
Garros, garro
., .

, 

Meligeni, meligeni
,, ,
79º, 79º
no, no
ranking, rank
mundial, mundial
,, ,
superou, super
Petr, petr
Korda, korda
(, (
60º, 60º
), )
,, ,
da, da
República, república
Tcheca, tcheca
,, ,
por, por
3, 3
sets, set
a, a
0, 0
(, (
6/4, 6/4
,, ,
6/4, 6/4
e, e
6/4, 6/4
), )
., .

, 

A, a
decepção, decepção
de, de
ontem, ontem
ficou, ficou
por, por
conta, conta
do, do
croata, croata
Goran, goran
Ivanisevic, ivanisev
(, (
4º, 4º
do, do
mundo, mundo
), )
,, ,
que, que
acabou, acab
eliminado, eliminado
pelo, pelo
sueco, sueco
Mikael, mikael
Tillstrom, tillstrom
(, (
141º, 141º
do, do
mundo, mundo
), )
por, por
3, 3
sets, set
a, a
0, 0
(, (
7/5, 7/5
,, ,
6/3, 6/3
e, e
6/4, 6/4
), )
., .

, 

Já, já
o, o
alemão, alemão
Boris, bori
Becker, becker
passou, passou
pelo, pelo
argentino, argentino
Javier, javier
Frana, frana
(, (
parciais, parciai
de, de
7/6, 7/6
(, (
8/6, 8/6
), )
,, ,
6/4, 6/4
e, e
6/3, 6/3
), )
,, ,
também, também
pela, pela
1ª, 1ª
rodada, rodada
do, do
torneio, torneio
francês, francê
do, do
Grand, grand
Slam, slam
(, (
circuito, circuito
que, que
reúne, reún
as, as
quatro, quatro
principais, principai
competições, competiçõ
do, do
tênis, têni
mundial, mundial
), )
., .

, 

Outros, outro
favoritos, favorito
que, que
confirmaram, confirmaram
suas, sua
condições, condiçõ
foram, foram
o, o
espanhol, espanhol
Sergi, sergi
Bruguera, bruguera
,, ,
que, que
venceu, venceu
o, o
australiano, australiano
Patrick, patrick
Rafter, rafter
por, por
3, 3
a, a
0, 0
,, ,
parciais, parciai
de, de
6/3, 6/3
,, ,
6/1, 6/1
e, e
7/6, 7/6
(, (
7/3, 7/3
), )
,, ,
e, e
o, o
norte-americano, norte-americano
Michael, michael
Chang, chang
,, ,
que, que
eliminou, elimin
o, o
italiano, italiano
Diego, diego
Nargiso, nargiso
também, também
por, por
3, 3
a, a
0, 0
(, (
6/3, 6/3
,, ,
6/4, 6/4
e, e
6/1, 6/1
), )
., .

, 

Na, na
vitória, vitória
mais, mai
expressiva, expressiva
da, da
primeira, primeira
rodada, rodada
do, do
torneio, torneio
feminino, feminino
,, ,
a, a
espanhola, espanhola
Conchita, conchita
Martinez, martinez
derrotou, derrot
a, a
alemã, alemã
Sabine, sabin
Hack, hack
,, ,
em, em
duas, dua
parciais, parciai
de, de
6/0, 6/0
., .

, 

Martinez, martinez
é, é
treinada, treinada
pelo, pelo
brasileiro, brasileiro
Carlos, carlo
Alberto, alberto
Kirmayr, kirmayr
., .

, 

