Desfalcado, ﻿desfalcado
do, do
volante, volant
Luisinho, luisinho
,, ,
machucado, machucado
,, ,
mas, ma
com, com
a, a
volta, volta
do, do
lateral-direito, lateral-direito
Pimentel, pimentel
,, ,
o, o
Vasco, vasco
da, da
Gama, gama
está, está
definido, definido
para, para
enfrentar, enfrentar
o, o
Corinthians, corinthian
hoje, hoje
., .

, 

Precisando, precisando
da, da
vitória, vitória
,, ,
o, o
técnico, técnico
Abel, abel
escolheu, escolheu
o, o
atacante, atacant
Hernande, hernand
como, como
substituto, substituto
de, de
Luisinho, luisinho
., .
Pimentel, pimentel
,, ,
após, apó
cumprir, cumprir
suspensão, suspensão
,, ,
retorna, retorna
no, no
lugar, lugar
de, de
Bruno, bruno
Carvalho, carvalho
., .

, 

O, o
lateral, later
vascaíno, vascaíno
está, está
otimista, otimista
em, em
relação, relação
ao, ao
jogo, jogo
desta, desta
tarde, tard
., .
`, `
`, `
Sempre, sempr
dou, dou
sorte, sort
contra, contra
o, o
Corinthians, corinthian
,, ,
principalmente, principalment
quando, quando
jogo, jogo
no, no
Pacaembu, pacaembu
'', ''
,, ,
disse, diss
Pimentel, pimentel
., .

, 

Na, na
Taça, taça
Rio-São, rio-são
Paulo, paulo
de, de
1993, 1993
,, ,
Pimentel, pimentel
marcou, marcou
quatro, quatro
gols, gol
no, no
Corinthians, corinthian
nos, no
dois, doi
jogos, jogo
realizados, realizado
entre, entr
as, as
equipes, equip
;, ;
ambos, ambo
vencidos, vencido
pela, pela
equipe, equip
paulista, paulista
por, por
4, 4
a, a
3, 3
., .

, 

O, o
Vasco, vasco
chegou, chegou
a, a
São, são
Paulo, paulo
ontem, ontem
e, e
,, ,
à, à
tarde, tard
,, ,
realizou, realiz
um, um
coletivo, coletivo
no, no
Centro, centro
de, de
Treinamento, treinamento
do, do
São, são
Paulo, paulo
,, ,
na, na
Barra, barra
Funda, funda
(, (
zona, zona
oeste, oest
), )
., .

, 

O, o
time, time
carioca, carioca
está, está
em, em
crise, crise
., .
Com, com
a, a
derrota, derrota
do, do
último, último
domingo, domingo
para, para
o, o
Flamengo, flamengo
(, (
4, 4
a, a
2, 2
), )
,, ,
o, o
Vasco, vasco
praticamente, praticament
se, se
afastou, afast
da, da
disputa, disputa
pelo, pelo
título, título
carioca, carioca
., .

, 

A, a
sede, sede
do, do
clube, clube
,, ,
em, em
São, são
Januário, januário
,, ,
foi, foi
depredada, depredada
por, por
torcedores, torcedor
anteontem, anteontem
., .

, 

`, `
`, `
Uma, uma
grande, grand
vitória, vitória
sobre, sobr
o, o
Corinthians, corinthian
pode, pode
mudar, mudar
todo, todo
esse, ess
quadro, quadro
'', ''
,, ,
acredita, acredita
o, o
técnico, técnico
Abel, abel
., .

, 

`, `
`, `
Vamos, vamo
provar, provar
que, que
honramos, honramo
a, a
camisa, camisa
do, do
Vasco, vasco
'', ''
,, ,
acrescentou, acrescent
., .

, 

O, o
treinador, treinador
mantém, mantém
o, o
jovem, jovem
atacante, atacant
Brener, brener
como, como
titular, titular
da, da
equipe, equip
., .
Clóvis, clóvi
,, ,
que, que
veio, veio
do, do
Benfica, benfica
(, (
de, de
Portugal, portug
), )
,, ,
fica, fica
no, no
banco, banco
de, de
reservas, reserva
., .

, 

O, o
meia, meia
Yan, yan
será, será
o, o
responsável, responsável
pela, pela
armação, armação
das, da
jogadas, jogada
ofensivas, ofensiva
do, do
time, time
., .

, 

Leandro, leandro
e, e
França, frança
formarão, formarão
a, a
dupla, dupla
de, de
volantes, volant
e, e
Cássio, cássio
,, ,
pretendido, pretendido
pelo, pelo
Corinthians, corinthian
no, no
início, início
do, do
ano, ano
,, ,
será, será
o, o
lateral-esquerdo, lateral-esquerdo
., .

, 

