Quatro, ﻿quatro
jogadores, jogador
da, da
NBA, nba
foram, foram
multados, multado
pela, pela
entidade, entidad
por, por
comportamento, comportamento
nada, nada
exemplar, exemplar
durante, durant
a, a
partida, partida
entre, entr
San, san
Antonio, antonio
e, e
Denver, denver
Nuggets, nugget
,, ,
sábado, sábado
passado, passado
., .

, 

Dennis, denni
Rodman, rodman
,, ,
Jack, jack
Haley, haley
e, e
Avery, averi
Johnson, johnson
,, ,
do, do
San, san
Antonio, antonio
,, ,
e, e
Gary, gari
Grant, grant
,, ,
do, do
Denver, denver
,, ,
se, se
envolveram, envolveram
em, em
brigas, briga
durante, durant
a, a
partida, partida
., .

, 

Os, os
quatro, quatro
receberam, receberam
punições, puniçõ
,, ,
anunciadas, anunciada
ontem, ontem
pelo, pelo
vice-presidente, vice-president
da, da
NBA, nba
,, ,
Rod, rod
Thorn, thorn
., .

, 

Dennis, denni
Rodman, rodman
,, ,
que, que
já, já
havia, havia
se, se
envolvido, envolvido
em, em
outras, outra
brigas, briga
nesta, nesta
temporada, temporada
,, ,
foi, foi
multado, multado
em, em
US$, us$
7.500, 7.500
por, por
derrubar, derrubar
o, o
pivô, pivô
Dikembe, dikemb
Mutombo, mutombo
no, no
primeiro, primeiro
quarto, quarto
da, da
partida, partida
., .

, 

Haley, haley
também, também
terá, terá
que, que
pagar, pagar
a, a
mesma, mesma
quantia, quantia
., .
Ele, ele
deu, deu
um, um
soco, soco
em, em
Gary, gari
Grant, grant
após, apó
o, o
fim, fim
do, do
jogo, jogo
., .

, 

O, o
San, san
Antonio, antonio
Spurs, spur
venceu, venceu
por, por
122, 122
a, a
96, 96
., .

, 

Grant, grant
,, ,
por, por
sua, sua
vez, vez
,, ,
foi, foi
multado, multado
por, por
iniciar, iniciar
uma, uma
briga, briga
com, com
Avery, averi
Johnson, johnson
,, ,
do, do
San, san
Antonio, antonio
,, ,
a, a
seis, sei
minutos, minuto
do, do
fim, fim
do, do
jogo, jogo
., .

, 

Por, por
isso, isso
,, ,
terá, terá
que, que
pagar, pagar
uma, uma
multa, multa
de, de
US$, us$
5.000, 5.000
., .

, 

Johnson, johnson
não, não
partiu, partiu
para, para
a, a
briga, briga
,, ,
mas, ma
atirou, atir
a, a
bola, bola
em, em
Grant, grant
., .
Pelo, pelo
ato, ato
,, ,
pagará, pagará
US$, us$
2.500, 2.500
., .

, 

Haley, haley
e, e
Johnson, johnson
ainda, ainda
foram, foram
expulsos, expulso
da, da
partida, partida
e, e
,, ,
por, por
isso, isso
,, ,
receberam, receberam
uma, uma
multa, multa
adicional, adicion
de, de
US$, us$
1.000, 1.000
da, da
NBA, nba
., .

, 

O, o
segundo, segundo
jogo, jogo
do, do
confronto, confronto
estava, estava
marcado, marcado
para, para
ontem, ontem
à, à
noite, noit
,, ,
novamente, novament
em, em
San, san
Antonio, antonio
., .

, 

Contrato, contrato

, 

O, o
Sacramento, sacramento
Kings, king
,, ,
eliminado, eliminado
na, na
fase, fase
de, de
classificação, classificação
,, ,
renovou, renov
contrato, contrato
por, por
três, trê
anos, ano
com, com
seu, seu
técnico, técnico
,, ,
Garry, garri
St, st
., .
Jean, jean
., .

, 

Em, em
seu, seu
terceiro, terceiro
ano, ano
com, com
o, o
Sacramento, sacramento
,, ,
St, st
., .
Jean, jean
venceu, venceu
39, 39
e, e
perdeu, perdeu
43, 43
partidas, partida
., .
A, a
campanha, campanha
,, ,
porém, porém
,, ,
é, é
a, a
melhor, melhor
desde, desd
que, que
o, o
time, time
se, se
mudou, mudou
de, de
Kansas, kansa
City, citi
., .

, 

Sob, sob
o, o
comando, comando
de, de
St, st
., .
Jean, jean
,, ,
o, o
Sacramento, sacramento
ganhou, ganhou
92, 92
jogos, jogo
e, e
perdeu, perdeu
154, 154
., .

, 

