Jogadores, ﻿jogador
e, e
comissão, comissão
técnica, técnica
do, do
Corinthians, corinthian
criticaram, criticaram
o, o
juiz, juiz
da, da
partida, partida
de, de
ontem, ontem
,, ,
Dalmo, dalmo
Bozzano, bozzano
., .

, 

Segundo, segundo
os, os
corintianos, corintiano
,, ,
a, a
maior, maior
prova, prova
de, de
que, que
ele, ele
estava, estava
`, `
`, `
perdido, perdido
'', ''
_, _
expressão, expressão
do, do
vice-presidente, vice-president
de, de
futebol, futebol
José, josé
Mansur, mansur
Farah, farah
_, _
foi, foi
o, o
fato, fato
de, de
ele, ele
ter, ter
mostrado, mostrado
dois, doi
cartões, cartõ
amarelos, amarelo
ao, ao
zagueiro, zagueiro
André, andré
Santos, santo
., .

, 

`, `
`, `
É, é
,, ,
acho, acho
que, que
tomei, tomei
mesmo, mesmo
'', ''
,, ,
disse, diss
Santos, santo
,, ,
ao, ao
sair, sair
de, de
campo, campo
., .
Um, um
foi, foi
no, no
primeiro, primeiro
tempo, tempo
e, e
outro, outro
no, no
segundo, segundo
., .

, 

O, o
segundo, segundo
cartão, cartão
quase, quas
provocou, provoc
uma, uma
confusão, confusão
no, no
jogo, jogo
., .
Quando, quando
tentava, tentava
ir, ir
ao, ao
ataque, ataqu
,, ,
o, o
atacante, atacant
Marques, marqu
sofreu, sofreu
entrada, entrada
violenta, violenta
., .
André, andré
Santos, santo
deu, deu
um, um
berro, berro
,, ,
cobrando, cobrando
uma, uma
ação, ação
do, do
juiz, juiz
., .

, 

Mas, ma
Marques, marqu
se, se
levantou, levant
,, ,
o, o
lance, lanc
seguiu, seguiu
e, e
Marques, marqu
finalizou, finaliz
,, ,
rente, rent
à, à
trave, trave
., .

, 

No, no
momento, momento
em, em
que, que
ia, ia
chutar, chutar
,, ,
Bozzano, bozzano
parou, parou
o, o
jogo, jogo
e, e
marcou, marcou
falta, falta
técnica, técnica
no, no
meio-campo, meio-campo
contra, contra
o, o
Corinthians, corinthian
., .

, 

Mesmo, mesmo
sem, sem
ter, ter
saído, saído
o, o
gol, gol
,, ,
os, os
jogadores, jogador
foram, foram
em, em
cima, cima
de, de
Dalmo, dalmo
Bozzano, bozzano

, 

O, o
técnico, técnico
Eduardo, eduardo
Amorim, amorim
também, também
atacou, atac
o, o
juiz, juiz
., .
`, `
`, `
Ele, ele
ficou, ficou
perseguindo, perseguindo
o, o
Viola, viola
,, ,
sem, sem
motivo, motivo
., .
Foi, foi
uma, uma
atitude, atitud
até, até
infantil, infantil
'', ''
,, ,
disse, diss
., .
Mas, ma
ele, ele
não, não
interferiu, interferiu
no, no
resultado, resultado
'', ''
,, ,
ressaltou, ressalt
ele, ele
., .

, 

Contra, contra
o, o
Paraná, paraná
,, ,
quarta-feira, quarta-feira
,, ,
em, em
Curitiba, curitiba
,, ,
pela, pela
Copa, copa
do, do
Brasil, brasil
,, ,
o, o
Corinthians, corinthian
terá, terá
as, as
voltas, volta
de, de
Zé, zé
Elias, elia
,, ,
Henrique, henriqu
e, e
Marcelinho, marcelinho
e, e
,, ,
talvez, talvez
,, ,
de, de
Souza, souza
., .

, 

O, o
time, time
,, ,
porém, porém
,, ,
deve, deve
ter, ter
um, um
novo, novo
desfalque, desfalqu
:, :
o, o
zagueiro, zagueiro
Célio, célio
Silva, silva
saiu, saiu
com, com
fortes, fort
dores, dore
no, no
joelho, joelho
direito, direito
., .

, 

Como, como
o, o
jogador, jogador
recebeu, recebeu
o, o
terceiro, terceiro
cartão, cartão
amarelo, amarelo
ontem, ontem
_, _
e, e
não, não
joga, joga
domingo, domingo
contra, contra
o, o
São, são
Paulo, paulo
_, _
,, ,
é, é
possível, possível
que, que
seja, seja
poupado, poupado
do, do
jogo, jogo
de, de
quarta-feira, quarta-feira
para, para
poder, poder
se, se
recuperar, recuperar
totalmente, totalment
., .

, 

(, (
MD, md
), )

, 

